Target,lg10_Copies,Blocker,Blocker μM,Well,WellName,Sample
S075_WT,8,MMMMx,3.1622776601683795,1,A1,JG075A_001
S075_WT,8,MMMMx,1.7782794100389228,2,A2,JG075A_002
S075_WT,8,MMMMx,1.0,3,A3,JG075A_003
S075_WT,8,MMMMx,0.5623413251903491,4,A4,JG075A_004
S075_WT,8,MMMMx,0.31622776601683794,5,A5,JG075A_005
S075_WT,8,MMMMx,0.1778279410038923,6,A6,JG075A_006
S075_WT,8,MMMMx,0.1,7,A7,JG075A_007
S075_WT,8,L-MMMMx,3.1622776601683795,8,A8,JG075A_008
S075_WT,8,L-MMMMx,1.7782794100389228,9,A9,JG075A_009
S075_WT,8,L-MMMMx,1.0,10,A10,JG075A_010
S075_WT,8,L-MMMMx,0.5623413251903491,11,A11,JG075A_011
S075_WT,8,L-MMMMx,0.31622776601683794,12,A12,JG075A_012
S075_WT,8,L-MMMMx,0.1778279410038923,13,A13,JG075A_013
S075_WT,8,L-MMMMx,0.1,14,A14,JG075A_014
S075_WT,8,None,0.0,15,A15,JG075A_015
S075_WT,7,MMMMx,3.1622776601683795,25,B1,JG075A_025
S075_WT,7,MMMMx,1.7782794100389228,26,B2,JG075A_026
S075_WT,7,MMMMx,1.0,27,B3,JG075A_027
S075_WT,7,MMMMx,0.5623413251903491,28,B4,JG075A_028
S075_WT,7,MMMMx,0.31622776601683794,29,B5,JG075A_029
S075_WT,7,MMMMx,0.1778279410038923,30,B6,JG075A_030
S075_WT,7,MMMMx,0.1,31,B7,JG075A_031
S075_WT,7,L-MMMMx,3.1622776601683795,32,B8,JG075A_032
S075_WT,7,L-MMMMx,1.7782794100389228,33,B9,JG075A_033
S075_WT,7,L-MMMMx,1.0,34,B10,JG075A_034
S075_WT,7,L-MMMMx,0.5623413251903491,35,B11,JG075A_035
S075_WT,7,L-MMMMx,0.31622776601683794,36,B12,JG075A_036
S075_WT,7,L-MMMMx,0.1778279410038923,37,B13,JG075A_037
S075_WT,7,L-MMMMx,0.1,38,B14,JG075A_038
S075_WT,7,None,0.0,39,B15,JG075A_039
S075_WT,6,MMMMx,3.1622776601683795,49,C1,JG075A_049
S075_WT,6,MMMMx,1.7782794100389228,50,C2,JG075A_050
S075_WT,6,MMMMx,1.0,51,C3,JG075A_051
S075_WT,6,MMMMx,0.5623413251903491,52,C4,JG075A_052
S075_WT,6,MMMMx,0.31622776601683794,53,C5,JG075A_053
S075_WT,6,MMMMx,0.1778279410038923,54,C6,JG075A_054
S075_WT,6,MMMMx,0.1,55,C7,JG075A_055
S075_WT,6,L-MMMMx,3.1622776601683795,56,C8,JG075A_056
S075_WT,6,L-MMMMx,1.7782794100389228,57,C9,JG075A_057
S075_WT,6,L-MMMMx,1.0,58,C10,JG075A_058
S075_WT,6,L-MMMMx,0.5623413251903491,59,C11,JG075A_059
S075_WT,6,L-MMMMx,0.31622776601683794,60,C12,JG075A_060
S075_WT,6,L-MMMMx,0.1778279410038923,61,C13,JG075A_061
S075_WT,6,L-MMMMx,0.1,62,C14,JG075A_062
S075_WT,6,None,0.0,63,C15,JG075A_063
S075_WT,5,MMMMx,3.1622776601683795,73,D1,JG075A_073
S075_WT,5,MMMMx,1.7782794100389228,74,D2,JG075A_074
S075_WT,5,MMMMx,1.0,75,D3,JG075A_075
S075_WT,5,MMMMx,0.5623413251903491,76,D4,JG075A_076
S075_WT,5,MMMMx,0.31622776601683794,77,D5,JG075A_077
S075_WT,5,MMMMx,0.1778279410038923,78,D6,JG075A_078
S075_WT,5,MMMMx,0.1,79,D7,JG075A_079
S075_WT,5,L-MMMMx,3.1622776601683795,80,D8,JG075A_080
S075_WT,5,L-MMMMx,1.7782794100389228,81,D9,JG075A_081
S075_WT,5,L-MMMMx,1.0,82,D10,JG075A_082
S075_WT,5,L-MMMMx,0.5623413251903491,83,D11,JG075A_083
S075_WT,5,L-MMMMx,0.31622776601683794,84,D12,JG075A_084
S075_WT,5,L-MMMMx,0.1778279410038923,85,D13,JG075A_085
S075_WT,5,L-MMMMx,0.1,86,D14,JG075A_086
S075_WT,5,None,0.0,87,D15,JG075A_087
S075_WT,4,MMMMx,3.1622776601683795,97,E1,JG075A_097
S075_WT,4,MMMMx,1.7782794100389228,98,E2,JG075A_098
S075_WT,4,MMMMx,1.0,99,E3,JG075A_099
S075_WT,4,MMMMx,0.5623413251903491,100,E4,JG075A_100
S075_WT,4,MMMMx,0.31622776601683794,101,E5,JG075A_101
S075_WT,4,MMMMx,0.1778279410038923,102,E6,JG075A_102
S075_WT,4,MMMMx,0.1,103,E7,JG075A_103
S075_WT,4,L-MMMMx,3.1622776601683795,104,E8,JG075A_104
S075_WT,4,L-MMMMx,1.7782794100389228,105,E9,JG075A_105
S075_WT,4,L-MMMMx,1.0,106,E10,JG075A_106
S075_WT,4,L-MMMMx,0.5623413251903491,107,E11,JG075A_107
S075_WT,4,L-MMMMx,0.31622776601683794,108,E12,JG075A_108
S075_WT,4,L-MMMMx,0.1778279410038923,109,E13,JG075A_109
S075_WT,4,L-MMMMx,0.1,110,E14,JG075A_110
S075_WT,4,None,0.0,111,E15,JG075A_111
S075_WT,3,MMMMx,3.1622776601683795,121,F1,JG075A_121
S075_WT,3,MMMMx,1.7782794100389228,122,F2,JG075A_122
S075_WT,3,MMMMx,1.0,123,F3,JG075A_123
S075_WT,3,MMMMx,0.5623413251903491,124,F4,JG075A_124
S075_WT,3,MMMMx,0.31622776601683794,125,F5,JG075A_125
S075_WT,3,MMMMx,0.1778279410038923,126,F6,JG075A_126
S075_WT,3,MMMMx,0.1,127,F7,JG075A_127
S075_WT,3,L-MMMMx,3.1622776601683795,128,F8,JG075A_128
S075_WT,3,L-MMMMx,1.7782794100389228,129,F9,JG075A_129
S075_WT,3,L-MMMMx,1.0,130,F10,JG075A_130
S075_WT,3,L-MMMMx,0.5623413251903491,131,F11,JG075A_131
S075_WT,3,L-MMMMx,0.31622776601683794,132,F12,JG075A_132
S075_WT,3,L-MMMMx,0.1778279410038923,133,F13,JG075A_133
S075_WT,3,L-MMMMx,0.1,134,F14,JG075A_134
S075_WT,3,None,0.0,135,F15,JG075A_135
S075_WT,2,MMMMx,3.1622776601683795,145,G1,JG075A_145
S075_WT,2,MMMMx,1.7782794100389228,146,G2,JG075A_146
S075_WT,2,MMMMx,1.0,147,G3,JG075A_147
S075_WT,2,MMMMx,0.5623413251903491,148,G4,JG075A_148
S075_WT,2,MMMMx,0.31622776601683794,149,G5,JG075A_149
S075_WT,2,MMMMx,0.1778279410038923,150,G6,JG075A_150
S075_WT,2,MMMMx,0.1,151,G7,JG075A_151
S075_WT,2,L-MMMMx,3.1622776601683795,152,G8,JG075A_152
S075_WT,2,L-MMMMx,1.7782794100389228,153,G9,JG075A_153
S075_WT,2,L-MMMMx,1.0,154,G10,JG075A_154
S075_WT,2,L-MMMMx,0.5623413251903491,155,G11,JG075A_155
S075_WT,2,L-MMMMx,0.31622776601683794,156,G12,JG075A_156
S075_WT,2,L-MMMMx,0.1778279410038923,157,G13,JG075A_157
S075_WT,2,L-MMMMx,0.1,158,G14,JG075A_158
S075_WT,2,None,0.0,159,G15,JG075A_159
S075_WT,1,MMMMx,3.1622776601683795,169,H1,JG075A_169
S075_WT,1,MMMMx,1.7782794100389228,170,H2,JG075A_170
S075_WT,1,MMMMx,1.0,171,H3,JG075A_171
S075_WT,1,MMMMx,0.5623413251903491,172,H4,JG075A_172
S075_WT,1,MMMMx,0.31622776601683794,173,H5,JG075A_173
S075_WT,1,MMMMx,0.1778279410038923,174,H6,JG075A_174
S075_WT,1,MMMMx,0.1,175,H7,JG075A_175
S075_WT,1,L-MMMMx,3.1622776601683795,176,H8,JG075A_176
