# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075B L-MMMMx blocker tripartite competition separate.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-29 04:11:25 PM EDT
# Run End Date/Time: 2022-04-29 06:06:47 PM EDT
# Run Duration: 115 minutes 22 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:34:53 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:35:09 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","JG075B_001","S075_WTHEX","STANDARD","HEX","None","Amp","0.9338584938750664","","","25.86196155680397","0.7592755426168235","25.86196155680397","","true","0.03999999910593033","true","3","22"
"1","A1","false","JG075B_001","S075_WTFAM","STANDARD","FAM","None","Amp","0.8888182395303047","","","23.471724412504372","0.8011283835145006","23.471724412504372","","true","0.03999999910593033","true","3","20"
"2","A2","false","JG075B_002","S075_WTHEX","STANDARD","HEX","None","Amp","0.9330670324972586","","","25.97246122016059","0.7112365745527489","25.97246122016059","","true","0.03999999910593033","true","3","22"
"2","A2","false","JG075B_002","S075_WTFAM","STANDARD","FAM","None","Amp","0.8758416960401972","","","23.530930802583917","0.8165580971938106","23.530930802583917","","true","0.03999999910593033","true","3","20"
"3","A3","false","JG075B_003","S075_WTHEX","STANDARD","HEX","None","Amp","0.933368712211389","","","26.137362359281116","0.72663278778673","26.137362359281116","","true","0.03999999910593033","true","3","23"
"3","A3","false","JG075B_003","S075_WTFAM","STANDARD","FAM","None","Amp","0.8525409671056077","","","23.638328805098567","0.7646457622045777","23.638328805098567","","true","0.03999999910593033","true","3","20"
"4","A4","false","JG075B_004","S075_WTHEX","STANDARD","HEX","None","Amp","0.9538779631091693","","","25.9950904044383","0.6929565278801301","25.9950904044383","","true","0.03999999910593033","true","3","22"
"4","A4","false","JG075B_004","S075_WTFAM","STANDARD","FAM","None","Amp","0.8217720739323402","","","23.91823339740627","0.7722233518578117","23.91823339740627","","true","0.03999999910593033","true","3","21"
"5","A5","false","JG075B_005","S075_WTHEX","STANDARD","HEX","None","Amp","0.9594812351259442","","","26.27634450497421","0.6889902775401123","26.27634450497421","","true","0.03999999910593033","true","3","23"
"5","A5","false","JG075B_005","S075_WTFAM","STANDARD","FAM","None","Amp","0.7561346363561845","","","24.24072906054334","0.6604485100624954","24.24072906054334","","true","0.03999999910593033","true","3","20"
"6","A6","false","JG075B_006","S075_WTHEX","STANDARD","HEX","None","Amp","0.9611267850690993","","","26.18135011852847","0.6436110803044732","26.18135011852847","","true","0.03999999910593033","true","3","23"
"6","A6","false","JG075B_006","S075_WTFAM","STANDARD","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"7","A7","false","JG075B_007","S075_WTHEX","STANDARD","HEX","None","Amp","0.9659040653630948","","","26.264790995636496","0.6388904384826928","26.264790995636496","","true","0.03999999910593033","true","3","23"
"7","A7","false","JG075B_007","S075_WTFAM","STANDARD","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"8","A8","false","JG075B_008","S075_WTHEX","STANDARD","HEX","None","Amp","0.959666461638716","","","26.612811152350453","0.614931967859026","26.612811152350453","","true","0.03999999910593033","true","3","23"
"8","A8","false","JG075B_008","S075_WTFAM","STANDARD","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"9","A9","false","JG075B_009","S075_WTHEX","STANDARD","HEX","None","Amp","1.0112704311472938","","","9.345094849073394","0.27121305758583986","9.345094849073394","","true","0.03999999910593033","true","3","6"
"9","A9","false","JG075B_009","S075_WTFAM","STANDARD","FAM","None","Inconclusive","0.0","","","26.35426572789394","0.5198906765551383","26.35426572789394","","true","0.03999999910593033","true","3","21"
"10","A10","false","JG075B_010","S075_WTHEX","STANDARD","HEX","None","Amp","1.006005583891411","","","9.383153547610936","0.23046819743254052","9.383153547610936","","true","0.03999999910593033","true","3","6"
"10","A10","false","JG075B_010","S075_WTFAM","STANDARD","FAM","None","Inconclusive","0.5778847382996282","","","26.669976789797147","0.33344183417889905","26.669976789797147","","true","0.03999999910593033","true","3","21"
"11","A11","false","JG075B_011","S075_WTHEX","STANDARD","HEX","None","Amp","0.9895996574194098","","","9.261140667217758","0.2388670909640615","9.261140667217758","","true","0.03999999910593033","true","3","6"
"11","A11","false","JG075B_011","S075_WTFAM","STANDARD","FAM","None","Inconclusive","0.0","","","26.780886654372228","0.3322583437992461","26.780886654372228","","true","0.03999999910593033","true","3","21"
"12","A12","false","JG075B_012","S075_WTHEX","STANDARD","HEX","None","Amp","1.0073224238082137","","","9.281163098157215","0.21236948769992034","9.281163098157215","","true","0.03999999910593033","true","3","6"
"12","A12","false","JG075B_012","S075_WTFAM","STANDARD","FAM","None","Inconclusive","0.0","","","27.277819348660493","0.35434449159171766","27.277819348660493","","true","0.03999999910593033","true","3","21"
"13","A13","false","JG075B_013","S075_WTHEX","STANDARD","HEX","None","Amp","1.0083503428800735","","","9.168291982585819","0.21776458290700795","9.168291982585819","","true","0.03999999910593033","true","3","6"
"13","A13","false","JG075B_013","S075_WTFAM","STANDARD","FAM","None","No Amp","0.5383762915879686","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"14","A14","false","JG075B_014","S075_WTHEX","STANDARD","HEX","None","Amp","1.0129185413601278","","","9.303997602644056","0.26162259419995243","9.303997602644056","","true","0.03999999910593033","true","3","6"
"14","A14","false","JG075B_014","S075_WTFAM","STANDARD","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"15","A15","false","JG075B_015","S075_WTHEX","STANDARD","HEX","None","Amp","1.0012219840151024","","","9.36304047730364","0.287473315235643","9.36304047730364","","true","0.03999999910593033","true","3","6"
"15","A15","false","JG075B_015","S075_WTFAM","STANDARD","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"16","A16","false","JG075B_016","S075_WTHEX","STANDARD","HEX","None","Amp","0.9788976287525228","","","9.769745261065308","0.37610093186589416","9.769745261065308","","true","0.03999999910593033","true","3","7"
"16","A16","false","JG075B_016","S075_WTFAM","STANDARD","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"25","B1","false","JG075B_025","S075_WTHEX","STANDARD","HEX","None","Amp","0.9322760792603504","","","25.76224752729049","0.7494253654535702","25.76224752729049","","true","0.03999999910593033","true","3","22"
"25","B1","false","JG075B_025","S075_WTFAM","STANDARD","FAM","None","Amp","0.9931225176613033","","","23.41447703105988","0.8611942750595746","23.41447703105988","","true","0.03999999910593033","true","3","20"
"26","B2","false","JG075B_026","S075_WTHEX","STANDARD","HEX","None","Amp","0.9331080292111443","","","25.718576458584934","0.7266460539064131","25.718576458584934","","true","0.03999999910593033","true","3","22"
"26","B2","false","JG075B_026","S075_WTFAM","STANDARD","FAM","None","Amp","0.982860111112888","","","23.449526223778143","0.8572769358245798","23.449526223778143","","true","0.03999999910593033","true","3","20"
"27","B3","false","JG075B_027","S075_WTHEX","STANDARD","HEX","None","Amp","0.9314966072349844","","","25.78238389038364","0.7492293115075553","25.78238389038364","","true","0.03999999910593033","true","3","22"
"27","B3","false","JG075B_027","S075_WTFAM","STANDARD","FAM","None","Amp","0.9627495106855566","","","23.47929945921728","0.8341597191739899","23.47929945921728","","true","0.03999999910593033","true","3","20"
"28","B4","false","JG075B_028","S075_WTHEX","STANDARD","HEX","None","Amp","0.9438956332034895","","","25.73259577180555","0.7457646901118334","25.73259577180555","","true","0.03999999910593033","true","3","22"
"28","B4","false","JG075B_028","S075_WTFAM","STANDARD","FAM","None","Amp","0.9535849386326032","","","23.403506534908352","0.8300065819258541","23.403506534908352","","true","0.03999999910593033","true","3","20"
"29","B5","false","JG075B_029","S075_WTHEX","STANDARD","HEX","None","Amp","0.9500369217718686","","","25.652611622988886","0.7128214564672959","25.652611622988886","","true","0.03999999910593033","true","3","22"
"29","B5","false","JG075B_029","S075_WTFAM","STANDARD","FAM","None","Amp","0.9275509119424225","","","23.549952278180626","0.8443647524631729","23.549952278180626","","true","0.03999999910593033","true","3","20"
"30","B6","false","JG075B_030","S075_WTHEX","STANDARD","HEX","None","Amp","0.946083621962899","","","25.731437984306474","0.6848183365949747","25.731437984306474","","true","0.03999999910593033","true","3","22"
"30","B6","false","JG075B_030","S075_WTFAM","STANDARD","FAM","None","Amp","0.9017227705237169","","","23.430470712033376","0.8121528643891399","23.430470712033376","","true","0.03999999910593033","true","3","20"
"31","B7","false","JG075B_031","S075_WTHEX","STANDARD","HEX","None","Amp","0.9620716595352481","","","25.969268229116494","0.685401457807439","25.969268229116494","","true","0.03999999910593033","true","3","22"
"31","B7","false","JG075B_031","S075_WTFAM","STANDARD","FAM","None","Amp","0.8026081800547038","","","23.918912823266442","0.6149155889955362","23.918912823266442","","true","0.03999999910593033","true","3","20"
"32","B8","false","JG075B_032","S075_WTHEX","STANDARD","HEX","None","Amp","0.9591544429381327","","","26.3892819225437","0.6386433228871781","26.3892819225437","","true","0.03999999910593033","true","3","23"
"32","B8","false","JG075B_032","S075_WTFAM","STANDARD","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"33","B9","false","JG075B_033","S075_WTHEX","STANDARD","HEX","None","Amp","1.0082342339160557","","","9.297272739984676","0.236915934605025","9.297272739984676","","true","0.03999999910593033","true","3","6"
"33","B9","false","JG075B_033","S075_WTFAM","STANDARD","FAM","None","Inconclusive","0.6560477719385235","","","25.880575312866167","0.3824886741370462","25.880575312866167","","true","0.03999999910593033","true","3","21"
