# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075F L-MMMMx blocker tripartite competition matrix.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-05-04 11:29:00 AM EDT
# Run End Date/Time: 2022-05-04 12:48:19 PM EDT
# Run Duration: 79 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:39:38 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:39:44 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","JG075D_001","","FAM","FAM","UNKNOWN","FAM","None","Amp","28.998768","28.998678523239946","0.9797503699452771","","","0.0","true","0.03999999910593033","true","3","26","","","","","","","","","","","false"
"1","A1","JG075D_001","","HEX","HEX","UNKNOWN","HEX","None","Amp","31.068623","31.068621804390695","0.9787123283575623","","","0.0","true","0.03999999910593033","true","3","28","","","","","","","","","","","false"
"2","A2","JG075D_002","","FAM","FAM","UNKNOWN","FAM","None","Amp","28.94876","28.948668051003914","0.9514357081294799","","","0.0","true","0.03999999910593033","true","3","26","","","","","","","","","","","false"
"2","A2","JG075D_002","","HEX","HEX","UNKNOWN","HEX","None","Amp","30.964268","30.96426708791283","0.9803459564316667","","","0.0","true","0.03999999910593033","true","3","28","","","","","","","","","","","false"
"3","A3","JG075D_003","","FAM","FAM","UNKNOWN","FAM","None","Amp","28.855942","28.855852061019306","0.9718236762399997","","","0.0","true","0.03999999910593033","true","3","26","","","","","","","","","","","false"
"3","A3","JG075D_003","","HEX","HEX","UNKNOWN","HEX","None","Amp","30.727549","30.727548649568583","0.9797176572217994","","","0.0","true","0.03999999910593033","true","3","27","","","","","","","","","","","false"
"4","A4","JG075D_004","","FAM","FAM","UNKNOWN","FAM","None","Amp","28.817017","28.816919546054173","0.9805919971359883","","","0.0","true","0.03999999910593033","true","3","26","","","","","","","","","","","false"
"4","A4","JG075D_004","","HEX","HEX","UNKNOWN","HEX","None","Amp","30.966116","30.96611566809826","0.9883723534505574","","","0.0","true","0.03999999910593033","true","3","27","","","","","","","","","","","false"
"5","A5","JG075D_005","","FAM","FAM","UNKNOWN","FAM","None","Amp","28.955921","28.95581006461949","0.9731737228353058","","","0.0","true","0.03999999910593033","true","3","25","","","","","","","","","","","false"
"5","A5","JG075D_005","","HEX","HEX","UNKNOWN","HEX","None","Amp","31.336761","31.336761391411066","0.935788192272838","","","0.0","true","0.03999999910593033","true","3","28","","","","","","","","","","","false"
