# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_6\data\JG074D_L2_500_like_competitor_sweep.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-06 12:12:16 PM EDT
# Run End Date/Time: 2022-04-06 02:06:43 PM EDT
# Run Duration: 114 minutes 26 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:45:00 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:45:13 PM EDT
"Well","Well Position","Cycle Number","FAM","HEX","ROX"
"1","A1","1","72817.555","52041.363","154763.81"
"1","A1","2","72613.43","51993.875","154185.27"
"1","A1","3","72162.87","51825.63","153332.34"
"1","A1","4","71906.64","51460.04","153048.28"
"1","A1","5","71728.69","51500.184","152717.34"
"1","A1","6","71669.97","52052.64","152501.08"
"1","A1","7","72017.56","52441.727","152427.98"
"1","A1","8","72351.055","53246.688","152394.77"
"1","A1","9","72280.85","54688.69","152412.6"
"1","A1","10","72246.45","57504.055","152512.1"
"1","A1","11","72026.39","62864.12","152532.27"
"1","A1","12","71574.04","71259.305","152609.83"
"1","A1","13","70965.14","83738.11","152595.2"
"1","A1","14","70127.93","100589.88","152694.58"
"1","A1","15","69486.8","120449.414","153274.12"
"1","A1","16","69025.21","140495.52","153492.25"
"1","A1","17","68961.21","159159.44","153527.6"
"1","A1","18","69069.34","175270.94","153664.66"
"1","A1","19","69133.805","189308.6","153830.36"
"1","A1","20","69448.766","200358.14","153850.27"
"1","A1","21","69745.414","209364.58","154158.84"
"1","A1","22","69812.49","216754.14","154303.92"
"1","A1","23","69849.94","223405.03","154261.98"
"1","A1","24","70284.734","229114.23","154172.86"
"1","A1","25","70649.84","234576.69","154340.75"
"1","A1","26","71359.27","239389.66","154633.8"
"1","A1","27","71900.9","243900.17","154587.94"
"1","A1","28","72273.69","248618.17","154639.34"
"1","A1","29","72557.586","252778.38","154881.72"
"1","A1","30","73045.21","256835.69","154955.02"
"1","A1","31","73810.57","260975.38","154959.53"
"1","A1","32","74203.49","264623.0","155021.17"
"1","A1","33","74404.39","268875.8","155223.06"
"1","A1","34","74869.07","272957.0","155190.25"
"1","A1","35","75390.695","277161.22","155251.02"
"1","A1","36","75813.28","281134.47","155337.9"
"1","A1","37","76407.61","285300.28","155371.62"
"1","A1","38","76934.59","289130.03","155248.02"
"1","A1","39","77446.61","293210.6","155280.11"
"1","A1","40","77659.83","297893.75","155440.06"
"1","A1","41","78319.664","302411.28","155366.03"
"1","A1","42","78744.555","307245.47","155468.1"
"1","A1","43","79407.63","311566.88","155678.31"
"1","A1","44","79890.77","316283.8","155737.67"
"1","A1","45","80106.695","321434.72","155601.08"
"1","A1","46","80708.63","326137.0","155623.8"
"1","A1","47","81281.53","331018.28","155829.56"
"1","A1","48","81907.03","335999.7","155815.69"
"1","A1","49","82724.07","340646.22","155889.75"
"1","A1","50","83421.71","345016.1","155997.08"
"1","A1","51","83911.0","350068.75","155793.97"
"1","A1","52","84407.3","354973.12","155726.67"
"1","A1","53","85272.15","359252.16","156187.3"
"1","A1","54","86100.65","363736.9","156189.48"
"1","A1","55","87066.24","368258.4","156254.61"
"1","A1","56","87964.76","372647.66","156232.48"
"1","A1","57","89046.87","376850.66","156362.56"
"1","A1","58","90331.484","380738.22","156162.36"
"1","A1","59","91399.195","384731.25","155997.55"
