,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,Reaction,Blocker,Blocker μM,Configuration,WellName,lg10_Blocker,Cycle,Fluorescence,Corr_Fluorescence
0,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,1,0.001097022117616353,0.003484511049464345
1,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,1,-0.0006949109952413713,0.0017121318960562348
2,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,2,0.00066744168002414,0.002776217879727483
3,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,2,-0.0005527154305061106,0.0014080731198191643
4,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,3,-0.0020525409938345444,0.0002960573183372617
5,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,3,-0.0009656063825204044,0.0015793165657669306
6,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,4,-0.002595497382268286,-0.0004999441443942487
7,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,4,-0.00011123222382775698,0.0006654426688328385
8,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,5,-0.0009689011293352749,0.0003824317827820778
9,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,5,-0.00015889758324641798,0.000523955503012985
10,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,6,0.0010553392162196374,0.0015724273398518562
11,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,6,0.0005169272553894709,-0.00023703249462414533
12,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,7,0.0014269026025147584,0.001483903150074184
13,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,7,0.000645862139629288,-0.0005297366296872497
14,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,8,0.0012437212752121872,0.000966225634329021
15,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,8,0.00038398980354604215,-0.00048780537326820195
16,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,9,0.0009759028551475235,0.0003830723580904305
17,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,9,-6.6085871629195e-06,-0.0003356502274982631
18,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,10,0.0009150735563439988,-3.9953043597051874e-05
19,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,10,-0.0003044344218073022,-0.00026293317205272615
20,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,11,0.0006333479945009485,-0.0006338649545796216
21,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,11,-0.001146887890028324,0.00027613062411546707
22,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,12,-0.00023555943710988118,-0.001682023867033422
23,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,12,-0.0018783484183544133,0.0007201547850854695
24,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,13,-0.0009211699696028068,-0.002588383387774229
25,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,13,-0.0010403847868365732,-0.00017966733139473945
26,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,14,-0.00037621033636996273,-0.002542767208069563
27,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,14,-0.0006472630382905521,-0.000698585994541645
28,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,15,0.002125803893770962,-0.0009831632487475872
29,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,15,-0.0005916273486003516,-0.0009285263950005174
30,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,16,0.0027297822007004494,-0.0008918899693526328
31,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,16,0.00044286235225481546,-0.0019966273102909327
32,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,17,0.0037520534312579746,-0.0004770230734720826
33,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,17,0.00025082611962067014,-0.002014494501054287
34,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,18,0.0056263200844492885,0.0005969519843347371
35,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,18,-0.002014818571169725,-0.0002567988121882081
36,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,19,0.007632223035304721,0.0017727615777403116
37,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,19,-0.002727223397209055,0.00017090859182644635
38,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,20,0.009556185569089163,0.002885181689634919
39,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,20,-0.0032018757075938592,0.00039503633161075413
40,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,21,0.015905662579537638,0.0074212029576301575
41,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,21,-0.0034641308979696246,0.0004372954135760665
42,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,22,0.02815692991177356,0.016522880643606186
43,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,22,-0.006856324344498252,0.0031596177723258734
44,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,23,0.04552228859642665,0.029580846428871155
45,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,23,-0.012841624719196226,0.00810233224183321
46,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,24,0.07374049564778815,0.051034633070230484
47,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,24,-0.019933025949918328,0.01399216428399086
48,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,25,0.1122542252483846,0.08045309036970139
49,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,25,-0.03291676357212757,0.02492741122841835
50,JG075B,1,S075_WT,8.0,False,A1,100000000.0,FAM,JG075B_001,STANDARD,,0,L-MMMMx,3.1622776601683795,2+2,A1,0.5,26,0.15207491798464182,0.11088261753320694
51,JG075B,1,S075_WT,8.0,False,A1,100000000.0,HEX,JG075B_001,STANDARD,,1,L-MMMMx,3.1622776601683795,2+2,A1,0.5,26,-0.05412899707630927,0.0429084487259388
