# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075A EGFR Blocker Stoichiometry.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-28 09:18:02 AM EDT
# Run End Date/Time: 2022-04-28 11:14:02 AM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:34:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:34:39 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","S075_WT","1.784239649772644","0.17731584454994295","JG075A_001","false"
"1","A1","2","S075_WT","1.785667896270752","0.13329896097597868","JG075A_001","false"
"1","A1","3","S075_WT","1.7872419357299805","0.08942787036313479","JG075A_001","false"
"1","A1","4","S075_WT","1.7886559963226318","0.045396800883713985","JG075A_001","false"
"1","A1","5","S075_WT","1.790808081626892","0.002103756115901835","JG075A_001","false"
"1","A1","6","S075_WT","1.798715353012085","-0.035434102570977476","JG075A_001","false"
"1","A1","7","S075_WT","1.8016763925552368","-0.07791819309989803","JG075A_001","false"
"1","A1","8","S075_WT","1.8058385848999023","-0.11920113082730469","JG075A_001","false"
"1","A1","9","S075_WT","1.8149425983428955","-0.15554224745638393","JG075A_001","false"
"1","A1","10","S075_WT","1.8207043409347534","-0.1952256349365982","JG075A_001","false"
"1","A1","11","S075_WT","1.8357899188995361","-0.22558518704388766","JG075A_001","false"
"1","A1","12","S075_WT","1.8599730730056763","-0.24684716300982015","JG075A_001","false"
"1","A1","13","S075_WT","1.8865138292312622","-0.26575153685630637","JG075A_001","false"
"1","A1","14","S075_WT","1.9202585220336914","-0.27745197412594935","JG075A_001","false"
"1","A1","15","S075_WT","1.9745732545852661","-0.26858237164644727","JG075A_001","false"
"1","A1","16","S075_WT","2.04622483253479","-0.24237592376899555","JG075A_001","false"
"1","A1","17","S075_WT","2.138549327850342","-0.19549655852551598","JG075A_001","false"
"1","A1","18","S075_WT","2.2529101371765137","-0.12658087927141629","JG075A_001","false"
"1","A1","19","S075_WT","2.3783955574035645","-0.04654058911643768","JG075A_001","false"
"1","A1","20","S075_WT","2.51198673248291","0.0416054558908354","JG075A_001","false"
"1","A1","21","S075_WT","2.644237995147705","0.12841158848355813","JG075A_001","false"
"1","A1","22","S075_WT","2.77315354347229","0.2118820067360709","JG075A_001","false"
"1","A1","23","S075_WT","2.887763023376465","0.2810463565681731","JG075A_001","false"
"1","A1","24","S075_WT","2.983886957168579","0.3317251602882152","JG075A_001","false"
"1","A1","25","S075_WT","3.060908794403076","0.3633018674506401","JG075A_001","false"
"1","A1","26","S075_WT","3.1156435012817383","0.37259144425723","JG075A_001","false"
"1","A1","27","S075_WT","3.15801739692688","0.36952020983029943","JG075A_001","false"
"1","A1","28","S075_WT","3.193493366241455","0.359551049072802","JG075A_001","false"
"1","A1","29","S075_WT","3.2142484188079834","0.33486097156725814","JG075A_001","false"
"1","A1","30","S075_WT","3.229710340499878","0.30487776318708004","JG075A_001","false"
"1","A1","31","S075_WT","3.246555805206299","0.27627809782142876","JG075A_001","false"
"1","A1","32","S075_WT","3.262787103652954","0.24706426619601182","JG075A_001","false"
"1","A1","33","S075_WT","3.2705538272857666","0.20938585975675214","JG075A_001","false"
"1","A1","34","S075_WT","3.2802042961120605","0.1735911985109739","JG075A_001","false"
"1","A1","35","S075_WT","3.2906157970428467","0.1385575693696874","JG075A_001","false"
"1","A1","36","S075_WT","3.288269281387329","0.09076592364209765","JG075A_001","false"
"1","A1","37","S075_WT","3.294463634490967","0.05151514667366273","JG075A_001","false"
"1","A1","38","S075_WT","3.3068180084228516","0.01842439053347531","JG075A_001","false"
"1","A1","39","S075_WT","3.31418514251709","-0.01965360544435859","JG075A_001","false"
"1","A1","40","S075_WT","3.31952166557312","-0.0597622124604005","JG075A_001","false"
"1","A1","41","S075_WT","3.3231425285339355","-0.10158647957165726","JG075A_001","false"
"1","A1","42","S075_WT","3.324599027633667","-0.145575110543998","JG075A_001","false"
"1","A1","43","S075_WT","3.3340532779693604","-0.18156599028037726","JG075A_001","false"
"1","A1","44","S075_WT","3.340892791748047","-0.22017160657376292","JG075A_001","false"
"1","A1","45","S075_WT","3.3450193405151367","-0.2614901878787457","JG075A_001","false"
"1","A1","46","S075_WT","3.3577494621276855","-0.294205196338269","JG075A_001","false"
"1","A1","47","S075_WT","3.37157940864563","-0.32582037989239687","JG075A_001","false"
"1","A1","48","S075_WT","3.389324426651001","-0.35352049195909796","JG075A_001","false"
"1","A1","49","S075_WT","3.4112956523895264","-0.37699439629264475","JG075A_001","false"
"1","A1","50","S075_WT","3.441807270050049","-0.39192790870419447","JG075A_001","false"
"1","A1","51","S075_WT","3.4832258224487305","-0.3959544863775859","JG075A_001","false"
"1","A1","52","S075_WT","3.541858434677124","-0.38276700422126453","JG075A_001","false"
"1","A1","53","S075_WT","3.630235433578491","-0.3398351353919695","JG075A_001","false"
"1","A1","54","S075_WT","3.74454402923584","-0.27097166980669307","JG075A_001","false"
"1","A1","55","S075_WT","3.8910679817199707","-0.16989284739463442","JG075A_001","false"
"1","A1","56","S075_WT","4.059861183166504","-0.046544776020173394","JG075A_001","false"
"1","A1","57","S075_WT","4.236429691314697","0.08457860205594778","JG075A_001","false"
"1","A1","58","S075_WT","4.425012111663818","0.2277158923329967","JG075A_001","false"
"1","A1","59","S075_WT","4.606807708740234","0.36406635933733966","JG075A_001","false"
"1","A1","60","S075_WT","4.782631874084473","0.49444539460950576","JG075A_001","false"
"1","A1","61","S075_WT","4.948476791381836","0.6148451818347969","JG075A_001","false"
"1","A1","62","S075_WT","5.1066203117370605","0.7275435721179493","JG075A_001","false"
"1","A1","63","S075_WT","5.26849889755249","0.8439770278613068","JG075A_001","false"
"1","A1","64","S075_WT","5.4106926918029785","0.9407256920397229","JG075A_001","false"
"1","A1","65","S075_WT","5.553874969482422","1.038462839647094","JG075A_001","false"
"1","A1","66","S075_WT","5.689496040344238","1.1286387804368374","JG075A_001","false"
"1","A1","67","S075_WT","5.808052062988281","1.2017496730088082","JG075A_001","false"
"1","A1","68","S075_WT","5.926468372344971","1.2747208522934255","JG075A_001","false"
"1","A1","69","S075_WT","6.046335220336914","1.3491425702132966","JG075A_001","false"
"1","A1","70","S075_WT","6.153528213500977","1.410890433305287","JG075A_001","false"
"1","A1","71","S075_WT","6.268758296966553","1.480675386698791","JG075A_001","false"
"1","A1","72","S075_WT","6.375685691833496","1.5421576514936621","JG075A_001","false"
"1","A1","73","S075_WT","6.469208240509033","1.590235070097127","JG075A_001","false"
"1","A1","74","S075_WT","6.554098129272461","1.6296798287884817","JG075A_001","false"
"1","A1","75","S075_WT","6.649123191833496","1.6792597612774447","JG075A_001","false"
"1","A1","76","S075_WT","6.7455058097839355","1.730197249155812","JG075A_001","false"
"1","A1","77","S075_WT","6.8338446617126465","1.7730909710124507","JG075A_001","false"
"1","A1","78","S075_WT","6.908543586730957","1.802344765958689","JG075A_001","false"
"1","A1","79","S075_WT","6.969029426574707","1.817385475730367","JG075A_001","false"
"1","A1","80","S075_WT","7.049529552459717","1.8524404715433045","JG075A_001","false"
"1","A1","81","S075_WT","7.12023401260376","1.8776998016152744","JG075A_001","false"
