# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075A EGFR Blocker Stoichiometry.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-28 09:18:02 AM EDT
# Run End Date/Time: 2022-04-28 11:14:02 AM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:34:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:34:39 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"JG075A_001","S075_WT","1","1.0E8","0","56.82155523094502","","",
"JG075A_002","S075_WT","1","1.0E8","0","55.330618260536475","","",
"JG075A_003","S075_WT","1","1.0E8","0","56.24623879868038","","",
"JG075A_004","S075_WT","1","1.0E8","0","54.97579335378484","","",
"JG075A_005","S075_WT","1","1.0E8","0","54.48511280789129","","",
"JG075A_006","S075_WT","1","1.0E8","0","52.770202340056784","","",
"JG075A_007","S075_WT","1","1.0E8","0","51.99153974097705","","",
"JG075A_008","S075_WT","1","1.0E8","0","61.33061185063812","","",
"JG075A_009","S075_WT","1","1.0E8","0","60.40766280452088","","",
"JG075A_010","S075_WT","1","1.0E8","0","59.585645889397874","","",
"JG075A_011","S075_WT","1","1.0E8","0","55.01416590312229","","",
"JG075A_012","S075_WT","1","1.0E8","0","55.51099970133526","","",
"JG075A_013","S075_WT","1","1.0E8","0","52.38136571463959","","",
"JG075A_014","S075_WT","1","1.0E8","0","52.68489321111493","","",
"JG075A_015","S075_WT","1","1.0E8","0","7.461934181972399","","",
"JG075A_025","S075_WT","1","1.0E7","0","62.326784392757034","","",
"JG075A_026","S075_WT","1","1.0E7","0","59.72767260831416","","",
"JG075A_027","S075_WT","1","1.0E7","0","61.61399675024827","","",
"JG075A_028","S075_WT","1","1.0E7","0","60.14614756259317","","",
"JG075A_029","S075_WT","1","1.0E7","0","58.94817906653115","","",
"JG075A_030","S075_WT","1","1.0E7","0","57.86245839457991","","",
"JG075A_031","S075_WT","1","1.0E7","0","57.08620748056434","","",
"JG075A_032","S075_WT","1","1.0E7","0","20.38024354320781","","",
"JG075A_033","S075_WT","1","1.0E7","0","19.936075807220334","","",
"JG075A_034","S075_WT","1","1.0E7","0","64.15802511351583","","",
"JG075A_035","S075_WT","1","1.0E7","0","61.49685196694747","","",
"JG075A_036","S075_WT","1","1.0E7","0","61.871576352482535","","",
"JG075A_037","S075_WT","1","1.0E7","0","60.03353042161154","","",
"JG075A_038","S075_WT","1","1.0E7","0","58.24506979275218","","",
"JG075A_039","S075_WT","1","1.0E7","0","11.642463873461299","","",
"JG075A_049","S075_WT","1","1000000.0","0","22.03876866826438","","",
"JG075A_050","S075_WT","1","1000000.0","0","65.89579969831438","","",
"JG075A_051","S075_WT","1","1000000.0","0","65.08132027113828","","",
"JG075A_052","S075_WT","1","1000000.0","0","64.37768386802176","","",
"JG075A_053","S075_WT","1","1000000.0","0","63.41045628257862","","",
"JG075A_054","S075_WT","1","1000000.0","0","61.866216877625675","","",
"JG075A_055","S075_WT","1","1000000.0","0","60.94952336964415","","",
"JG075A_056","S075_WT","1","1000000.0","0","24.233129881237573","","",
"JG075A_057","S075_WT","1","1000000.0","0","23.819363354957552","","",
"JG075A_058","S075_WT","1","1000000.0","0","67.32422545284548","","",
"JG075A_059","S075_WT","1","1000000.0","0","22.179673141641267","","",
"JG075A_060","S075_WT","1","1000000.0","0","65.5853585695763","","",
"JG075A_061","S075_WT","1","1000000.0","0","64.35049165568361","","",
"JG075A_062","S075_WT","1","1000000.0","0","62.24389254960683","","",
"JG075A_063","S075_WT","1","1000000.0","0","15.161850235228457","","",
"JG075A_073","S075_WT","1","100000.0","0","69.73722004355737","","",
"JG075A_074","S075_WT","1","100000.0","0","25.384937432064753","","",
"JG075A_075","S075_WT","1","100000.0","0","24.484725267654248","","",
"JG075A_076","S075_WT","1","100000.0","0","67.68569466681927","","",
"JG075A_077","S075_WT","1","100000.0","0","67.10623655797369","","",
"JG075A_078","S075_WT","1","100000.0","0","66.14149632677422","","",
"JG075A_079","S075_WT","1","100000.0","0","64.58605830746147","","",
"JG075A_080","S075_WT","1","100000.0","0","28.054899159779865","","",
"JG075A_081","S075_WT","1","100000.0","0","27.52940947727688","","",
"JG075A_082","S075_WT","1","100000.0","0","27.042344773986486","","",
"JG075A_083","S075_WT","1","100000.0","0","26.052123023338012","","",
"JG075A_084","S075_WT","1","100000.0","0","68.9833146694182","","",
"JG075A_085","S075_WT","1","100000.0","0","67.19479971304463","","",
"JG075A_086","S075_WT","1","100000.0","0","65.80961196383338","","",
"JG075A_087","S075_WT","1","100000.0","0","18.63790313167513","","",
"JG075A_097","S075_WT","1","10000.0","0","28.61473240583134","","",
"JG075A_098","S075_WT","1","10000.0","0","28.353918630508964","","",
"JG075A_099","S075_WT","1","10000.0","0","27.460408782378977","","",
"JG075A_100","S075_WT","1","10000.0","0","70.74590071793087","","",
"JG075A_101","S075_WT","1","10000.0","0","69.44934867442562","","",
"JG075A_102","S075_WT","1","10000.0","0","68.11328884819","","",
"JG075A_103","S075_WT","1","10000.0","0","67.2745958400943","","",
"JG075A_104","S075_WT","1","10000.0","0","31.091124677871285","","",
"JG075A_105","S075_WT","1","10000.0","0","30.5836626707086","","",
"JG075A_106","S075_WT","1","10000.0","0","30.203359056201315","","",
"JG075A_107","S075_WT","1","10000.0","0","27.819665568200605","","",
"JG075A_108","S075_WT","1","10000.0","0","70.73270096233784","","",
"JG075A_109","S075_WT","1","10000.0","0","69.37985130974563","","",
"JG075A_110","S075_WT","1","10000.0","0","68.26829407867463","","",
"JG075A_111","S075_WT","1","10000.0","0","20.987626576441734","","",
