# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075F L-MMMMx blocker tripartite competition matrix.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-05-04 11:29:00 AM EDT
# Run End Date/Time: 2022-05-04 12:48:19 PM EDT
# Run Duration: 79 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:39:38 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:39:44 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"JG075D_001","FAM","1","-","0","28.998678523239946","","",
"JG075D_001","HEX","1","-","0","31.068621804390695","","",
"JG075D_002","FAM","1","-","0","28.948668051003914","","",
"JG075D_002","HEX","1","-","0","30.96426708791283","","",
"JG075D_003","FAM","1","-","0","28.855852061019306","","",
"JG075D_003","HEX","1","-","0","30.727548649568583","","",
"JG075D_004","FAM","1","-","0","28.816919546054173","","",
"JG075D_004","HEX","1","-","0","30.96611566809826","","",
"JG075D_005","FAM","1","-","0","28.95581006461949","","",
"JG075D_005","HEX","1","-","0","31.336761391411066","","",
"JG075D_006","FAM","1","-","0","29.67375749234813","","",
"JG075D_006","HEX","1","-","0","31.332830769736276","","",
"JG075D_007","FAM","1","-","0","","","",
"JG075D_007","HEX","1","-","0","31.716527885076054","","",
"JG075D_008","FAM","1","-","0","","","",
"JG075D_008","HEX","1","-","0","31.968174470904266","","",
"JG075D_009","FAM","1","-","0","28.981815211891167","","",
"JG075D_009","HEX","1","-","0","30.79993486362902","","",
"JG075D_010","FAM","1","-","0","28.71685748643592","","",
"JG075D_010","HEX","1","-","0","30.957393721429725","","",
"JG075D_011","FAM","1","-","0","29.053759064995226","","",
"JG075D_011","HEX","1","-","0","30.952636497196124","","",
"JG075D_012","FAM","1","-","0","29.25962368876287","","",
"JG075D_012","HEX","1","-","0","30.97408273925018","","",
"JG075D_013","FAM","1","-","0","29.098235024135732","","",
"JG075D_013","HEX","1","-","0","31.296130497886754","","",
"JG075D_014","FAM","1","-","0","29.98728433986222","","",
"JG075D_014","HEX","1","-","0","31.36787203911186","","",
"JG075D_015","FAM","1","-","0","","","",
"JG075D_015","HEX","1","-","0","31.65860800211461","","",
"JG075D_016","FAM","1","-","0","","","",
"JG075D_016","HEX","1","-","0","32.27134189620389","","",
"JG075D_017","FAM","1","-","0","28.93739547593804","","",
"JG075D_017","HEX","1","-","0","30.816985620611714","","",
"JG075D_018","FAM","1","-","0","29.045205062792945","","",
"JG075D_018","HEX","1","-","0","30.91841372933068","","",
"JG075D_019","FAM","1","-","0","28.973746337731896","","",
"JG075D_019","HEX","1","-","0","30.782471355102643","","",
"JG075D_020","FAM","1","-","0","28.79330870338221","","",
"JG075D_020","HEX","1","-","0","30.8676487121134","","",
"JG075D_021","FAM","1","-","0","28.96097555898592","","",
"JG075D_021","HEX","1","-","0","31.017017587473728","","",
"JG075D_022","FAM","1","-","0","30.1268005290608","","",
"JG075D_022","HEX","1","-","0","31.390632696424575","","",
"JG075D_023","FAM","1","-","0","","","",
"JG075D_023","HEX","1","-","0","31.556734427976053","","",
"JG075D_024","FAM","1","-","0","","","",
"JG075D_024","HEX","1","-","0","32.10484418484283","","",
"JG075D_025","FAM","1","-","0","29.04641819984836","","",
"JG075D_025","HEX","1","-","0","31.00504021448049","","",
"JG075D_026","FAM","1","-","0","28.37384952510076","","",
"JG075D_026","HEX","1","-","0","30.731706877526157","","",
"JG075D_027","FAM","1","-","0","29.1018023435457","","",
"JG075D_027","HEX","1","-","0","30.80082876492483","","",
"JG075D_028","FAM","1","-","0","29.1658654399566","","",
"JG075D_028","HEX","1","-","0","30.930284075206146","","",
"JG075D_029","FAM","1","-","0","29.137254369236686","","",
"JG075D_029","HEX","1","-","0","31.265933709632964","","",
"JG075D_030","FAM","1","-","0","29.778789231695352","","",
