# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076E_FP004-RP004x_Set_I.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 10:55:32 AM EDT
# Run End Date/Time: 2022-07-20 12:51:31 PM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:32:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:32:41 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","JG076E_001","S056.4.1_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.2779218313267187","","","8.407192971717217","0.26414649191235007","8.407192971717217","","true","0.14194366625141502","true","3","4"
"2","A2","false","JG076E_002","S056.4.2_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.16752210702958","","","10.475284412099517","0.3526721341538745","10.475284412099517","","true","0.09367009197194755","true","3","6"
"3","A3","false","JG076E_003","S056.4.3_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.2153316444995892","","","70.95232129640902","0.15734763831294094","70.95232129640902","","true","0.0779531845253233","true","3","60"
"4","A4","false","JG076E_004","S056.4.4_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.2486176613399502","","","9.785776745609157","0.3062286815023393","9.785776745609157","","true","0.11746512035441736","true","3","6"
"5","A5","false","JG076E_005","S056.4.5_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.023518292592625","","","9.23865264750565","0.16615896501127425","9.23865264750565","","true","0.048358725337941055","true","3","6"
"6","A6","false","JG076E_006","S056.4.6_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.2141106701778206","","","57.25908915233735","0.13550011542327953","57.25908915233735","","true","0.09648019774541308","true","3","47"
"7","A7","false","JG076E_007","S056.4.7_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.1931181211409843","","","12.59548663972938","0.4587493355242233","12.59548663972938","","true","0.10514987811860455","true","3","8"
"8","A8","false","JG076E_008","S056.4.9_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.208385163396627","","","8.275675391008477","0.22907092150188282","8.275675391008477","","true","0.11579990586355626","true","3","4"
"9","A9","false","JG076E_009","S056.4.1_TET_BHQ1","UNKNOWN","TET","None","Amp","1.2447036287932953","","","7.8551699522062535","0.5844733322723885","7.8551699522062535","","true","0.10899412667020891","true","3","4"
"10","A10","false","JG076E_010","S056.4.2_TET_BHQ1","UNKNOWN","TET","None","Amp","1.1484774188241804","","","10.379560490786071","0.3323779902995528","10.379560490786071","","true","0.06432381444517808","true","3","7"
"11","A11","false","JG076E_011","S056.4.3_TET_BHQ1","UNKNOWN","TET","None","Amp","0.0","","","78.53085785721967","0.3061279742737293","78.53085785721967","","true","0.0561416728389065","true","3","59"
"12","A12","false","JG076E_012","S056.4.4_TET_BHQ1","UNKNOWN","TET","None","Amp","1.243371946941316","","","10.000529933900197","0.598886877397523","10.000529933900197","","true","0.10982033697125929","true","3","6"
"13","A13","false","JG076E_013","S056.4.5_TET_BHQ1","UNKNOWN","TET","None","Amp","0.9985249893204118","","","10.096260234362038","0.20333013393519128","10.096260234362038","","true","0.03999999910593033","true","3","7"
"14","A14","false","JG076E_014","S056.4.6_TET_BHQ1","UNKNOWN","TET","None","Amp","1.1047293830619629","","","9.895379869987845","0.46615838866318604","9.895379869987845","","true","0.049783120554378474","true","3","7"
"15","A15","false","JG076E_015","S056.4.7_TET_BHQ1","UNKNOWN","TET","None","Amp","1.1788861599622127","","","12.719335779002208","0.5720917844083752","12.719335779002208","","true","0.08893166367749171","true","3","8"
"16","A16","false","JG076E_016","S056.4.9_TET_BHQ1","UNKNOWN","TET","None","Amp","1.2085721547145283","","","8.317538693290047","0.558131122181364","8.317538693290047","","true","0.10571160727165936","true","3","5"
"17","A17","false","JG076E_017","S056.4.1_SUN_Z_IBFQ","UNKNOWN","SUN","None","Inconclusive","1.1895582609090427","","","8.27898636187932","0.2700631229330222","8.27898636187932","","true","0.08725615920721387","true","3","5"
"18","A18","false","JG076E_018","S056.4.2_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.0759750571273028","","","10.497509369313747","0.3336919803409237","10.497509369313747","","true","0.05250388172924952","true","3","7"
"19","A19","false","JG076E_019","S056.4.3_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.0978780168788227","","","70.95151966198682","0.1288831983648859","70.95151966198682","","true","0.05150873928291904","true","3","59"
"20","A20","false","JG076E_020","S056.4.4_SUN_Z_IBFQ","UNKNOWN","SUN","None","Inconclusive","1.1627385383401674","","","9.78998779125452","0.2917172329452136","9.78998779125452","","true","0.0815016898461021","true","3","6"
"21","A21","false","JG076E_021","S056.4.5_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","0.9326243389428106","","","9.669269304513005","0.18113411953581984","9.669269304513005","","true","0.03999999910593033","true","3","6"
"22","A22","false","JG076E_022","S056.4.6_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.0361275012665934","","","9.479750830013911","0.4077001062314666","9.479750830013911","","true","0.04664450197919308","true","3","6"
"23","A23","false","JG076E_023","S056.4.7_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.0688999496970344","","","12.790512971621531","0.6048555801474887","12.790512971621531","","true","0.06311599052611683","true","3","9"
"24","A24","false","JG076E_024","S056.4.9_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.0765712648706096","","","8.308081624425542","0.8549266227265547","8.308081624425542","","true","0.06544462389210033","true","3","5"
"25","B1","false","JG076E_025","S056.4.1_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.2700071842021508","","","11.557381037007286","0.5825642044626773","11.557381037007286","","true","0.14194366625141502","true","3","7"
"26","B2","false","JG076E_026","S056.4.2_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.1628438215416452","","","13.626026081009584","0.5616447035586213","13.626026081009584","","true","0.09367009197194755","true","3","9"
"27","B3","false","JG076E_027","S056.4.3_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.07334167619456","","","13.631614486408289","0.3846711307627311","13.631614486408289","","true","0.0779531845253233","true","3","9"
"28","B4","false","JG076E_028","S056.4.4_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.2547879818651397","","","12.76428824742753","0.6984680679010323","12.76428824742753","","true","0.11746512035441736","true","3","8"
"29","B5","false","JG076E_029","S056.4.5_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.0281005088428277","","","12.394936821372422","0.2521495644218362","12.394936821372422","","true","0.048358725337941055","true","3","9"
"30","B6","false","JG076E_030","S056.4.6_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.1947860242885362","","","64.64996557322607","0.17678818778784075","64.64996557322607","","true","0.09648019774541308","true","3","52"
"31","B7","false","JG076E_031","S056.4.7_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.1770361320881764","","","16.00880048186289","0.5293357076578529","16.00880048186289","","true","0.10514987811860455","true","3","11"
"32","B8","false","JG076E_032","S056.4.9_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.2038189105265777","","","11.712140146771333","0.5788195960980197","11.712140146771333","","true","0.11579990586355626","true","3","7"
"33","B9","false","JG076E_033","S056.4.1_TET_BHQ1","UNKNOWN","TET","None","Amp","1.2421507310484579","","","11.593810366055468","0.6097685961629334","11.593810366055468","","true","0.10899412667020891","true","3","8"
"34","B10","false","JG076E_034","S056.4.2_TET_BHQ1","UNKNOWN","TET","None","Amp","1.1436652346341902","","","13.046713955754491","0.5240237867860091","13.046713955754491","","true","0.06432381444517808","true","3","9"
"35","B11","false","JG076E_035","S056.4.3_TET_BHQ1","UNKNOWN","TET","None","Amp","0.0","","","82.7448790912253","0.368932772372719","82.7448790912253","","true","0.0561416728389065","true","3","62"
"36","B12","false","JG076E_036","S056.4.4_TET_BHQ1","UNKNOWN","TET","None","Amp","1.2384158851964508","","","13.003603809667283","0.8163737037048727","13.003603809667283","","true","0.10982033697125929","true","3","9"
"37","B13","false","JG076E_037","S056.4.5_TET_BHQ1","UNKNOWN","TET","None","Amp","0.9857492915351198","","","12.712089347323623","0.26013523773438924","12.712089347323623","","true","0.03999999910593033","true","3","9"
"38","B14","false","JG076E_038","S056.4.6_TET_BHQ1","UNKNOWN","TET","None","Amp","1.096076918227707","","","12.361861111987565","0.4655700965458311","12.361861111987565","","true","0.049783120554378474","true","3","9"
"39","B15","false","JG076E_039","S056.4.7_TET_BHQ1","UNKNOWN","TET","None","Amp","1.168501864673958","","","16.108427739995108","0.6205607694644888","16.108427739995108","","true","0.08893166367749171","true","3","12"
"40","B16","false","JG076E_040","S056.4.9_TET_BHQ1","UNKNOWN","TET","None","Amp","1.2076294896787831","","","11.845132667409416","0.7096912895282416","11.845132667409416","","true","0.10571160727165936","true","3","8"
"41","B17","false","JG076E_041","S056.4.1_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.1831246335877563","","","11.576464613812291","0.6344705834521337","11.576464613812291","","true","0.08725615920721387","true","3","8"
"42","B18","false","JG076E_042","S056.4.2_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.071500321037357","","","13.414399976346473","0.5662261465369984","13.414399976346473","","true","0.05250388172924952","true","3","10"
"43","B19","false","JG076E_043","S056.4.3_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","0.9839440220680187","","","13.87862990707304","0.3929165467544592","13.87862990707304","","true","0.05150873928291904","true","3","10"
"44","B20","false","JG076E_044","S056.4.4_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.1675593840313894","","","12.975481640028505","0.7463906197447236","12.975481640028505","","true","0.0815016898461021","true","3","9"
"45","B21","false","JG076E_045","S056.4.5_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","0.9307952254137876","","","12.94425450896276","0.3011735688027703","12.94425450896276","","true","0.03999999910593033","true","3","9"
"46","B22","false","JG076E_046","S056.4.6_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.0447799331534415","","","12.481160081962432","0.4094140239090578","12.481160081962432","","true","0.04664450197919308","true","3","9"
"47","B23","false","JG076E_047","S056.4.7_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.0686869103178127","","","16.209355434732746","0.674828149115343","16.209355434732746","","true","0.06311599052611683","true","3","12"
"48","B24","false","JG076E_048","S056.4.9_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.095076546679865","","","11.822555040892677","0.6904430604800798","11.822555040892677","","true","0.06544462389210033","true","3","8"
"49","C1","false","JG076E_049","S056.4.1_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.2739097635061198","","","14.720416439998221","0.8885922149486765","14.720416439998221","","true","0.14194366625141502","true","3","10"
"50","C2","false","JG076E_050","S056.4.2_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.153121686805855","","","16.884715632779347","0.9021735328612966","16.884715632779347","","true","0.09367009197194755","true","3","12"
"51","C3","false","JG076E_051","S056.4.3_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.0636595924012466","","","17.216368647467707","0.4177894894531518","17.216368647467707","","true","0.0779531845253233","true","3","13"
"52","C4","false","JG076E_052","S056.4.4_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.2418648435425819","","","16.282216023775597","0.8927008329630356","16.282216023775597","","true","0.11746512035441736","true","3","12"
"53","C5","false","JG076E_053","S056.4.5_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.0306482774165358","","","15.84062446442902","0.28289541682273345","15.84062446442902","","true","0.048358725337941055","true","3","12"
"54","C6","false","JG076E_054","S056.4.6_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.2701919662348944","","","68.18476006238484","0.21471724838217204","68.18476006238484","","true","0.09648019774541308","true","3","57"
"55","C7","false","JG076E_055","S056.4.7_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.1999650555854986","","","19.255280235983882","0.4801206285502342","19.255280235983882","","true","0.10514987811860455","true","3","15"
"56","C8","false","JG076E_056","S056.4.9_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.2209850184023225","","","14.828422830442282","0.6972631257413595","14.828422830442282","","true","0.11579990586355626","true","3","10"
"57","C9","false","JG076E_057","S056.4.1_TET_BHQ1","UNKNOWN","TET","None","Amp","1.2539412983845843","","","14.65659011990071","0.7586357209379885","14.65659011990071","","true","0.10899412667020891","true","3","10"
"58","C10","false","JG076E_058","S056.4.2_TET_BHQ1","UNKNOWN","TET","None","Amp","1.1406230302051579","","","16.453162779442735","0.7758109281324507","16.453162779442735","","true","0.06432381444517808","true","3","12"
"59","C11","false","JG076E_059","S056.4.3_TET_BHQ1","UNKNOWN","TET","None","Amp","1.0337420506385042","","","16.753514942739116","0.3918614228706948","16.753514942739116","","true","0.0561416728389065","true","3","13"
"60","C12","false","JG076E_060","S056.4.4_TET_BHQ1","UNKNOWN","TET","None","Amp","1.2358920726478984","","","16.381033429092255","0.8120574555402199","16.381033429092255","","true","0.10982033697125929","true","3","12"
"61","C13","false","JG076E_061","S056.4.5_TET_BHQ1","UNKNOWN","TET","None","Inconclusive","0.9859304077775828","","","16.374459265000066","0.281011632993782","16.374459265000066","","true","0.03999999910593033","true","3","13"
"62","C14","false","JG076E_062","S056.4.6_TET_BHQ1","UNKNOWN","TET","None","Inconclusive","1.1048280437061522","","","15.515152154032279","0.40251365231728153","15.515152154032279","","true","0.049783120554378474","true","3","12"
"63","C15","false","JG076E_063","S056.4.7_TET_BHQ1","UNKNOWN","TET","None","Amp","1.1693811286973999","","","19.623229362979657","0.6263400240763602","19.623229362979657","","true","0.08893166367749171","true","3","15"
"64","C16","false","JG076E_064","S056.4.9_TET_BHQ1","UNKNOWN","TET","None","Amp","1.2098536841225365","","","14.984301853402282","0.8145511449016637","14.984301853402282","","true","0.10571160727165936","true","3","11"
"65","C17","false","JG076E_065","S056.4.1_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.2002787558024808","","","14.477038557814119","0.8397629568020721","14.477038557814119","","true","0.08725615920721387","true","3","10"
"66","C18","false","JG076E_066","S056.4.2_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.076710311453804","","","16.690914226630802","0.7582131298285282","16.690914226630802","","true","0.05250388172924952","true","3","13"
"67","C19","false","JG076E_067","S056.4.3_SUN_Z_IBFQ","UNKNOWN","SUN","None","Inconclusive","0.9804485214594191","","","17.254485183913246","0.34727454725946877","17.254485183913246","","true","0.05150873928291904","true","3","13"
"68","C20","false","JG076E_068","S056.4.4_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.1610103112828385","","","16.274552207551807","0.9083156509656769","16.274552207551807","","true","0.0815016898461021","true","3","12"
"69","C21","false","JG076E_069","S056.4.5_SUN_Z_IBFQ","UNKNOWN","SUN","None","Inconclusive","0.958433678078922","","","16.227331150957298","0.28694753177876625","16.227331150957298","","true","0.03999999910593033","true","3","12"
"70","C22","false","JG076E_070","S056.4.6_SUN_Z_IBFQ","UNKNOWN","SUN","None","Inconclusive","1.1742533303883669","","","68.24505384551907","0.21778612307915823","68.24505384551907","","true","0.04664450197919308","true","3","58"
"71","C23","false","JG076E_071","S056.4.7_SUN_Z_IBFQ","UNKNOWN","SUN","None","Inconclusive","1.1210821255050791","","","19.141202504181408","0.4767632938765108","19.141202504181408","","true","0.06311599052611683","true","3","15"
"72","C24","false","JG076E_072","S056.4.9_SUN_Z_IBFQ","UNKNOWN","SUN","None","Amp","1.1503115553362473","","","14.695639798161455","0.8609821236718204","14.695639798161455","","true","0.06544462389210033","true","3","11"
"73","D1","false","JG076E_073","S056.4.1_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.2696430179579012","","","17.95767045331553","0.9804090770305436","17.95767045331553","","true","0.14194366625141502","true","3","13"
"74","D2","false","JG076E_074","S056.4.2_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.1593055109039834","","","20.442308725679624","0.9753448767040624","20.442308725679624","","true","0.09367009197194755","true","3","16"
"75","D3","false","JG076E_075","S056.4.3_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.0440649316723472","","","20.943810975090337","0.4795359439971301","20.943810975090337","","true","0.0779531845253233","true","3","16"
"76","D4","false","JG076E_076","S056.4.4_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.2410129357350415","","","19.71740046662312","0.9691324456525026","19.71740046662312","","true","0.11746512035441736","true","3","14"
"77","D5","false","JG076E_077","S056.4.5_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.0286189602515492","","","19.745772433611634","0.30469391261340484","19.745772433611634","","true","0.048358725337941055","true","3","16"
"78","D6","false","JG076E_078","S056.4.6_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.1279747438789887","","","19.753620612957654","0.4769817277256441","19.753620612957654","","true","0.09648019774541308","true","3","15"
"79","D7","false","JG076E_079","S056.4.7_TET_Z_IBFQ","UNKNOWN","TET","None","Inconclusive","1.1788445582380744","","","23.03275178383152","0.5394406132211014","23.03275178383152","","true","0.10514987811860455","true","3","18"
"80","D8","false","JG076E_080","S056.4.9_TET_Z_IBFQ","UNKNOWN","TET","None","Amp","1.2110714649664198","","","18.318045964756045","0.9162141592289074","18.318045964756045","","true","0.11579990586355626","true","3","14"
"81","D9","false","JG076E_081","S056.4.1_TET_BHQ1","UNKNOWN","TET","None","Amp","1.2422572613449319","","","18.000654886058477","0.8658438244785986","18.000654886058477","","true","0.10899412667020891","true","3","13"
