# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076F_FP004-RP004x_Set_II.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 01:29:11 PM EDT
# Run End Date/Time: 2022-07-20 03:24:46 PM EDT
# Run Duration: 115 minutes 35 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:12:51 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:13:20 PM EDT
"Well","Well Position","Cycle Number","TAMRA","FAM","ROX","CY3","CY5"
"1","A1","1",,"65804.59","164590.81",,
"1","A1","2",,"65899.16","164599.73",,
"1","A1","3",,"66671.21","164817.42",,
"1","A1","4",,"67334.16","165266.69",,
"1","A1","5",,"68763.93","165273.75",,
"1","A1","6",,"71596.14","165192.73",,
"1","A1","7",,"76379.15","165246.3",,
"1","A1","8",,"85101.29","165418.88",,
"1","A1","9",,"99616.695","165452.17",,
"1","A1","10",,"121166.35","165695.0",,
"1","A1","11",,"148198.8","165769.53",,
"1","A1","12",,"176568.31","165695.31",,
"1","A1","13",,"201580.61","165600.75",,
"1","A1","14",,"220261.16","165636.02",,
"1","A1","15",,"232402.34","165853.17",,
"1","A1","16",,"240201.2","166131.27",,
"1","A1","17",,"244674.77","166090.23",,
"1","A1","18",,"248194.19","166043.28",,
"1","A1","19",,"250115.92","165989.61",,
"1","A1","20",,"251731.47","165890.98",,
"1","A1","21",,"253017.34","165923.23",,
"1","A1","22",,"254460.92","166133.66",,
"1","A1","23",,"255785.42","166278.42",,
"1","A1","24",,"256691.81","165977.81",,
"1","A1","25",,"257377.02","165829.67",,
"1","A1","26",,"258429.89","165925.53",,
"1","A1","27",,"259635.5","166059.08",,
"1","A1","28",,"260692.7","166158.62",,
"1","A1","29",,"261498.28","165918.25",,
"1","A1","30",,"262678.53","165837.11",,
"1","A1","31",,"263483.4","166091.95",,
"1","A1","32",,"264287.88","166068.66",,
"1","A1","33",,"265119.38","165953.73",,
"1","A1","34",,"266071.44","165940.36",,
"1","A1","35",,"267006.03","165970.56",,
"1","A1","36",,"268033.62","165996.89",,
"1","A1","37",,"269103.6","165971.95",,
"1","A1","38",,"270094.62","166023.77",,
"1","A1","39",,"270620.9","166050.7",,
"1","A1","40",,"271576.7","165991.28",,
"1","A1","41",,"272520.5","165854.86",,
"1","A1","42",,"273446.25","165688.56",,
"1","A1","43",,"274498.88","165616.88",,
"1","A1","44",,"275588.0","165767.83",,
"1","A1","45",,"276532.5","165810.95",,
"1","A1","46",,"277455.62","165825.55",,
"1","A1","47",,"278556.5","165892.92",,
"1","A1","48",,"279742.78","165853.28",,
"1","A1","49",,"281118.7","165810.44",,
"1","A1","50",,"281928.7","165709.05",,
"1","A1","51",,"282888.8","165653.02",,
"1","A1","52",,"284272.88","165815.88",,
"1","A1","53",,"285800.7","165831.12",,
"1","A1","54",,"287636.22","165915.64",,
"1","A1","55",,"290356.53","166087.2",,
"1","A1","56",,"293317.5","166117.56",,
"1","A1","57",,"297040.12","165906.62",,
"1","A1","58",,"302319.06","165747.16",,
"1","A1","59",,"308152.9","165645.94",,
"1","A1","60",,"314729.84","165677.6",,
"1","A1","61",,"322471.9","165911.19",,
"1","A1","62",,"331500.78","165875.56",,
"1","A1","63",,"341614.4","165757.0",,
"1","A1","64",,"352017.9","165755.1",,
"1","A1","65",,"362843.1","165939.53",,
"1","A1","66",,"373956.97","165936.98",,
"1","A1","67",,"384476.25","166079.12",,
"1","A1","68",,"394738.78","166103.92",,
