,N Training Points,Iteration,Training-set NLPD,Training-set RMSE,Test-set NLPD,Test-set RMSE,TrainCode,Model
0,1,0,-1.4889236467722635,0.0078916606533578,-1.0239521955854394,0.0921386012271311,0000000000000000000000000000001000000,Average
1,1,1,-1.500078324043127,0.029668846750108,-1.0198638395414783,0.0924875970669458,0010000000000000000000000000000000000,Average
2,1,2,-1.4912900361062915,0.0249619495031765,-1.0078148423743187,0.0936394481140001,0000000000000000000000000000000001000,Average
3,1,3,-1.305564315409296,0.0248865614949047,-1.0260261264985795,0.0924835249982026,0000000000001000000000000000000000000,Average
4,1,4,-1.535352928742432,0.0074688134299782,-1.0194875896339533,0.0925331525499416,0000000000000100000000000000000000000,Average
5,1,5,-1.272092491670142,0.0550147456354328,-1.0281871016696575,0.0920159977048322,0000000000000000000000000000000000010,Average
6,1,6,-1.4165522816632872,0.0169854082584803,-1.0256387571901835,0.0924562684272072,0000000000010000000000000000000000000,Average
7,1,7,-1.239174574963095,0.0530180010496317,-1.1028980340921013,0.0829930306949512,0000000000000000000000000000000100000,Average
8,1,8,-1.2978871220895098,0.0536479184919246,-1.0300144986278317,0.0917862567029186,0000000000000000000000000000000010000,Average
9,1,9,-1.6521992888971782,0.0207542695141058,-1.015939027997661,0.0925882488824569,0000000000000000010000000000000000000,Average
10,6,0,-1.5873113868114297,0.0436168858068792,-0.9318365395535824,0.0975404272244613,0010100000000001001001000000010000000,Average
11,6,1,-1.2977801083863787,0.0572951040004032,-1.04070498882706,0.0934141851730538,0000000000000100000000100100010000011,Average
12,6,2,-1.26526643407993,0.061995699642056,-0.9710026750352444,0.098473296657901,0010100000000000000010000100100000100,Average
13,6,3,-1.4446479169235482,0.0392814951235711,-0.9854603283815924,0.0959641121703879,0010000010001100000100000000010000000,Average
14,6,4,-1.4399085775285425,0.051830653529205,-0.9796615069847552,0.0952418577063141,0000000001001000001001000001100000000,Average
15,6,5,-1.37871757268055,0.0587877816253787,-0.9738373823225503,0.0957667487258253,0000100000000000000001000000000101101,Average
16,6,6,-1.1971976286018726,0.0708896854974224,-1.0523103498912756,0.0905801606232447,0000001011000000000000010000000010001,Average
17,6,7,-1.0669594131458102,0.073184303682633,-1.0767484324294676,0.0914357845805492,0010001000000000000010000110001000000,Average
18,6,8,-1.3918165635353323,0.0473713643267084,-0.9875131167604642,0.0957132156081481,0100000001001010000000000000100000100,Average
19,6,9,-1.1637389869973334,0.0683006849244971,-1.0439606763166267,0.0930907918487762,0000010000000000001000000110100100000,Average
20,11,0,-1.2518534894693518,0.0734253411664935,-1.1289916985144013,0.0745593035097888,0100001100100000110011001000011000000,Average
21,11,1,-1.3742224482269352,0.060117191963299,-0.9843576033358514,0.0931158551084208,1000010001100000010011000000010100101,Average
22,11,2,-1.2778662005413897,0.0695383995450571,-1.0768554010699491,0.0879941335455923,0100000001100000001011100100100100100,Average
23,11,3,-1.3428657064525384,0.0579476340879464,-0.9977372902889396,0.0969369824909411,0000101100000010010001101100001000010,Average
24,11,4,-1.362635031430188,0.053817376319467,-0.973365978550793,0.0963429636221587,1010000100101010010010001000010010000,Average
25,11,5,-1.1689451451185195,0.0770600583206644,-1.1778714560007162,0.0743493318474197,0011000011010100100000100000110000010,Average
26,11,6,-1.3532925769444673,0.0612173802408958,-1.0282436454465584,0.092033732701578,0000010000100010010111100000000101010,Average
27,11,7,-1.4259410598205755,0.0447617341656885,-0.9493168381168166,0.101848528908203,0000000100011100011001100010000001010,Average
28,11,8,-1.0512094524737696,0.0859774597271351,-1.1973632241519796,0.0725599710446982,0101000010000100101010000110001000100,Average
29,11,9,-1.3451548694828424,0.0580950751263638,-1.0201464537634917,0.0930951790991261,0100000101101100001000100000000000111,Average
30,16,0,-1.2796706254377148,0.0654274216376632,-0.9792745501953224,0.0967818235004205,0001010000111011001011000010001100111,Average
31,16,1,-1.0894751579861874,0.0798301919972498,-1.2687941919846637,0.0694992270248896,1001111000011010100010110100010110000,Average
32,16,2,-1.1605679212013298,0.0730824835357859,-1.2304571496847214,0.073927350512391,1000111011000100100010100011101011000,Average
33,16,3,-1.31138112988598,0.0579615445967989,-0.9557255813557984,0.1005317343650335,1110100101111010001010000010010001001,Average
34,16,4,-1.306006580139518,0.0671966366911304,-1.0885845920396438,0.0761282204899493,0010111110100100110101000000110000011,Average
35,16,5,-1.0586922860652737,0.0837005410418436,-1.3159063500499315,0.0608613892840945,0111001100100100100010111010001100001,Average
36,16,6,-1.3102832511785678,0.0603138612989724,-0.9285948575191434,0.1006636276034019,0000101100111110011000010001110000110,Average
37,16,7,-1.143393158776675,0.0794914445168915,-1.2553035911611024,0.0638946762149917,0111110001110100110110110000100000000,Average
38,16,8,-1.233690199047568,0.0736614841498939,-1.0209710302925634,0.0899451305851873,0001110101101001001101010101000101000,Average
39,16,9,-1.1732002705305056,0.078093365152687,-1.21348245709127,0.0710852540242971,0011111010000011100011100011110000000,Average
40,21,0,-1.3023815219454529,0.0658568722288222,-0.956721182946147,0.0976324771456525,1101101101100011010001100100001111111,Average
41,21,1,-1.2833434821182197,0.0628878821265667,-0.930780759658003,0.1024089817292875,1010111110101111000110011101011010000,Average
42,21,2,-1.3632661159943098,0.0561574182764325,-0.7793140828206164,0.1112080683229237,1010011100100111010001011011111001110,Average
43,21,3,-1.1581935356991837,0.0776862351416887,-1.265223548150834,0.0593031878759954,0101111110101000111101011011100010010,Average
44,21,4,-1.3826793479310542,0.0551601930199178,-0.8597157270265742,0.1065715927799542,1100000011100110011011101100111011110,Average
45,21,5,-1.259646923790238,0.0713784491959204,-1.1703944596457465,0.0672011353024393,0111001111100100101101101001110001110,Average
46,21,6,-1.268690150815357,0.0683262339288675,-1.1234529133682745,0.0792460663888534,0110001101000001101111111011110011100,Average
47,21,7,-1.2212858921641818,0.0713201712850443,-1.2332551752113257,0.0675022017808051,1100001110111100110011110101010110010,Average
48,21,8,-1.2186045637652343,0.0701233388300329,-1.0791588201532964,0.082283166117653,0111111100001001110000011001101111011,Average
49,21,9,-1.2377673083716505,0.0727756863644728,-1.180718029853817,0.067096395559101,1111100010110101111100110001111010000,Average
50,26,0,-1.2758225584755265,0.0658961996170255,-0.9146684529579744,0.1082547022478725,1001011110101011001111111011011101111,Average
51,26,1,-1.2039210341296491,0.0732222109803338,-1.232375955483005,0.0615463926981494,1111110001110101110111010111001110111,Average
52,26,2,-1.2674172397985166,0.0662495013384193,-1.108416032187565,0.0781183615294374,1000101101111011101100111001111111111,Average
53,26,3,-1.2801469948911983,0.0669532852599762,-1.1344922782313072,0.0735813310470718,0110011011100101111111110011011111110,Average
54,26,4,-1.3801733729458925,0.0537937772518062,-0.552814207868996,0.1328167516357808,1010101100011111011111110101111101011,Average
55,26,5,-1.246213959332403,0.0658834860954224,-1.1057580477261573,0.0815088921272222,1100011101111111110000011111111111001,Average
56,26,6,-1.2771265478409548,0.0639092075255818,-0.9589848820638076,0.108350838175101,1010111111110110010111110111011110100,Average
57,26,7,-1.3050636795464168,0.0648824934387251,-0.9733562015455304,0.0882348975771724,1111110101010110111101100101110111110,Average
58,26,8,-1.2335990425348315,0.0692813825153181,-1.2625495685907344,0.0607032466816856,1110111110101011101011111010101011110,Average
59,26,9,-1.2628488518911978,0.0635960226213701,-0.8895267870373353,0.112805605837624,1110101010111010011011011111101111110,Average
60,31,0,-1.2708572509015723,0.0671172764898981,-0.9921817469015038,0.0780306956505534,1111111111101111111111001111011010111,Average
61,31,1,-1.241001046363641,0.0686004323667202,-1.3059373201694435,0.064165735719293,1111011111111011100111111110111111110,Average
62,31,2,-1.2312160334091402,0.0709748087092336,-1.377616091682908,0.0422483520183888,0111111111101111111111110111101100111,Average
63,31,3,-1.2723602169923292,0.067359385595684,-1.0502776659433233,0.0734815113469706,1101110111111111110101111101011111111,Average
64,31,4,-1.212746229725664,0.0690981757391238,-1.407797133337393,0.0498865873650241,1111111111111011110100111111111100111,Average
65,31,5,-1.2911666958418604,0.0640352575646718,-0.8745817087936757,0.0936876372990844,1100111111111101111111010110111111111,Average
66,31,6,-1.242621931257332,0.0692668809211049,-1.248894299788917,0.059432687014585,1101111111101111111110111101011111011,Average
67,31,7,-1.2315120520359268,0.0682212653076314,-1.321766887248803,0.0563847087646005,1101111011111111101011110111111110111,Average
68,31,8,-1.2464605997571068,0.0686322388548459,-1.2858329154298664,0.0621817195994366,1111111111111110111111100111010101111,Average
69,31,9,-1.2308827139147824,0.0683641929372607,-1.1887339413953395,0.0740810169329928,1111111110111111110110001111110111111,Average
70,36,0,-1.2545547223151423,0.0676074275882515,-1.5690487518448029,0.0167702619560055,1111111111111111111111111111101111111,Average
71,36,1,-1.2618825410067849,0.0675408144259772,-1.2673043087538507,0.035012523621318,1111111111110111111111111111111111111,Average
72,36,2,-1.258941124175623,0.0674241506773042,-1.3276987344442428,0.0494199014831143,1111111111111111111111111111111101111,Average
73,36,3,-1.2599555342870716,0.0669324763097744,-1.1289526690419147,0.0830451441240832,1111111101111111111111111111111111111,Average
74,36,4,-1.2689325466710026,0.0664256492048784,-0.9060668393387532,0.0885382576521908,1111110111111111111111111111111111111,Average
75,36,5,-1.2665699938432695,0.066481494290701,-0.1485583574840948,0.1159099704378383,1111111111111111111111011111111111111,Average
76,36,6,-1.256861795113067,0.0675494293071112,-1.464904439719935,0.0308331770059778,1111101111111111111111111111111111111,Average
77,36,7,-1.2575908502004298,0.067448792722161,-1.449692466057788,0.0330855265797536,1111111111111111111111111111111110111,Average
78,36,8,-1.258230552512915,0.0673309858990092,-1.4034736346653292,0.0475734259046078,1111111111111111111111111111111111110,Average
79,36,9,-1.2570603089345644,0.0676093402251196,-1.4893038100600435,0.0035032962357556,1111111111111111111111111111110111111,Average
80,1,0,-7.710021408016779,6.732143198462381e-08,2.0249289874956355,0.1323133423347437,0000000000000000000000000000001000000,Individual
81,1,1,-7.816170309632469,1.0435728159396973e-07,62.357073349224734,0.1441570204361573,0010000000000000000000000000000000000,Individual
82,1,2,-7.809504036322845,6.798556284604018e-08,37.27807670357622,0.1449990878526463,0000000000000000000000000000000001000,Individual
83,1,3,-7.596559212743554,1.9414142216067634e-07,-0.3168463504269166,0.1330736199965488,0000000000001000000000000000000000000,Individual
84,1,4,-7.778060480811609,1.8264284651348106e-07,11.126180594673698,0.1436976453312315,0000000000000100000000000000000000000,Individual
