N_train,Iteration,Train_NLPD,Train_RMSE,Test_NLPD,Test_RMSE,TrainCode
1,0,-1.4599251124605015,0.0578551985230546,-0.8281069285284298,0.0840181236271369,0000000000000000000000000000001000000
1,1,-1.5975488471015449,0.050408972819965,-0.7896075946909475,0.0836668450834609,0010000000000000000000000000000000000
1,2,-1.4843033769939362,0.0568516228467566,-0.7935840063228796,0.083601186985192,0000000000000000000000000000000001000
1,3,-1.7662736676967803,0.0007320775446806,-0.7659172836979036,0.084521893077407,0000000000001000000000000000000000000
1,4,-1.8013738311603906,0.031791279563804,-0.7762123044979363,0.0841618725039842,0000000000000100000000000000000000000
1,5,-1.936735181089588,0.0012090663589012,-0.7657853429945469,0.0844620856554606,0000000000000000000000000000000000010
1,6,-1.7745855292458446,0.040469940293579,-0.7809680327321651,0.0840683213952873,0000000000000000000000000000000000100
1,7,-1.8409135598469777,0.0096735637666516,-0.7715762857812815,0.0844656608141255,0000000000000000000000000000000100000
1,8,-1.951341500168137,0.0053499403814037,-0.7673089814308525,0.0844360254362455,0000000000000000000000000000000010000
1,9,-2.009944481091238,0.0264221865458683,-0.7693936380289887,0.0841616405900319,0000000000000000010000000000000000000
6,0,-1.6973276230883847,0.0472711724056273,-0.733888689257013,0.0861414997588101,0010100000000001001001000000010000000
6,1,-1.8855623840200424,0.0339375856092691,-0.5885126356474764,0.089306118498583,0000000000000100000000100100010000011
6,2,-1.4095607890526125,0.0518868975251754,-0.9248608926124794,0.0825306040686371,0010100000000000000010000100100000100
6,3,-1.4838000816226744,0.0534526822845451,-0.8228711799360741,0.0823821246817209,0010000010001100000100000000010000000
6,4,-1.5709792362977597,0.0542954155681679,-0.842701085885958,0.0790829032631011,0000000001001000001001000001100000000
6,5,-1.8546941719257308,0.034842609129525,-0.6199697973256351,0.0893424133243378,0000100000000000000001000000000101101
6,6,-1.5364395030347466,0.0510140110243906,-0.8835958318329625,0.0782857523059275,0000001011000000000000010000000010001
6,7,-0.9300569261084968,0.0639699502607421,-1.2066936081888129,0.0767861223037182,0010001000000000000010000110001000000
