,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
20,JG063A,55,S056.4.2_vs_S056.4.12,2,FALSE,C7,100,FAM,S056.4.2_vs_S056.4.12,STANDARD,,26.137737,90,2,2,40,0.6537704574683061,0.6418691873550415,0.3116651079183303
22,JG063A,56,S056.4.2_vs_S056.4.12,2,FALSE,C8,100,FAM,S056.4.2_vs_S056.4.12,STANDARD,,27.750925,92,4,2,40,0.1836403665460476,0.15949629247188568,-0.625555709
24,JG063A,57,S056.4.2_vs_S056.4.12,2,FALSE,C9,100,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,94,5,2,40,0.034738123,0.000778783,-0.926879444
26,JG063A,58,S056.4.2_vs_S056.4.12,2,FALSE,C10,100,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,96,6,2,40,0.00401368,-0.003131938,-0.991304013
28,JG063A,59,S056.4.2_vs_S056.4.12,2,FALSE,C11,100,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,98,8,2,40,0.001925483,-0.001228878,-0.995946894
30,JG063A,79,S056.4.2_vs_S056.4.12,2,FALSE,D7,100,FAM,S056.4.2_vs_S056.4.12,STANDARD,,26.059729,130,2,2,40,0.654011907,0.6392905116081238,0.32476631774265735
32,JG063A,80,S056.4.2_vs_S056.4.12,2,FALSE,D8,100,FAM,S056.4.2_vs_S056.4.12,STANDARD,,27.798298,132,4,2,40,0.18253936351122407,0.15365225076675415,-0.634852607
34,JG063A,81,S056.4.2_vs_S056.4.12,2,FALSE,D9,100,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,134,5,2,40,0.042261791,0.002059801,-0.911354314
36,JG063A,82,S056.4.2_vs_S056.4.12,2,FALSE,D10,100,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,136,6,2,40,0.010538549184068347,-0.002898524,-0.978127288
38,JG063A,83,S056.4.2_vs_S056.4.12,2,FALSE,D11,100,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,138,8,2,40,0.000435276,-0.001817022,-0.999111066
40,JG063A,103,S056.4.2_vs_S056.4.12,3,FALSE,E7,1000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,24.033163,170,2,3,40,0.7792741961444676,0.7651318311691284,0.6354256607575177
42,JG063A,104,S056.4.2_vs_S056.4.12,3,FALSE,E8,1000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,24.751081,172,4,3,40,0.3292018781662618,0.3049321174621582,-0.360970176
44,JG063A,105,S056.4.2_vs_S056.4.12,3,FALSE,E9,1000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,26.946018,174,5,3,40,0.1240194420970695,0.10075656324625015,-0.74773478
46,JG063A,106,S056.4.2_vs_S056.4.12,3,FALSE,E10,1000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,176,6,3,40,0.024890571,-0.00158528,-0.948172782
48,JG063A,107,S056.4.2_vs_S056.4.12,3,FALSE,E11,1000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,178,8,3,40,0.001918819,-0.002149807,-0.996033145
50,JG063A,127,S056.4.2_vs_S056.4.12,3,FALSE,F7,1000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,23.712502,210,2,3,40,0.7948104434950803,0.783176839,0.6271680459453375
52,JG063A,128,S056.4.2_vs_S056.4.12,3,FALSE,F8,1000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,24.47654,212,4,3,40,0.34122806769038694,0.3174074590206146,-0.348959355
54,JG063A,129,S056.4.2_vs_S056.4.12,3,FALSE,F9,1000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,26.424168,214,5,3,40,0.13587711766123894,0.11058882623910904,-0.727278156
56,JG063A,130,S056.4.2_vs_S056.4.12,3,FALSE,F10,1000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,216,6,3,40,0.024986183,-0.000584426,-0.948586703
58,JG063A,131,S056.4.2_vs_S056.4.12,3,FALSE,F11,1000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,218,8,3,40,0,-0.002363473,-1
60,JG063A,151,S056.4.2_vs_S056.4.12,4,FALSE,G7,10000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.248257,250,2,4,40,0.8678652029461121,0.8578230142593384,0.8609013897997831
62,JG063A,152,S056.4.2_vs_S056.4.12,4,FALSE,G8,10000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.590034,252,4,4,40,0.5464493953585365,0.5261727571487427,0.038511664
64,JG063A,153,S056.4.2_vs_S056.4.12,4,FALSE,G9,10000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.834362,254,5,4,40,0.3224351058413374,0.29210785031318665,-0.384466597
66,JG063A,154,S056.4.2_vs_S056.4.12,4,FALSE,G10,10000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,25.095253,256,6,4,40,0.11543233789557335,0.093981259,-0.768621275
68,JG063A,155,S056.4.2_vs_S056.4.12,4,FALSE,G11,10000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,258,8,4,40,0.007169804,-0.002452162,-0.985369825
70,JG063A,175,S056.4.2_vs_S056.4.12,4,FALSE,H7,10000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.090603,290,2,4,40,0.8906068059598993,0.8762944340705872,0.871283514
72,JG063A,176,S056.4.2_vs_S056.4.12,4,FALSE,H8,10000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.636688,292,4,4,40,0.5473014476007044,0.524440587,0.027687151
74,JG063A,177,S056.4.2_vs_S056.4.12,4,FALSE,H9,10000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.753397,294,5,4,40,0.3241033944071696,0.2938228249549866,-0.386781373
76,JG063A,178,S056.4.2_vs_S056.4.12,4,FALSE,H10,10000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,24.463104,296,6,4,40,0.12804824295722247,0.098721415,-0.74852636
78,JG063A,179,S056.4.2_vs_S056.4.12,4,FALSE,H11,10000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,298,8,4,40,0.003167076,-0.002892507,-0.993685845
80,JG063A,199,S056.4.2_vs_S056.4.12,5,FALSE,I7,100000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.184986,330,2,5,40,0.9193185383998415,0.8976885080337524,0.9816935203853985
82,JG063A,200,S056.4.2_vs_S056.4.12,5,FALSE,I8,100000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.221678,332,4,5,40,0.782868576,0.7582899928092957,0.5355850925486698
84,JG063A,201,S056.4.2_vs_S056.4.12,5,FALSE,I9,100000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.258228,334,5,5,40,0.5676546416448626,0.539842427,0.041545958
86,JG063A,202,S056.4.2_vs_S056.4.12,5,FALSE,I10,100000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,19.027548,336,6,5,40,0.3261095260025742,0.29338353872299194,-0.396569175
88,JG063A,203,S056.4.2_vs_S056.4.12,5,FALSE,I11,100000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,338,8,5,40,0.04289044,-0.003597303,-0.914607625
90,JG063A,223,S056.4.2_vs_S056.4.12,5,FALSE,J7,100000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,17.976032,370,2,5,40,0.9320789316113504,0.9148269295692444,0.9862817461317237
92,JG063A,224,S056.4.2_vs_S056.4.12,5,FALSE,J8,100000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.057213,372,4,5,40,0.8022542911882827,0.7778595685958862,0.5510561283448815
94,JG063A,225,S056.4.2_vs_S056.4.12,5,FALSE,J9,100000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.07674,374,5,5,40,0.5921937987485842,0.5573925375938416,0.077684619
96,JG063A,226,S056.4.2_vs_S056.4.12,5,FALSE,J10,100000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.717337,376,6,5,40,0.34932178963680305,0.3103695809841156,-0.363149345
98,JG063A,227,S056.4.2_vs_S056.4.12,5,FALSE,J11,100000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,inf,378,8,5,40,0.051643190795964286,-0.003770216,-0.898036638
100,JG063A,247,S056.4.2_vs_S056.4.12,6,FALSE,K7,1000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.398211,410,2,6,40,0.9551143490535334,0.9277886152267456,1
102,JG063A,248,S056.4.2_vs_S056.4.12,6,FALSE,K8,1000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.548021,412,4,6,40,0.9057562421152179,0.875906229,0.8325766572226176
104,JG063A,249,S056.4.2_vs_S056.4.12,6,FALSE,K9,1000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.506342,414,5,6,40,0.7838910587752101,0.7380884885787964,0.4598987081692807
106,JG063A,250,S056.4.2_vs_S056.4.12,6,FALSE,K10,1000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.810497,416,6,6,40,0.5669142340672815,0.5125201940536499,0.033866868
108,JG063A,251,S056.4.2_vs_S056.4.12,6,FALSE,K11,1000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.110197,418,8,6,40,0.17378153549691358,0.14699110388755798,-0.669856321
110,JG063A,271,S056.4.2_vs_S056.4.12,6,FALSE,L7,1000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.315757,450,2,6,40,0.9688100353171438,0.9455276131629944,0.9969083361078153
112,JG063A,272,S056.4.2_vs_S056.4.12,6,FALSE,L8,1000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.512689,452,4,6,40,0.9151415053194527,0.8883433938026428,0.8257719781464401
114,JG063A,273,S056.4.2_vs_S056.4.12,6,FALSE,L9,1000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.430247,454,5,6,40,0.7998157203701172,0.765019417,0.4733413875500611
116,JG063A,274,S056.4.2_vs_S056.4.12,6,FALSE,L10,1000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.657601,456,6,6,40,0.5842820781099809,0.5301805138587952,0.043583969
118,JG063A,275,S056.4.2_vs_S056.4.12,6,FALSE,L11,1000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,17.504187,458,8,6,40,0.19511630814243328,0.15029600262641907,-0.63582204
120,JG063A,295,S056.4.2_vs_S056.4.12,7,FALSE,M7,10000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,12.766905,488,2,7,40,0.9674868080297706,0.9075871109962463,0.9889099807719067
122,JG063A,296,S056.4.2_vs_S056.4.12,7,FALSE,M8,10000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,13.010196,490,4,7,40,0.9464165656395601,0.9057174324989319,0.946006572
124,JG063A,297,S056.4.2_vs_S056.4.12,7,FALSE,M9,10000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,13.033136,492,5,7,40,0.9086968317281603,0.8584747314453125,0.772084875
126,JG063A,298,S056.4.2_vs_S056.4.12,7,FALSE,M10,10000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,13.046794,494,6,7,40,0.768815875,0.7079070806503296,0.40943202637751913
128,JG063A,299,S056.4.2_vs_S056.4.12,7,FALSE,M11,10000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,13.519824,496,8,7,40,0.39185165954769213,0.3415707051753998,-0.297172591
130,JG063A,319,S056.4.2_vs_S056.4.12,7,FALSE,N7,10000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,12.729666,528,2,7,40,0.9734419484949377,0.9275346398353577,0.9977287042341472
132,JG063A,320,S056.4.2_vs_S056.4.12,7,FALSE,N8,10000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,12.82954,530,4,7,40,0.9525288954744597,0.9028530120849609,0.9391822890377516
134,JG063A,321,S056.4.2_vs_S056.4.12,7,FALSE,N9,10000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,12.976938,532,5,7,40,0.9162416805651317,0.8674938678741455,0.775129519
136,JG063A,322,S056.4.2_vs_S056.4.12,7,FALSE,N10,10000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,13.169933,534,6,7,40,0.761198056,0.7117248177528381,0.3823150929752664
138,JG063A,323,S056.4.2_vs_S056.4.12,7,FALSE,N11,10000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,13.457246,536,8,7,40,0.40082220582455047,0.3443100154399872,-0.291552538
140,JG063A,343,S056.4.2_vs_S056.4.12,8,FALSE,O7,100000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,10.17628,568,2,8,40,0.959070453,0.9043070673942566,0.9816186189898342
142,JG063A,344,S056.4.2_vs_S056.4.12,8,FALSE,O8,100000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,10.424209,570,4,8,40,0.9595167074258931,0.9128590226173401,0.9459891195609076
144,JG063A,345,S056.4.2_vs_S056.4.12,8,FALSE,O9,100000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,9.985737,572,5,8,40,0.9451745975399671,0.8756958246231079,0.9445702174269079
146,JG063A,346,S056.4.2_vs_S056.4.12,8,FALSE,O10,100000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,10.227166,574,6,8,40,0.8983954196807279,0.8461416363716125,0.7461370446020208
148,JG063A,347,S056.4.2_vs_S056.4.12,8,FALSE,O11,100000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,10.04586,576,8,8,40,0.6492051894677485,0.5837891697883606,0.13940606899894672
150,JG063A,367,S056.4.2_vs_S056.4.12,8,FALSE,P7,100000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,9.94278,608,2,8,40,1,0.942798913,0.9817160820492542
152,JG063A,368,S056.4.2_vs_S056.4.12,8,FALSE,P8,100000000,FAM,S056.4.2_vs_S056.4.12,STANDARD,,10.61236,610,4,8,40,0.9601672156532877,0.9185104966163635,0.9723148494368359
