,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ,,
366,S_PRDM1_WTa,FP003-RP003,HEX,191,25252525,5,97,0.5257731958762887,-4.581233634,0.5475642032849948,0.021581301,0.6340751447465682,0.26507500618135865,23.981281902062275,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,,lg10_Copies,BP,GC,F0_lg,K,m,r,,_,_
29,S037.06.01,FP004-RP004,HEX,56.5,2.53E+07,29,5,98,0.479592,-4.15415,0.439957,0.01158,0.698956,29,0.247517,19.691938
30,S037.06.02,FP004-RP004,HEX,128.5,2.53E+07,30,5,101,0.435644,-4.438864,0.484734,0.010392,0.750901,30,0.223438,19.59645
31,S037.06.03,FP004-RP004,HEX,200.5,2.53E+07,31,5,106,0.40566,-4.114577,0.488148,0.010079,0.755277,31,0.22842,18.075775
35,S044.10,FP004-RP004,HEX,292.5,1.59E+07,35,5,88,0.25,-7.201922,0.774733,0.006131,0.985893,35,0.12309,24.198589
37,S044.11,FP004-RP004,HEX,295.5,1.59E+07,37,5,88,0.352273,-7.217759,0.812638,0.006056,0.918095,37,0.1418,26.029814
39,S044.12,FP004-RP004,HEX,73.5,1.59E+07,39,5,88,0.431818,-6.381817,0.6767,0.006271,0.810869,39,0.1799,26.136599
43,S044.14,FP004-RP004,HEX,298.5,1.59E+07,43,5,88,0.545455,-5.863371,0.741722,0.008987,0.725589,43,0.213452,26.78445
45,S044.15,FP004-RP004,HEX,301.5,1.59E+07,45,5,88,0.647727,-5.19536,0.728847,0.01029,0.65312,45,0.252549,25.996084
47,S044.16,FP004-RP004,HEX,304.5,1.59E+07,47,5,88,0.75,-5.282467,0.735005,0.023166,0.663009,47,0.243912,26.337442
49,S044.17,FP004-RP004,HEX,307.5,1.59E+07,49,5,88,0.795455,-6.617539,0.815181,0.016195,0.706445,49,0.214541,30.737964
51,S044.18,FP004-RP004,HEX,310.5,1.59E+07,51,5,88,0.852273,-7.940383,0.563586,0.034893,0.705625,51,0.208136,36.601276
53,S044.19,FP004-RP004,HEX,73.5,1.59E+07,53,5,160,0.13125,-6.949561,0.400672,0.013242,0.790761,53,0.182472,29.150237
55,S044.2,FP004-RP004,HEX,79.5,1.59E+07,55,5,30,0.466667,-7.213228,0.80501,0.011621,0.940423,55,0.134553,25.509009
57,S044.20,FP004-RP004,HEX,76.5,1.59E+07,57,5,160,0.21875,-6.858664,0.543798,0.005152,0.78444,57,0.18358,29.071466
59,S044.21,FP004-RP004,HEX,88.5,1.59E+07,59,5,160,0.43125,-5.473163,0.714655,0.00618,0.703971,59,0.229303,25.387458
61,S044.22,FP004-RP004,HEX,79.5,1.59E+07,61,5,160,0.5875,-4.648847,0.493835,0.006863,0.532241,61,0.301451,28.826133
63,S044.23,FP004-RP004,HEX,67.181818,2.02E+07,63,5.636364,160,0.78125,-7.284405,0.249376,0.019645,0.664131,63,0.235802,35.013068
65,S044.24,FP004-RP004,HEX,91.5,1.59E+07,65,5,200,0.425,-4.897152,0.694202,0.006276,0.649537,65,0.254073,24.956695
67,S044.25,FP004-RP004,HEX,94.5,1.59E+07,67,5,240,0.420833,-4.822837,0.653852,0.006188,0.602004,67,0.27197,26.573012
69,S044.26,FP004-RP004,HEX,88.5,1.59E+07,69,5,280,0.325,-6.207094,0.48033,0.00482,0.623391,69,0.24547,32.737823
70,S044.27,FP004-RP004,HEX,81.5,1.85E+07,70,5.166667,280,0.682143,-4.249882,0.421923,0.01583,0.415187,70,0.360284,33.57085
72,S044.28,FP004-RP004,HEX,74.428571,1.73E+07,72,5.714286,500,0.418,-5.265947,0.404533,0.020341,0.436333,72,0.334483,39.055347
74,S044.29,FP004-RP004,HEX,270.285714,3.16E+07,74,6.428571,500,0.57,-4.041036,0.336922,0.022471,0.412041,74,0.364461,32.370581
77,S044.4,FP004-RP004,HEX,82.5,1.59E+07,77,5,40,0.45,-6.678518,0.79672,0.006463,0.920174,77,0.144315,24.123885
79,S044.5,FP004-RP004,HEX,295.5,1.59E+07,79,5,50,0.26,-6.991648,0.519073,0.00691,0.959633,79,0.129816,24.196792
81,S044.6,FP004-RP004,HEX,298.5,1.59E+07,81,5,50,0.62,-5.677366,0.516004,0.006102,0.739873,81,0.209064,25.493672
83,S044.7,FP004-RP004,HEX,301.5,1.59E+07,83,5,50,0.74,-4.497841,0.443787,0.010768,0.461075,83,0.332669,32.251064
85,S044.8,FP004-RP004,HEX,85.5,1.59E+07,85,5,55,0.454545,-6.71352,0.782543,0.00579,0.878945,85,0.156773,25.325842
87,S044.9,FP004-RP004,HEX,289.5,1.59E+07,87,5,88,0.147727,-5.784794,0.906576,0.0079,0.71409,87,0.219239,26.745973
209,S067_0d89c8_e_Avg_0,FP004-RP004,HEX,92,1.59E+07,209,5,94,0.404255,-5.423752,0.438942,0.014664,0.756988,209,0.206467,23.849716
210,S067_0d89c8_e_Avg_1,FP004-RP004,HEX,93.428571,1.59E+07,210,4.857143,78,0.320513,-9.073272,0.515657,0.016042,0.839565,210,0.166745,39.750347
211,S067_0d89c8_e_Avg_2,FP004-RP004,HEX,89,1.39E+07,211,4.5,66,0.363636,-5.856287,0.731457,0.010066,0.89496,211,0.157625,21.77373
212,S067_0d89c8_e_Avg_3,FP004-RP004,HEX,53,2.22E+07,212,6,59,0.491525,-4.989765,0.677762,0.00862,0.813587,212,0.193443,20.358317
213,S067_0d89c8_e_LVM_0,FP004-RP004,HEX,284,1.59E+07,213,5,162,0.259259,-7.43491,0.463792,0.021332,0.760205,213,0.185985,32.494854
214,S067_0d89c8_e_LVM_1,FP004-RP004,HEX,288,1.39E+07,214,4.5,68,0.544118,-6.679365,0.45363,0.014634,0.698986,214,0.219013,32.363273
