,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ
0,S036.0,FP002-RP002,FAM,73.5,2222200.0,5.0,108.0,0.4814814814814815,-4.587598623943168,0.886769392131942,0.014093202960662948,0.6899851724708814,0.24153997017537282,22.071663538829515
1,S036.0,FP002-RP002,SYBR,289.5,15873014.285714285,5.0,108.0,0.48148148148148145,-4.838177743640629,2.538432189863158,0.000192832481653043,0.7214266183175947,0.22974457999538758,22.181674880294633
2,S036.1,FP002-RP002,HEX,76.5,15873014.285714285,5.0,108.0,0.48148148148148145,-5.625271128752409,0.506224721575876,0.008196138631147213,0.7036159288852574,0.22272280161314972,26.52107296062675
3,S036.1,FP002-RP002,SYBR,292.5,15873014.285714285,5.0,108.0,0.48148148148148145,-5.176246755595744,2.562073831957939,0.0013573380389404618,0.7193319124915293,0.22467919101262226,23.86481896979947
4,S036.2,FP002-RP002,HEX,79.5,15873014.285714285,5.0,88.0,0.4318181818181818,-5.521461809721113,0.5201189602569246,0.007947287459549549,0.7494338256084724,0.20881672166039697,24.461465801667078
5,S036.2,FP002-RP002,SYBR,295.5,15873014.285714285,5.0,88.0,0.4318181818181818,-5.753205801331475,2.2294665053744183,0.0004218053330910165,0.802732227473057,0.18992404913295347,23.749550514391746
6,S036.3,FP002-RP002,HEX,77.0,17094007.692307692,5.230769230769231,30.0,0.43333333333333335,-6.696999486799388,0.5683702012736058,0.007918006988206912,0.8404861646083522,0.16813120491367708,26.482952210905612
7,S036.3,FP002-RP002,SYBR,298.5,15873014.285714285,5.0,30.0,0.4333333333333333,-7.081924348449116,1.4815038908724052,0.00029910095623355274,0.8917738634611182,0.14998426148892416,26.392277265091035
8,S036.4,FP002-RP002,HEX,97.5,1851850.0,4.5,108.0,0.25,-7.280388882890918,0.5783643940636135,0.0071573739858586454,0.79934332895595,0.17461972696978503,30.260485348209983
9,S036.4,FP002-RP002,SYBR,301.5,15873014.285714285,5.0,108.0,0.25,-6.776469508981699,2.31927606151132,0.0018323206033043894,0.8397775142600773,0.16820904101918682,26.94043954075456
10,S036.5,FP001-RP001,HEX,81.48148148148148,16090533.333333334,4.925925925925926,74.0,0.527027027027027,-6.105043174053991,0.793078739980001,0.006086875630065501,0.8207917834232865,0.17875810226154357,24.727158646257408
11,S036.5,FP001-RP001,SYBR,73.5,15873014.285714285,5.0,74.0,0.527027027027027,-5.325329321822408,2.174044338096655,0.0012784850743269027,0.8242115055236114,0.1870823480125786,21.434649210524675
12,S036.6,FP001-RP001,FAM,88.5,15873014.285714285,5.0,74.0,0.527027027027027,-5.944000341412479,1.0657626091720014,0.010038865488238399,0.8175700043386583,0.18150787681890854,24.18378282304936
13,S036.6,FP001-RP001,SYBR,76.5,15873014.285714285,5.0,74.0,0.527027027027027,-5.755868309847363,2.265893382731726,0.0007144117795580441,0.8458258982730886,0.17554179845848675,22.565977138462504
14,S036.7,FP001-RP001,FAM,85.5,15873014.285714285,5.0,88.0,0.4318181818181818,-6.275246582222674,1.0865606724589918,0.006274459156612645,0.8513631194125661,0.16823894536593345,24.51924193726569
15,S036.7,FP001-RP001,SYBR,79.5,15873014.285714285,5.0,88.0,0.4318181818181818,-6.033516605966227,2.24996129211484,0.0002292713412860137,0.9128367974438024,0.15214367833346204,21.969127377141234
16,S036.8,FP001-RP001,FAM,86.03703703703704,16460900.0,5.111111111111111,30.0,0.5333333333333333,-7.333191517236843,1.0766382614470391,0.014398834005271931,0.9273982009071139,0.1379279580890368,26.31966036354042
17,S037.01.01,FP001-RP001,FAM,38.5,25252525.0,5.0,161.0,0.577639751552795,-4.4170030834628475,0.5785004490212251,0.02471934680616216,0.6364007088720525,0.26459510947996434,22.964436442979007
18,S037.01.03,FP001-RP001,FAM,110.5,25252525.0,5.0,326.0,0.49693251533742333,-3.815548302356789,0.5217882511036342,0.028709549652647073,0.5730023966499518,0.3009414629848727,22.107214725244898
19,S037.02.01,FP001-RP005,FAM,182.5,25252525.0,5.0,81.0,0.5432098765432098,-3.449010303535635,0.8124763680092683,0.006448200116874393,0.6191919477766182,0.29257531064257564,18.531120537423597
20,S037.02.02,FP001-RP005,FAM,254.5,25252525.0,5.0,77.0,0.5714285714285714,-3.8917121797280343,0.7766593381948159,0.00706601228077328,0.5621165800295675,0.30816469580442823,22.908643829033434
21,S037.02.03,FP001-RP005,FAM,326.5,25252525.0,5.0,95.0,0.4842105263157895,-4.337013647698056,0.8427421831853388,0.007087126537067799,0.7209129749658166,0.23555030035584695,19.949179223990182
22,S037.02.04,FP001-RP005,FAM,44.5,25252525.0,5.0,92.0,0.5543478260869565,-3.328604390447966,0.7671367942089661,0.006373631275971686,0.579152975625427,0.31126305761097744,19.07386899550988
23,S037.03.01,FP005-RP005,HEX,116.5,25252525.0,5.0,192.0,0.4427083333333333,-3.8800350023535444,0.5609622680722502,0.006616363703335675,0.6075840581131968,0.28680984553825273,21.083320512532964
24,S037.03.02,FP005-RP005,HEX,188.5,25252525.0,5.0,117.0,0.6752136752136753,-3.2530496130202167,0.466053439121085,0.012485854405751163,0.4271724656691195,0.3818017802287979,25.153569649049732
25,S037.04.01,FP002-RP006,HEX,260.5,25252525.0,5.0,100.0,0.48,-3.078804692512511,1.2690331946950062,0.011734015495529552,0.5083791989532515,0.35310495748426224,20.045177663166623
26,S037.04.04,FP002-RP006,HEX,193.5,50500000.0,7.0,104.0,0.4326923076923077,-3.312645639276362,1.2820573620913387,0.01231068913704367,0.5210845794806946,0.3344704095302152,21.123533634736607
27,S037.05.01,FP006-RP006,FAM,266.5,25252525.0,5.0,103.0,0.4854368932038835,-3.9295928014155073,0.681392986009472,0.007752273584102055,0.6681404123866976,0.26255262735155127,19.509304678027625
28,S037.05.02,FP006-RP006,FAM,338.5,25252525.0,5.0,106.0,0.44339622641509435,-3.5357872013537452,0.6640860137561954,0.008378129853961731,0.711881617168237,0.2535533678528161,16.491975155145514
29,S037.06.01,FP004-RP004,HEX,56.5,25252525.0,5.0,98.0,0.47959183673469385,-4.1541498894418885,0.4399570031732866,0.01158000561990782,0.6989562665932865,0.24751725852505824,19.69193839042648
