# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_4\data\JG063A Competitor Concentration Sweep.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2021-09-21 10:54:05 AM EDT
# Run End Date/Time: 2021-09-21 12:49:29 PM EDT
# Run Duration: 115 minutes 23 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:48:24 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:48:29 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","S056.4.2_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"1","A1","false","S056.4.2_vs_S056.4.10","S056.4.2","STANDARD","HEX","NFQ-MGB","Amp","0.9490576557650893","","","28.372237876658037","0.9732309042130772","28.072271206931177","0.47781793896426084","true","0.03999999910593033","true","3","25"
"2","A2","false","S056.4.2_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"2","A2","false","S056.4.2_vs_S056.4.10","S056.4.2","STANDARD","HEX","NFQ-MGB","Amp","0.969614390644201","","","21.468879904609828","0.9680391102949942","21.52201354827439","0.19689048060616138","true","0.03999999910593033","true","3","18"
"3","A3","false","S056.4.2_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"3","A3","false","S056.4.2_vs_S056.4.10","S056.4.2","STANDARD","HEX","NFQ-MGB","Amp","0.9784934588566127","","","18.241561819632523","0.9030301944898989","18.204825478048065","0.06885589835641936","true","0.03999999910593033","true","3","15"
"4","A4","false","S056.4.2_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"4","A4","false","S056.4.2_vs_S056.4.10","S056.4.2","STANDARD","HEX","NFQ-MGB","Amp","0.9813924631648855","","","15.307538583147842","0.8209932334381523","15.306162638810697","0.07008728261840277","true","0.03999999910593033","true","3","12"
"5","A5","false","S056.4.2_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"5","A5","false","S056.4.2_vs_S056.4.10","S056.4.2","STANDARD","HEX","NFQ-MGB","Amp","0.9918623427250345","","","10.553216748674261","0.424045000401621","10.482531176682059","0.06355259051823992","true","0.03999999910593033","true","3","7"
