# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_5\data\JG071B Tripartite sweep GBP6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-02-14 12:19:33 PM EST
# Run End Date/Time: 2022-02-14 02:15:46 PM EST
# Run Duration: 116 minutes 12 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:46:39 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:46:51 PM EDT
"Well","Well Position","Cycle Number","FAM","HEX","ROX"
"1","A1","1","60457.17","37748.05","203937.77"
"1","A1","2","60463.88","37518.18","203369.33"
"1","A1","3","60502.516","37460.12","202253.78"
"1","A1","4","60372.883","37708.285","201730.17"
"1","A1","5","60389.04","37733.31","201350.77"
"1","A1","6","60672.48","37686.223","200641.25"
"1","A1","7","60976.324","37685.812","200374.98"
"1","A1","8","61080.59","37657.344","200363.53"
"1","A1","9","61170.68","37733.234","200260.31"
"1","A1","10","61240.242","37930.867","200257.7"
"1","A1","11","61685.9","37945.977","200321.5"
"1","A1","12","61724.22","37959.71","200230.3"
"1","A1","13","61653.426","37843.69","200189.78"
"1","A1","14","61793.46","37472.773","200154.27"
"1","A1","15","61855.18","37467.3","200221.47"
"1","A1","16","61886.785","37844.047","200239.78"
"1","A1","17","62161.297","38030.832","200655.25"
"1","A1","18","62210.504","38034.793","200837.66"
"1","A1","19","62528.004","38076.41","200797.06"
"1","A1","20","62642.016","38038.66","200993.67"
"1","A1","21","62743.445","37952.336","200948.22"
"1","A1","22","63196.258","37906.668","200783.28"
"1","A1","23","63704.574","37981.816","200640.75"
"1","A1","24","64248.816","37972.504","200530.89"
"1","A1","25","64620.75","37959.133","200502.7"
"1","A1","26","65381.832","37984.773","200866.6"
"1","A1","27","66253.95","38109.89","200842.66"
"1","A1","28","67284.88","38091.543","200819.92"
"1","A1","29","68487.86","38165.902","200799.86"
"1","A1","30","69630.25","38368.008","200788.39"
"1","A1","31","71096.61","38778.137","200967.56"
"1","A1","32","72690.11","39336.867","200935.83"
"1","A1","33","74160.06","40212.08","201054.92"
"1","A1","34","75528.836","41948.69","200953.88"
"1","A1","35","77091.63","44289.9","200927.38"
"1","A1","36","78430.51","47847.527","201283.64"
"1","A1","37","79786.79","52946.684","201444.95"
"1","A1","38","81085.25","59344.805","201396.61"
"1","A1","39","82298.58","66815.195","201540.67"
"1","A1","40","83537.2","74997.99","201659.4"
"1","A1","41","84834.625","83568.79","201794.89"
"1","A1","42","86154.14","91857.234","201767.6"
"1","A1","43","87603.805","99665.71","202080.84"
"1","A1","44","88986.65","107045.94","202204.95"
"1","A1","45","90390.06","113675.99","202225.2"
"1","A1","46","92243.27","119880.99","202009.95"
"1","A1","47","94137.74","125163.97","201851.9"
"1","A1","48","95959.016","130287.54","202058.62"
"1","A1","49","98222.37","134161.73","202365.31"
"1","A1","50","100609.51","137379.11","202521.64"
"1","A1","51","102607.37","139994.94","202612.4"
"1","A1","52","104829.945","142253.14","202248.61"
"1","A1","53","107273.37","144521.23","202107.16"
"1","A1","54","109666.34","146312.23","202493.23"
"1","A1","55","111904.93","148001.81","202494.56"
"1","A1","56","113950.43","149637.39","202377.9"
"1","A1","57","115838.88","150746.22","202568.12"
"1","A1","58","117969.5","151765.7","202505.62"
"1","A1","59","120313.984","152441.72","202618.22"
"1","A1","60","122230.74","153049.08","202733.78"
"1","A1","61","124005.3","154291.66","202594.02"
