# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_4\data\JG063B Competitor concentration sweep 2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2021-09-24 11:41:26 AM EDT
# Run End Date/Time: 2021-09-24 01:36:56 PM EDT
# Run Duration: 115 minutes 29 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:47:53 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:48:10 PM EDT
"Well","Well Position","Cycle Number","FAM","HEX","ROX"
"1","A1","1","52161.1","28802.805","214352.02"
"1","A1","2","52110.32","28967.988","214272.3"
"1","A1","3","52370.676","29197.662","214287.97"
"1","A1","4","52647.977","29275.479","214659.25"
"1","A1","5","52539.35","29493.395","214215.78"
"1","A1","6","52379.9","29806.832","213570.83"
"1","A1","7","52499.51","29889.51","213631.0"
"1","A1","8","52686.33","30017.332","214528.47"
"1","A1","9","52958.688","30067.41","215296.92"
"1","A1","10","53410.29","30143.121","215937.34"
"1","A1","11","53269.625","30262.564","215763.0"
"1","A1","12","52811.605","30281.912","214974.03"
"1","A1","13","52636.664","30210.422","214815.52"
"1","A1","14","53280.695","30331.318","215322.62"
"1","A1","15","53591.926","30445.232","215635.75"
"1","A1","16","53654.637","30379.262","215370.86"
"1","A1","17","53240.09","30237.594","214598.28"
"1","A1","18","53123.227","30236.842","214716.88"
"1","A1","19","53988.883","30730.736","216240.12"
"1","A1","20","54057.156","30974.86","216647.28"
"1","A1","21","53987.86","31395.814","216370.14"
"1","A1","22","54162.367","31607.312","216184.4"
"1","A1","23","53919.445","32892.625","216119.55"
"1","A1","24","53671.8","35013.258","215671.02"
"1","A1","25","53390.965","38263.895","215508.03"
"1","A1","26","52865.723","44485.39","215836.72"
"1","A1","27","51902.797","54510.65","216273.22"
"1","A1","28","51256.727","68607.59","216639.17"
"1","A1","29","50287.52","85524.28","218093.72"
"1","A1","30","49471.72","102515.42","218629.27"
"1","A1","31","48542.586","117430.08","218746.7"
"1","A1","32","47911.23","129648.34","218708.2"
"1","A1","33","47280.71","138165.44","218896.73"
"1","A1","34","46970.52","144282.27","218764.97"
"1","A1","35","46762.438","148381.42","218656.31"
