,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
22,JG063A,56,S056.4.2_vs_S056.4.12,2.0,False,C8,100.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,27.750925,92,4.0,2.0,40,0.1836403665460476,0.15949629247188568,-0.6255557085130278
32,JG063A,80,S056.4.2_vs_S056.4.12,2.0,False,D8,100.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,27.798298,132,4.0,2.0,40,0.18253936351122407,0.15365225076675415,-0.6348526068930993
42,JG063A,104,S056.4.2_vs_S056.4.12,3.0,False,E8,1000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,24.751081,172,4.0,3.0,40,0.3292018781662618,0.3049321174621582,-0.3609701764790043
52,JG063A,128,S056.4.2_vs_S056.4.12,3.0,False,F8,1000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,24.47654,212,4.0,3.0,40,0.34122806769038694,0.3174074590206146,-0.3489593554839663
62,JG063A,152,S056.4.2_vs_S056.4.12,4.0,False,G8,10000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.590034,252,4.0,4.0,40,0.5464493953585365,0.5261727571487427,0.03851166447481832
72,JG063A,176,S056.4.2_vs_S056.4.12,4.0,False,H8,10000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.636688,292,4.0,4.0,40,0.5473014476007044,0.524440586566925,0.02768715127863923
82,JG063A,200,S056.4.2_vs_S056.4.12,5.0,False,I8,100000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.221678,332,4.0,5.0,40,0.782868576159706,0.7582899928092957,0.5355850925486698
92,JG063A,224,S056.4.2_vs_S056.4.12,5.0,False,J8,100000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.057213,372,4.0,5.0,40,0.8022542911882827,0.7778595685958862,0.5510561283448815
102,JG063A,248,S056.4.2_vs_S056.4.12,6.0,False,K8,1000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.548021,412,4.0,6.0,40,0.9057562421152179,0.875906229019165,0.8325766572226176
112,JG063A,272,S056.4.2_vs_S056.4.12,6.0,False,L8,1000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.512689,452,4.0,6.0,40,0.9151415053194527,0.8883433938026428,0.8257719781464401
122,JG063A,296,S056.4.2_vs_S056.4.12,7.0,False,M8,10000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,13.010196,490,4.0,7.0,40,0.9464165656395601,0.9057174324989319,0.946006572145293
132,JG063A,320,S056.4.2_vs_S056.4.12,7.0,False,N8,10000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,12.82954,530,4.0,7.0,40,0.9525288954744597,0.9028530120849609,0.9391822890377516
142,JG063A,344,S056.4.2_vs_S056.4.12,8.0,False,O8,100000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,10.424209,570,4.0,8.0,40,0.9595167074258931,0.9128590226173401,0.9459891195609076
152,JG063A,368,S056.4.2_vs_S056.4.12,8.0,False,P8,100000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,10.61236,610,4.0,8.0,40,0.9601672156532877,0.9185104966163635,0.9723148494368359
