,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
208,JG034,226,GC55,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,8.0,8.0,40,0.9935419468199342,1.5366854667663574,1.0
210,JG034,227,GC55,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,8.0,8.0,40,0.9785727845780733,1.513843297958374,0.9832724837474762
240,JG034,250,GC55,7.0,False,K10,10000000.0,FAM,,STANDARD,,13.565527,254,7.0,7.0,40,0.9682798357298033,1.5277595520019531,0.9073286393114921
242,JG034,251,GC55,7.0,False,K11,10000000.0,FAM,,STANDARD,,13.547973,256,7.0,7.0,40,0.9499342162862993,1.5027360916137695,0.8907826740591209
272,JG034,274,GC55,6.0,False,L10,1000000.0,FAM,,STANDARD,,17.191023,286,6.0,6.0,40,0.8551170487124274,1.3482327461242676,0.5842988072460364
274,JG034,275,GC55,6.0,False,L11,1000000.0,FAM,,STANDARD,,16.882715,288,6.0,6.0,40,0.8537481372972754,1.359304428100586,0.5983749818558666
302,JG034,298,GC55,5.0,False,M10,100000.0,FAM,,STANDARD,,20.91469,318,5.0,5.0,40,0.6109652762636203,0.9704620838165283,0.013809358078219702
304,JG034,299,GC55,5.0,False,M11,100000.0,FAM,,STANDARD,,20.528013,320,5.0,5.0,40,0.6365653100898893,1.0116616487503052,0.09156483045007802
334,JG034,322,GC55,4.0,False,N10,10000.0,FAM,,STANDARD,,23.950245,350,4.0,4.0,40,0.38774931908508947,0.6109756231307983,-0.4237745659508505
336,JG034,323,GC55,4.0,False,N11,10000.0,FAM,,STANDARD,,23.83321,352,4.0,4.0,40,0.3992888972392845,0.6295367479324341,-0.4114063452000176
366,JG034,346,GC55,3.0,False,O10,1000.0,FAM,,STANDARD,,32.806778,382,3.0,3.0,40,0.07347601315927861,0.11073312908411026,-0.9516350824849098
368,JG034,347,GC55,3.0,False,O11,1000.0,FAM,,STANDARD,,30.969448,384,3.0,3.0,40,0.09255521270604923,0.1406385451555252,-0.9201427299276245
398,JG034,370,GC55,2.0,False,P10,100.0,FAM,,STANDARD,,36.95776,414,2.0,2.0,40,0.03912308310344147,0.07139219343662262,-0.9957194595134283
400,JG034,371,GC55,2.0,False,P11,100.0,FAM,,STANDARD,,38.098743,416,2.0,2.0,40,0.041608525087113254,0.0643671452999115,-1.0
