,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Primer nM,Probe nM,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
18,JG063I,10,S056.1.1,5.0,False,A10,100000,HEX,25+200 primer+probe,STANDARD,,inf,18,25,200,5.0,8.0,40,-0.015727890020337507,-0.0007273009396158159,0.22869691287249666
66,JG063I,34,S056.1.1,5.0,False,B10,100000,HEX,25+200 primer+probe,STANDARD,,inf,66,25,200,5.0,8.0,40,-0.01675808405306942,0.00026035559130832553,0.22892970806152077
114,JG063I,58,S056.1.1,5.0,False,C10,100000,HEX,25+200 primer+probe,STANDARD,,inf,114,25,200,5.0,7.0,40,-0.022822720991226637,0.001258268253877759,0.2034077580178816
162,JG063I,82,S056.1.1,5.0,False,D10,100000,HEX,25+200 primer+probe,STANDARD,,inf,162,25,200,5.0,7.0,40,-0.02398716980706342,0.001600731397047639,0.21221035894439347
210,JG063I,106,S056.1.1,5.0,False,E10,100000,HEX,25+200 primer+probe,STANDARD,,inf,210,25,200,5.0,6.0,40,-0.061156587366508225,0.0036667780950665474,0.13638568931605038
258,JG063I,130,S056.1.1,5.0,False,F10,100000,HEX,25+200 primer+probe,STANDARD,,inf,258,25,200,5.0,6.0,40,-0.06126047424990108,0.00428025284782052,0.13667060515352847
306,JG063I,154,S056.1.1,5.0,False,G10,100000,HEX,25+200 primer+probe,STANDARD,,24.443884,306,25,200,5.0,5.0,40,-0.14785973453579232,0.14490735530853271,-0.06223833655528971
354,JG063I,178,S056.1.1,5.0,False,H10,100000,HEX,25+200 primer+probe,STANDARD,,24.528267,354,25,200,5.0,5.0,40,-0.14466980759024484,0.13754315674304962,-0.06294845543990729
402,JG063I,202,S056.1.1,5.0,False,I10,100000,HEX,25+200 primer+probe,STANDARD,,24.182663,402,25,200,5.0,4.0,40,-0.1804458528409616,0.17866386473178864,-0.1663472977527048
450,JG063I,226,S056.1.1,5.0,False,J10,100000,HEX,25+200 primer+probe,STANDARD,,24.241367,450,25,200,5.0,4.0,40,-0.18134950205744219,0.1754932850599289,-0.16755139730015225
498,JG063I,250,S056.1.1,5.0,False,K10,100000,HEX,25+200 primer+probe,STANDARD,,24.252958,498,25,200,5.0,3.0,40,-0.17740716454948255,0.1756676584482193,-0.17589818576114186
546,JG063I,274,S056.1.1,5.0,False,L10,100000,HEX,25+200 primer+probe,STANDARD,,24.27124,546,25,200,5.0,3.0,40,-0.18002391719841826,0.1747157722711563,-0.1761115144260881
592,JG063I,298,S056.1.1,5.0,False,M10,100000,HEX,25+200 primer+probe,STANDARD,,24.331545,592,25,200,5.0,2.0,40,-0.17634923762491062,0.17207269370555878,-0.17464151632725652
638,JG063I,322,S056.1.1,5.0,False,N10,100000,HEX,25+200 primer+probe,STANDARD,,24.12678,638,25,200,5.0,2.0,40,-0.17731463623934896,0.1765483021736145,-0.17486089243509087
