# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_4\data\JG063A Competitor Concentration Sweep.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2021-09-21 10:54:05 AM EDT
# Run End Date/Time: 2021-09-21 12:49:29 PM EDT
# Run Duration: 115 minutes 23 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:48:24 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:48:29 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","S056.4.10","0.24363113939762115","0.004606683706415128","S056.4.2_vs_S056.4.10","false"
"1","A1","2","S056.4.10","0.2435431182384491","0.00451866254724307","S056.4.2_vs_S056.4.10","false"
"1","A1","3","S056.4.10","0.24320316314697266","0.0041787074557666296","S056.4.2_vs_S056.4.10","false"
"1","A1","4","S056.4.10","0.2436653971672058","0.004640941475999784","S056.4.2_vs_S056.4.10","false"
"1","A1","5","S056.4.10","0.24438931047916412","0.005364854787958097","S056.4.2_vs_S056.4.10","false"
"1","A1","6","S056.4.10","0.24480040371418","0.005775948022973966","S056.4.2_vs_S056.4.10","false"
"1","A1","7","S056.4.10","0.24540381133556366","0.006379355644357633","S056.4.2_vs_S056.4.10","false"
"1","A1","8","S056.4.10","0.24603813886642456","0.007013683175218534","S056.4.2_vs_S056.4.10","false"
"1","A1","9","S056.4.10","0.24784019589424133","0.008815740203035306","S056.4.2_vs_S056.4.10","false"
"1","A1","10","S056.4.10","0.2486407607793808","0.009616305088174772","S056.4.2_vs_S056.4.10","false"
"1","A1","11","S056.4.10","0.24861013889312744","0.009585683201921415","S056.4.2_vs_S056.4.10","false"
"1","A1","12","S056.4.10","0.24827840924263","0.009253953551423978","S056.4.2_vs_S056.4.10","false"
"1","A1","13","S056.4.10","0.24757452309131622","0.008550067400110196","S056.4.2_vs_S056.4.10","false"
"1","A1","14","S056.4.10","0.24796882271766663","0.0089443670264606","S056.4.2_vs_S056.4.10","false"
"1","A1","15","S056.4.10","0.24843233823776245","0.009407882546556424","S056.4.2_vs_S056.4.10","false"
"1","A1","16","S056.4.10","0.24860656261444092","0.009582106923234891","S056.4.2_vs_S056.4.10","false"
"1","A1","17","S056.4.10","0.2506105601787567","0.011586104487550687","S056.4.2_vs_S056.4.10","false"
"1","A1","18","S056.4.10","0.2511340081691742","0.012109552477968168","S056.4.2_vs_S056.4.10","false"
"1","A1","19","S056.4.10","0.25152114033699036","0.01249668464578433","S056.4.2_vs_S056.4.10","false"
"1","A1","20","S056.4.10","0.25256675481796265","0.01354229912675662","S056.4.2_vs_S056.4.10","false"
"1","A1","21","S056.4.10","0.2524421513080597","0.013417695616853666","S056.4.2_vs_S056.4.10","false"
"1","A1","22","S056.4.10","0.2531893253326416","0.014164869641435575","S056.4.2_vs_S056.4.10","false"
"1","A1","23","S056.4.10","0.2537153661251068","0.014690910433900785","S056.4.2_vs_S056.4.10","false"
"1","A1","24","S056.4.10","0.2548012435436249","0.01577678785241885","S056.4.2_vs_S056.4.10","false"
"1","A1","25","S056.4.10","0.2547593414783478","0.01573488578714175","S056.4.2_vs_S056.4.10","false"
"1","A1","26","S056.4.10","0.2554042339324951","0.01637977824128909","S056.4.2_vs_S056.4.10","false"
"1","A1","27","S056.4.10","0.2552686631679535","0.016244207476747465","S056.4.2_vs_S056.4.10","false"
"1","A1","28","S056.4.10","0.25423741340637207","0.015212957715166044","S056.4.2_vs_S056.4.10","false"
"1","A1","29","S056.4.10","0.252329558134079","0.013305102442872953","S056.4.2_vs_S056.4.10","false"
"1","A1","30","S056.4.10","0.24977560341358185","0.010751147722375821","S056.4.2_vs_S056.4.10","false"
"1","A1","31","S056.4.10","0.24759413301944733","0.0085696773282413","S056.4.2_vs_S056.4.10","false"
"1","A1","32","S056.4.10","0.24271996319293976","0.0036955075017337316","S056.4.2_vs_S056.4.10","false"
"1","A1","33","S056.4.10","0.24165984988212585","0.002635394190919828","S056.4.2_vs_S056.4.10","false"
"1","A1","34","S056.4.10","0.24256862699985504","0.003544171308649015","S056.4.2_vs_S056.4.10","false"
"1","A1","35","S056.4.10","0.2400462031364441","0.001021747445238065","S056.4.2_vs_S056.4.10","false"
"1","A1","36","S056.4.10","0.23771804571151733","-0.0013064099796886927","S056.4.2_vs_S056.4.10","false"
"1","A1","37","S056.4.10","0.23709683120250702","-0.0019276244886990077","S056.4.2_vs_S056.4.10","false"
"1","A1","38","S056.4.10","0.23642079532146454","-0.002603660369741488","S056.4.2_vs_S056.4.10","false"
"1","A1","39","S056.4.10","0.23425312340259552","-0.004771332288610507","S056.4.2_vs_S056.4.10","false"
