# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_4\data\JG063A Competitor Concentration Sweep.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2021-09-21 10:54:05 AM EDT
# Run End Date/Time: 2021-09-21 12:49:29 PM EDT
# Run Duration: 115 minutes 23 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:48:24 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:48:29 PM EDT
"Well","Well Position","Cycle Number","FAM","HEX","ROX"
"1","A1","1","49866.266","23259.533","204679.36"
"1","A1","2","49941.918","23273.783","205063.97"
"1","A1","3","49914.13","23428.979","205236.34"
"1","A1","4","50028.164","23492.121","205315.02"
"1","A1","5","50309.113","23736.178","205856.44"
"1","A1","6","50424.52","23832.342","205982.17"
"1","A1","7","50654.832","23818.42","206414.2"
"1","A1","8","50912.973","23882.426","206931.22"
"1","A1","9","51379.375","23651.355","207308.48"
"1","A1","10","51548.23","23603.77","207320.11"
"1","A1","11","51609.79","23849.443","207593.27"
"1","A1","12","51559.03","23939.633","207666.19"
"1","A1","13","51439.844","23923.123","207775.19"
"1","A1","14","51473.04","23796.562","207578.67"
"1","A1","15","51350.293","23533.672","206697.3"
"1","A1","16","51432.977","23550.56","206885.03"
"1","A1","17","52366.89","24006.607","208957.23"
"1","A1","18","52591.07","24143.984","209414.36"
"1","A1","19","52658.992","24123.633","209362.1"
"1","A1","20","52926.695","24171.195","209555.27"
"1","A1","21","52945.46","24334.22","209733.05"
"1","A1","22","53111.676","24365.955","209770.6"
"1","A1","23","53239.734","24666.64","209840.4"
"1","A1","24","53548.6","24979.127","210158.31"
"1","A1","25","53600.957","25709.33","210398.39"
"1","A1","26","53785.93","26733.898","210591.38"
"1","A1","27","53790.934","28293.969","210722.81"
"1","A1","28","53481.555","31474.332","210360.67"
"1","A1","29","53001.793","36427.035","210049.88"
"1","A1","30","52423.74","43140.664","209883.34"
"1","A1","31","51942.836","51493.63","209790.25"
"1","A1","32","51015.6","60961.15","210182.97"
"1","A1","33","50817.066","69729.7","210283.45"
"1","A1","34","51206.3","78122.17","211100.27"
"1","A1","35","50808.543","86251.63","211661.52"
"1","A1","36","50223.504","92873.35","211273.42"
"1","A1","37","50048.59","98612.33","211089.23"
"1","A1","38","50017.04","103540.766","211559.39"
"1","A1","39","49508.816","106879.42","211347.52"
"1","A1","40","49369.906","109753.8","211130.88"
"1","A1","41","49453.12","112486.25","211284.97"
"1","A1","42","49101.1","114027.805","210836.25"
"1","A1","43","48991.18","115614.85","210598.2"
"1","A1","44","49042.875","117406.14","210867.48"
"1","A1","45","49067.17","118377.12","210857.38"
"1","A1","46","49217.27","119473.24","211209.56"
"1","A1","47","49195.37","119987.46","211172.17"
"1","A1","48","49200.566","120929.69","211480.58"
"1","A1","49","49461.555","122159.78","211854.47"
"1","A1","50","49595.867","122752.98","211873.69"
"1","A1","51","49613.156","123156.47","211714.84"
"1","A1","52","49588.46","123744.234","211945.55"
"1","A1","53","49789.664","124181.23","212060.86"
"1","A1","54","49987.457","124412.61","212231.25"
"1","A1","55","49752.223","124808.93","212037.3"
"1","A1","56","49471.445","125172.03","211864.84"
"1","A1","57","49330.555","125668.125","211640.42"
"1","A1","58","49184.75","126114.516","211609.88"
"1","A1","59","49140.4","126548.76","211381.53"
"1","A1","60","49231.63","126853.9","211184.67"
"1","A1","61","49237.223","127006.875","210960.17"
"1","A1","62","49278.793","127521.266","210921.03"
"1","A1","63","49066.74","127422.74","210737.55"
"1","A1","64","48982.945","127885.71","210696.38"
"1","A1","65","49025.53","128329.75","210797.95"
"1","A1","66","49183.953","129302.23","211893.67"
"1","A1","67","49269.695","129754.516","211966.02"
"1","A1","68","49267.4","130151.31","211890.86"
"1","A1","69","49212.285","130315.46","211679.47"
"1","A1","70","49129.57","130981.03","211622.17"
"1","A1","71","48904.516","131540.2","211522.19"
"1","A1","72","48971.81","132250.69","211744.58"
"1","A1","73","49455.574","132840.44","212004.4"
"1","A1","74","49487.543","133309.89","212290.84"
"1","A1","75","49342.316","133709.44","212071.19"
"1","A1","76","49062.133","134148.17","211807.55"
"1","A1","77","49088.043","134314.42","212009.67"
"1","A1","78","49502.266","135291.4","212513.16"
"1","A1","79","49373.273","135577.47","212185.94"
"1","A1","80","49269.074","135922.27","211924.12"
"1","A1","81","49273.113","136234.19","212108.8"
"1","A1","82","49242.59","136725.69","212061.25"
"1","A1","83","49271.91","137255.81","212411.17"
"1","A1","84","49259.25","137671.86","212254.69"
"1","A1","85","49366.484","137862.05","212219.0"
"1","A1","86","49406.887","138768.02","213007.47"
"1","A1","87","49202.91","139172.78","212489.61"
"1","A1","88","49119.61","139298.62","212153.62"
"1","A1","89","49143.57","139539.58","212353.38"
"1","A1","90","49110.863","139954.28","212196.7"
"2","A2","1","38478.83","20552.258","177645.6"
"2","A2","2","38724.83","20484.463","177831.47"
"2","A2","3","39009.76","20373.566","177952.69"
"2","A2","4","39050.797","20389.232","178056.22"
"2","A2","5","39196.605","20544.76","178519.48"
"2","A2","6","39224.957","20621.205","178651.33"
"2","A2","7","39377.79","20749.727","179082.22"
"2","A2","8","39683.395","20772.305","179394.62"
"2","A2","9","39729.504","20819.512","179526.39"
"2","A2","10","39680.5","20635.049","179558.02"
"2","A2","11","39942.535","20592.135","180024.61"
"2","A2","12","39916.582","20769.443","180127.7"
"2","A2","13","39980.69","20848.916","180055.36"
"2","A2","14","39839.65","20818.28","179778.34"
"2","A2","15","39626.902","20668.818","179177.2"
"2","A2","16","39639.125","20744.96","179327.92"
"2","A2","17","40311.875","21405.025","180851.45"
"2","A2","18","40445.04","21930.986","181185.98"
"2","A2","19","40487.89","22779.436","181445.56"
"2","A2","20","40544.562","24292.428","181824.6"
"2","A2","21","40545.23","26957.11","181970.39"
"2","A2","22","40420.938","31146.246","181943.19"
"2","A2","23","40106.61","36954.52","182098.94"
"2","A2","24","39883.76","44266.37","182356.0"
"2","A2","25","39706.715","52598.605","182942.19"
"2","A2","26","39340.754","61086.598","183175.4"
"2","A2","27","38970.45","69089.47","183348.66"
"2","A2","28","38468.01","76315.79","183411.03"
"2","A2","29","38232.117","82251.55","183225.88"
"2","A2","30","38037.016","87576.29","183123.6"
"2","A2","31","37891.562","91790.17","183029.81"
"2","A2","32","37730.176","95558.51","183356.56"
"2","A2","33","37674.47","98093.97","183466.22"
"2","A2","34","37760.152","100676.52","184263.88"
"2","A2","35","37587.684","102941.02","184436.1"
"2","A2","36","37500.15","104489.5","184175.22"
"2","A2","37","37544.312","105498.086","184025.23"
"2","A2","38","37531.72","106710.72","184275.11"
"2","A2","39","37342.96","107677.82","184098.47"
"2","A2","40","37305.97","108287.86","183895.03"
"2","A2","41","37416.938","109135.02","184041.9"
"2","A2","42","37245.53","109372.11","183838.69"
"2","A2","43","37188.33","109717.99","183608.7"
"2","A2","44","37287.055","110239.41","183619.95"
"2","A2","45","37443.16","110434.36","183496.78"
"2","A2","46","37377.785","111014.96","183622.16"
"2","A2","47","37232.297","111074.58","183538.84"
"2","A2","48","37253.195","111697.99","183899.27"
"2","A2","49","37543.676","112497.41","184511.6"
"2","A2","50","37605.074","112888.52","184579.4"
"2","A2","51","37576.527","113050.52","184414.5"
"2","A2","52","37546.85","113196.78","184605.97"
"2","A2","53","37644.824","113669.73","184692.72"
"2","A2","54","37646.46","113917.164","184745.97"
"2","A2","55","37523.61","114347.36","184551.38"
"2","A2","56","37458.54","114418.87","184352.67"
"2","A2","57","37493.457","114485.42","184136.98"
"2","A2","58","37483.48","114478.02","183950.83"
"2","A2","59","37370.945","114710.72","184068.2"
"2","A2","60","37323.06","115203.84","183948.9"
"2","A2","61","37334.785","115191.96","183735.48"
"2","A2","62","37175.81","115761.41","183722.16"
"2","A2","63","37110.62","115341.79","183412.52"
"2","A2","64","37118.707","115360.82","183233.16"
"2","A2","65","37220.953","115772.7","183740.89"
"2","A2","66","37400.23","116729.164","184507.61"
"2","A2","67","37486.36","117100.27","184478.5"
"2","A2","68","37450.004","117223.63","184360.64"
"2","A2","69","37420.707","117303.07","184268.69"
"2","A2","70","37500.566","117545.734","184094.97"
"2","A2","71","37478.844","117744.414","184122.14"
"2","A2","72","37506.117","118238.625","184199.11"
"2","A2","73","37597.664","118495.0","184541.47"
"2","A2","74","37551.21","119104.45","184577.98"
"2","A2","75","37520.055","119389.82","184515.47"
"2","A2","76","37634.293","119462.7","184441.95"
"2","A2","77","37697.61","119622.32","184395.89"
"2","A2","78","38003.03","120236.34","184996.12"
"2","A2","79","37932.266","120493.77","184945.97"
"2","A2","80","37829.367","120623.195","184869.78"
"2","A2","81","37812.844","120929.5","184651.06"
"2","A2","82","37752.9","120953.914","184497.25"
"2","A2","83","37690.215","121492.13","184859.81"
"2","A2","84","37709.49","121625.945","184803.17"
"2","A2","85","37705.977","122106.836","184763.89"
"2","A2","86","37878.773","123021.07","185261.95"
"2","A2","87","37909.332","123403.69","185104.95"
"2","A2","88","37855.75","123693.8","184840.03"
"2","A2","89","37898.883","124296.77","184833.66"
"2","A2","90","37871.566","125040.125","184627.28"
"3","A3","1","36545.785","21467.127","182292.03"
"3","A3","2","36721.164","21395.035","182532.23"
"3","A3","3","36810.582","21372.785","182684.97"
"3","A3","4","36888.51","21443.03","182611.98"
"3","A3","5","37267.74","21493.61","182510.16"
"3","A3","6","37349.176","21502.79","182559.1"
"3","A3","7","37430.367","21544.926","183109.98"
"3","A3","8","37533.836","21681.639","183480.72"
"3","A3","9","37801.098","21564.13","183523.97"
"3","A3","10","37836.9","21507.828","183499.97"
"3","A3","11","37981.535","21588.424","183755.02"
"3","A3","12","38049.42","21775.832","183780.64"
"3","A3","13","38115.52","21931.592","183972.2"
"3","A3","14","38171.234","22208.83","183710.45"
"3","A3","15","37978.21","22822.486","182835.6"
"3","A3","16","37920.297","23803.178","182991.6"
"3","A3","17","38434.605","25854.979","184727.31"
"3","A3","18","38463.867","28922.79","185273.81"
"3","A3","19","38252.598","33755.94","185409.48"
"3","A3","20","38004.76","40128.727","185562.16"
"3","A3","21","37556.203","48197.01","185638.56"
"3","A3","22","37299.527","57094.58","185991.56"
"3","A3","23","37109.277","65801.53","186126.52"
"3","A3","24","36718.062","74086.69","186430.39"
"3","A3","25","36508.055","81497.91","186964.53"
"3","A3","26","36449.43","87678.64","187102.98"
"3","A3","27","36289.58","92855.05","187094.8"
"3","A3","28","35916.29","97209.34","187051.83"
"3","A3","29","35731.65","100430.92","186870.4"
"3","A3","30","35663.7","103100.55","186813.97"
"3","A3","31","35580.188","105066.22","186724.5"
"3","A3","32","35588.42","107533.71","186694.2"
"3","A3","33","35535.996","108790.71","186726.92"
"3","A3","34","35575.99","110337.3","187507.08"
"3","A3","35","35443.15","111684.02","187672.47"
"3","A3","36","35338.36","112446.8","187425.16"
"3","A3","37","35394.117","113064.664","187230.17"
"3","A3","38","35518.652","113847.22","187316.08"
"3","A3","39","35443.152","114201.22","187073.06"
"3","A3","40","35377.168","114389.266","186940.06"
"3","A3","41","35466.918","114902.234","187224.4"
"3","A3","42","35309.7","115015.44","186769.5"
"3","A3","43","35238.254","115171.6","186504.16"
"3","A3","44","35391.49","115763.76","186591.19"
"3","A3","45","35369.76","115950.68","186503.4"
"3","A3","46","35383.707","116570.36","186608.06"
"3","A3","47","35350.11","116994.06","186551.16"
"3","A3","48","35504.58","117373.18","186908.1"
"3","A3","49","35700.84","117918.58","187414.03"
"3","A3","50","35772.55","118003.32","187606.12"
"3","A3","51","35706.08","118256.68","187515.4"
"3","A3","52","35644.418","118681.555","187470.3"
"3","A3","53","35778.086","119118.44","187484.8"
"3","A3","54","35739.324","119244.7","187643.47"
"3","A3","55","35751.61","119544.32","187576.42"
"3","A3","56","35685.293","119626.586","187502.97"
"3","A3","57","35660.07","119689.04","187313.23"
"3","A3","58","35673.74","120059.47","187100.8"
"3","A3","59","35768.195","120317.15","187059.02"
"3","A3","60","35685.348","120658.97","186832.73"
"3","A3","61","35571.934","120657.11","186625.94"
"3","A3","62","35478.062","121061.9","186630.16"
"3","A3","63","35358.824","120738.305","186473.22"
"3","A3","64","35275.457","121034.97","186422.78"
"3","A3","65","35378.508","121613.11","186586.72"
"3","A3","66","35597.355","122238.42","187253.14"
"3","A3","67","35586.555","122413.1","187260.11"
"3","A3","68","35641.34","122611.125","187314.25"
"3","A3","69","35600.023","122940.86","187340.6"
"3","A3","70","35674.168","123119.15","187270.66"
"3","A3","71","35685.99","123318.06","187335.06"
"3","A3","72","35780.51","124016.81","187310.52"
"3","A3","73","35962.258","124535.79","187596.17"
"3","A3","74","35927.56","124986.15","187980.67"
"3","A3","75","35964.266","125404.95","187976.52"
"3","A3","76","35889.61","125824.77","187605.2"
"3","A3","77","35904.902","126598.695","187616.75"
"3","A3","78","36100.36","128011.96","188579.4"
"3","A3","79","36007.516","129247.16","188216.17"
"3","A3","80","35814.586","130396.086","187973.78"
"3","A3","81","35527.664","132801.53","188319.19"
"3","A3","82","35416.73","135186.58","188292.98"
"3","A3","83","35506.1","138525.42","188487.73"
"3","A3","84","35442.984","142066.89","188338.17"
"3","A3","85","35345.484","145897.23","188405.94"
"3","A3","86","35122.684","150364.64","189032.47"
"3","A3","87","34859.44","153969.02","189070.6"
"3","A3","88","34696.95","157278.31","188907.56"
"3","A3","89","34443.586","160784.73","189021.33"
"3","A3","90","34381.477","163497.78","189046.33"
"4","A4","1","38701.87","21266.652","177726.8"
"4","A4","2","38848.203","21333.17","177871.34"
"4","A4","3","39165.61","21237.861","177881.67"
"4","A4","4","39439.52","21171.635","177853.47"
"4","A4","5","39687.71","21118.74","177950.9"
"4","A4","6","39821.54","21140.285","178007.7"
"4","A4","7","39958.133","21312.062","178367.78"
"4","A4","8","40270.71","21456.22","178665.69"
"4","A4","9","40404.336","21491.145","178762.64"
"4","A4","10","40354.117","21648.953","178755.84"
"4","A4","11","40543.965","21981.35","179005.27"
"4","A4","12","40816.715","22511.111","179076.7"
"4","A4","13","40828.023","23542.355","179066.14"
"4","A4","14","40580.23","25395.559","178867.28"
"4","A4","15","40231.184","28264.213","178058.28"
"4","A4","16","40070.688","32519.105","178242.08"
"4","A4","17","40305.473","39053.25","180007.22"
"4","A4","18","39881.914","46938.91","180605.03"
"4","A4","19","39499.457","55700.598","180533.98"
"4","A4","20","39082.707","64363.45","180645.3"
"4","A4","21","38703.324","72474.83","180947.6"
"4","A4","22","38399.543","79856.35","181266.67"
"4","A4","23","38031.082","86285.87","181417.42"
"4","A4","24","37804.43","91605.79","181728.98"
"4","A4","25","37719.89","96228.9","182003.38"
"4","A4","26","37591.293","99776.484","182054.42"
"4","A4","27","37601.273","102661.93","182088.9"
"4","A4","28","37395.54","104777.555","181923.55"
"4","A4","29","37032.434","106256.766","181706.27"
"4","A4","30","36811.305","107777.1","181582.73"
"4","A4","31","36741.91","109072.88","181403.4"
"4","A4","32","36877.625","110206.29","181308.86"
"4","A4","33","36845.58","110505.016","181330.61"
"4","A4","34","37072.77","111625.84","182085.89"
"4","A4","35","37329.12","112612.1","182406.2"
"4","A4","36","37164.582","112851.375","182274.42"
"4","A4","37","37012.918","113265.97","182266.58"
"4","A4","38","37044.21","114104.84","182227.34"
"4","A4","39","36834.207","114373.3","181871.08"
"4","A4","40","36713.26","114516.94","181709.47"
"4","A4","41","36864.777","115029.48","181966.23"
"4","A4","42","36750.754","115185.44","181772.14"
"4","A4","43","36598.258","115328.24","181537.48"
"4","A4","44","36549.645","115546.805","181430.75"
"4","A4","45","36490.668","115879.9","181338.52"
"4","A4","46","36676.76","116290.414","181567.33"
"4","A4","47","36687.93","116270.88","181548.88"
"4","A4","48","36692.668","116814.53","181915.66"
"4","A4","49","36997.15","117489.15","182431.58"
"4","A4","50","37031.812","117904.51","182411.58"
"4","A4","51","36944.508","118259.9","182255.38"
"4","A4","52","36925.918","118439.24","182324.44"
"4","A4","53","37002.9","118612.266","182569.88"
"4","A4","54","37015.473","118967.73","182585.27"
"4","A4","55","36886.707","119242.586","182410.44"
"4","A4","56","36831.14","119343.23","182321.55"
"4","A4","57","36825.906","119550.336","182121.83"
"4","A4","58","36852.34","119909.414","182024.45"
"4","A4","59","36929.234","120161.87","182070.53"
"4","A4","60","36870.29","120384.09","181954.69"
