# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_4\data\JG063B Competitor concentration sweep 2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2021-09-24 11:41:26 AM EDT
# Run End Date/Time: 2021-09-24 01:36:56 PM EDT
# Run Duration: 115 minutes 29 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:47:53 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:48:10 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"S056.4.1_vs_S056.4.10","S056.4.1","16","100000.0","0","15.92385703464029","0.02122012865497929","0.005305032163744823",
"S056.4.1_vs_S056.4.10","S056.4.1","16","1.0E8","0","8.903340819894447","0.044698966154942246","0.011174741538735562",
"S056.4.1_vs_S056.4.10","S056.4.1","16","100.0","0","24.654643993480676","0.21210711534504195","0.05302677883626049",
"S056.4.1_vs_S056.4.10","S056.4.1","16","1000000.0","0","13.003388047499739","0.036228529396730116","0.009057132349182529",
"S056.4.1_vs_S056.4.10","S056.4.1","16","10000.0","0","18.59275737956325","0.04357702779605243","0.010894256949013107",
"S056.4.1_vs_S056.4.10","S056.4.10","10","100000.0","0","","","",
"S056.4.1_vs_S056.4.10","S056.4.10","10","1.0E8","0","26.20635921840173","1.5575798242988836","1.1013752560010919",
"S056.4.1_vs_S056.4.10","S056.4.10","10","100.0","0","","","",
"S056.4.1_vs_S056.4.10","S056.4.10","10","10000.0","0","","","",
"S056.4.1_vs_S056.4.10","S056.4.10","10","10.0","0","","","",
"S056.4.1_vs_S056.4.10","S056.4.10","10","1000000.0","0","","","",
"S056.4.1_vs_S056.4.10","S056.4.10","10","1000.0","0","","","",
"S056.4.1_vs_S056.4.10","S056.4.10","10","1.0E7","0","","","",
"S056.4.1_vs_S056.4.12","S056.4.1","16","100000.0","0","15.878834247722882","0.18046509532502053","0.04511627383125513",
