# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_4\data\JG063I Primer Probe Sweep 5 logs.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-02-10 11:07:51 AM EST
# Run End Date/Time: 2022-02-10 01:03:51 PM EST
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:47:16 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:47:35 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"10+10 primer+probe","S056.1.1","16","100000.0","0","","","",
"10+10 primer+probe","S056.1.12","2","10.0","0","","","",
"10+10 primer+probe","S056.1.12","2","1.0E8","0","","","",
"10+10 primer+probe","S056.1.12","2","100000.0","0","","","",
"10+10 primer+probe","S056.1.12","2","10000.0","0","","","",
"10+10 primer+probe","S056.1.12","2","1000000.0","0","","","",
"10+10 primer+probe","S056.1.12","2","1000.0","0","","","",
"10+10 primer+probe","S056.1.12","2","100.0","0","","","",
"10+10 primer+probe","S056.1.12","2","1.0E7","0","","","",
"10+100 primer+probe","S056.1.1","16","100000.0","0","","","",
"10+100 primer+probe","S056.1.12","2","10.0","0","","","",
"10+100 primer+probe","S056.1.12","2","1.0E8","0","","","",
"10+100 primer+probe","S056.1.12","2","100000.0","0","","","",
"10+100 primer+probe","S056.1.12","2","1000000.0","0","","","",
"10+100 primer+probe","S056.1.12","2","10000.0","0","","","",
"10+100 primer+probe","S056.1.12","2","1.0E7","0","","","",
"10+100 primer+probe","S056.1.12","2","1000.0","0","","","",
"10+100 primer+probe","S056.1.12","2","100.0","0","","","",
"10+200 primer+probe","S056.1.1","16","100000.0","0","","","",
"10+200 primer+probe","S056.1.12","2","1000.0","0","","","",
"10+200 primer+probe","S056.1.12","2","100.0","0","","","",
"10+200 primer+probe","S056.1.12","2","10.0","0","","","",
"10+200 primer+probe","S056.1.12","2","1.0E7","0","","","",
"10+200 primer+probe","S056.1.12","2","1.0E8","0","20.740145694465866","","",
"10+200 primer+probe","S056.1.12","2","100000.0","0","","","",
"10+200 primer+probe","S056.1.12","2","10000.0","0","","","",
"10+200 primer+probe","S056.1.12","2","1000000.0","0","","","",
"10+25 primer+probe","S056.1.1","16","100000.0","0","","","",
"10+25 primer+probe","S056.1.12","2","100.0","0","","","",
"10+25 primer+probe","S056.1.12","2","1000.0","0","","","",
"10+25 primer+probe","S056.1.12","2","1000000.0","0","","","",
"10+25 primer+probe","S056.1.12","2","10000.0","0","","","",
"10+25 primer+probe","S056.1.12","2","100000.0","0","","","",
"10+25 primer+probe","S056.1.12","2","10.0","0","","","",
"10+25 primer+probe","S056.1.12","2","1.0E8","0","","","",
"10+25 primer+probe","S056.1.12","2","1.0E7","0","","","",
"10+50 primer+probe","S056.1.1","16","100000.0","0","","","",
"10+50 primer+probe","S056.1.12","2","100.0","0","","","",
"10+50 primer+probe","S056.1.12","2","1.0E7","0","","","",
