# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_6\data\JG074C_L2_500_competitor_sweep.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-06 10:13:53 AM EDT
# Run End Date/Time: 2022-04-06 12:09:45 PM EDT
# Run Duration: 115 minutes 52 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:45:31 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:46:09 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"JG074C.001","FAM","1","-","0","10.509393347483243","","",
"JG074C.001","HEX","1","-","0","11.094495116031979","","",
"JG074C.002","FAM","1","-","0","10.688407734013122","","",
"JG074C.002","HEX","1","-","0","10.89576404153025","","",
"JG074C.003","FAM","1","-","0","10.526986425543988","","",
"JG074C.003","HEX","1","-","0","10.950418269863757","","",
"JG074C.004","FAM","1","-","0","10.79504622334047","","",
"JG074C.004","HEX","1","-","0","10.987669932650967","","",
"JG074C.005","FAM","1","-","0","11.829460676746688","","",
"JG074C.005","HEX","1","-","0","8.930184079953188","","",
"JG074C.006","FAM","1","-","0","10.922801696877116","","",
"JG074C.006","HEX","1","-","0","10.987342949071472","","",
"JG074C.007","FAM","1","-","0","10.601498454627936","","",
"JG074C.007","HEX","1","-","0","10.916868557218223","","",
"JG074C.008","FAM","1","-","0","10.89257235609173","","",
"JG074C.008","HEX","1","-","0","11.145663106025822","","",
"JG074C.009","FAM","1","-","0","10.935674362529529","","",
"JG074C.009","HEX","1","-","0","11.037198671109412","","",
"JG074C.010","FAM","1","-","0","11.887048173278732","","",
"JG074C.010","HEX","1","-","0","8.851358183182889","","",
"JG074C.011","FAM","1","-","0","10.605595042238487","","",
"JG074C.011","HEX","1","-","0","10.994602465797595","","",
"JG074C.012","FAM","1","-","0","10.870455983798315","","",
"JG074C.012","HEX","1","-","0","10.981238576021084","","",
"JG074C.013","FAM","1","-","0","10.799527657828452","","",
"JG074C.013","HEX","1","-","0","10.984679074163562","","",
"JG074C.014","FAM","1","-","0","10.661150642915402","","",
"JG074C.014","HEX","1","-","0","10.689110645321826","","",
"JG074C.015","FAM","1","-","0","11.870939360422664","","",
"JG074C.015","HEX","1","-","0","9.017002182754332","","",
"JG074C.016","FAM","1","-","0","11.081058267390603","","",
"JG074C.016","HEX","1","-","0","10.983518107394378","","",
"JG074C.017","FAM","1","-","0","10.910747284055503","","",
"JG074C.017","HEX","1","-","0","11.157828343961643","","",
"JG074C.018","FAM","1","-","0","10.629881046332038","","",
"JG074C.018","HEX","1","-","0","10.900467585619666","","",
"JG074C.019","FAM","1","-","0","10.746788799909247","","",
"JG074C.019","HEX","1","-","0","11.149139298387642","","",
"JG074C.020","FAM","1","-","0","12.41906691661346","","",
"JG074C.020","HEX","1","-","0","8.723396575850673","","",
"JG074C.021","FAM","1","-","0","7.0170787248370985","","",
"JG074C.021","HEX","1","-","0","10.85499570201856","","",
"JG074C.022","FAM","1","-","0","8.674347633737217","","",
