# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_6\data\JG074C_L2_500_competitor_sweep.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-06 10:13:53 AM EDT
# Run End Date/Time: 2022-04-06 12:09:45 PM EDT
# Run Duration: 115 minutes 52 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:45:31 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:46:09 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","JG074C.001","FAM","UNKNOWN","FAM","NFQ-MGB","Amp","1.0945328102717637","","","10.509393347483243","0.38330228741813466","10.509393347483243","","true","0.03999999910593033","true","3","7"
"1","A1","false","JG074C.001","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.0763356874464822","","","11.094495116031979","0.5938467662567789","11.094495116031979","","true","0.03999999910593033","true","3","8"
"2","A2","false","JG074C.002","FAM","UNKNOWN","FAM","NFQ-MGB","Amp","1.1137499252645917","","","10.688407734013122","0.3535852184210819","10.688407734013122","","true","0.03999999910593033","true","3","8"
"2","A2","false","JG074C.002","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.0649028393396889","","","10.89576404153025","0.6147908155502848","10.89576404153025","","true","0.03999999910593033","true","3","7"
"3","A3","false","JG074C.003","FAM","UNKNOWN","FAM","NFQ-MGB","Amp","1.0896930122078317","","","10.526986425543988","0.34725216642931117","10.526986425543988","","true","0.03999999910593033","true","3","7"
"3","A3","false","JG074C.003","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.067224396544073","","","10.950418269863757","0.5854447551766607","10.950418269863757","","true","0.03999999910593033","true","3","8"
"4","A4","false","JG074C.004","FAM","UNKNOWN","FAM","NFQ-MGB","Amp","1.0939939426776715","","","10.79504622334047","0.3625097706133769","10.79504622334047","","true","0.03999999910593033","true","3","8"
"4","A4","false","JG074C.004","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.0772931962415273","","","10.987669932650967","0.560079210365669","10.987669932650967","","true","0.03999999910593033","true","3","8"
"5","A5","false","JG074C.005","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","0.7915260007740519","","","11.829460676746688","0.1675700144205752","11.829460676746688","","true","0.03999999910593033","true","3","8"
"5","A5","false","JG074C.005","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.1888385699756199","","","8.930184079953188","0.30873852519471623","8.930184079953188","","true","0.03999999910593033","true","3","6"
"6","A6","false","JG074C.006","FAM","UNKNOWN","FAM","NFQ-MGB","Amp","1.0742546235057138","","","10.922801696877116","0.3841765173209215","10.922801696877116","","true","0.03999999910593033","true","3","8"
