# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_6\data\JG074D_L2_500_like_competitor_sweep.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-06 12:12:16 PM EDT
# Run End Date/Time: 2022-04-06 02:06:43 PM EDT
# Run Duration: 114 minutes 26 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:45:00 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:45:14 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"JG074D.001","FAM","1","-","0","","","",
"JG074D.001","HEX","1","-","0","10.522443856967712","","",
"JG074D.002","FAM","1","-","0","21.41906721936741","","",
"JG074D.002","HEX","1","-","0","10.504573819623047","","",
"JG074D.003","FAM","1","-","0","","","",
"JG074D.003","HEX","1","-","0","","","",
"JG074D.004","FAM","1","-","0","23.883890274527424","","",
"JG074D.004","HEX","1","-","0","10.197843910648675","","",
"JG074D.005","FAM","1","-","0","13.030169167774186","","",
"JG074D.005","HEX","1","-","0","10.408961339428593","","",
"JG074D.006","FAM","1","-","0","","","",
"JG074D.006","HEX","1","-","0","10.133718327935831","","",
"JG074D.007","FAM","1","-","0","21.5392115560043","","",
"JG074D.007","HEX","1","-","0","10.19958848528939","","",
"JG074D.008","FAM","1","-","0","","","",
"JG074D.008","HEX","1","-","0","10.262385652883022","","",
"JG074D.009","FAM","1","-","0","22.428228496102587","","",
"JG074D.009","HEX","1","-","0","10.296495294102737","","",
"JG074D.010","FAM","1","-","0","12.77520353560619","","",
"JG074D.010","HEX","1","-","0","10.279656767578011","","",
"JG074D.011","FAM","1","-","0","24.93030644258745","","",
"JG074D.011","HEX","1","-","0","10.363761550237552","","",
"JG074D.012","FAM","1","-","0","18.91323670223025","","",
"JG074D.012","HEX","1","-","0","10.448603138727389","","",
"JG074D.013","FAM","1","-","0","19.312373744481736","","",
"JG074D.013","HEX","1","-","0","10.333436234943111","","",
"JG074D.014","FAM","1","-","0","18.7956534076456","","",
"JG074D.014","HEX","1","-","0","10.259917054235753","","",
"JG074D.015","FAM","1","-","0","12.832503383059667","","",
"JG074D.015","HEX","1","-","0","10.184868009059269","","",
"JG074D.016","FAM","1","-","0","14.62365234870966","","",
"JG074D.016","HEX","1","-","0","10.543541185385887","","",
"JG074D.017","FAM","1","-","0","14.911305357188773","","",
"JG074D.017","HEX","1","-","0","10.412910799725044","","",
"JG074D.018","FAM","1","-","0","15.033268141900715","","",
"JG074D.018","HEX","1","-","0","10.282694617987694","","",
"JG074D.019","FAM","1","-","0","14.94718086919116","","",
"JG074D.019","HEX","1","-","0","10.382612935633976","","",
"JG074D.020","FAM","1","-","0","12.179340247912165","","",
"JG074D.020","HEX","1","-","0","10.30763681344282","","",
"JG074D.021","FAM","1","-","0","7.635007354110035","","",
"JG074D.021","HEX","1","-","0","10.179634556397584","","",
"JG074D.022","FAM","1","-","0","7.612159849802387","","",
"JG074D.022","HEX","1","-","0","10.157114577388278","","",
"JG074D.023","FAM","1","-","0","7.573568943450777","","",
"JG074D.023","HEX","1","-","0","10.166355967507986","","",
"JG074D.024","FAM","1","-","0","7.648013854029564","","",
"JG074D.024","HEX","1","-","0","10.301938680865863","","",
"JG074D.025","FAM","1","-","0","24.807168199933727","","",
"JG074D.025","HEX","1","-","0","11.984731355002555","","",
"JG074D.026","FAM","1","-","0","18.039155297553172","","",
"JG074D.026","HEX","1","-","0","11.928721570383203","","",
"JG074D.027","FAM","1","-","0","18.704288754939682","","",
"JG074D.027","HEX","1","-","0","11.97648062762973","","",
"JG074D.028","FAM","1","-","0","21.78000447697749","","",
"JG074D.028","HEX","1","-","0","11.862018934692635","","",
"JG074D.029","FAM","1","-","0","12.368672411642159","","",
"JG074D.029","HEX","1","-","0","11.734823934765366","","",
"JG074D.030","FAM","1","-","0","24.05752816852228","","",
"JG074D.030","HEX","1","-","0","11.926797405094412","","",
"JG074D.031","FAM","1","-","0","17.777410041249748","","",
"JG074D.031","HEX","1","-","0","11.838272588041917","","",
"JG074D.032","FAM","1","-","0","17.932442345686223","","",
"JG074D.032","HEX","1","-","0","11.928411711975208","","",
"JG074D.033","FAM","1","-","0","17.43701644965473","","",
"JG074D.033","HEX","1","-","0","11.831548249481433","","",
"JG074D.034","FAM","1","-","0","12.307277548833703","","",
"JG074D.034","HEX","1","-","0","11.705354191709493","","",
"JG074D.035","FAM","1","-","0","19.425975351024306","","",
"JG074D.035","HEX","1","-","0","12.031282351881249","","",
"JG074D.036","FAM","1","-","0","16.891695557723782","","",
"JG074D.036","HEX","1","-","0","11.914774388731104","","",
"JG074D.037","FAM","1","-","0","17.174720274961942","","",
"JG074D.037","HEX","1","-","0","11.872882887209137","","",
"JG074D.038","FAM","1","-","0","16.835645677229664","","",
"JG074D.038","HEX","1","-","0","11.907945584760814","","",
"JG074D.039","FAM","1","-","0","12.311954044894737","","",
"JG074D.039","HEX","1","-","0","11.755998872198145","","",
"JG074D.040","FAM","1","-","0","13.930507642177052","","",
"JG074D.040","HEX","1","-","0","11.82034168396046","","",
"JG074D.041","FAM","1","-","0","14.283703097078506","","",
"JG074D.041","HEX","1","-","0","11.955254138285028","","",
