# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_6\data\JG074D_L2_500_like_competitor_sweep.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-06 12:12:16 PM EDT
# Run End Date/Time: 2022-04-06 02:06:43 PM EDT
# Run Duration: 114 minutes 26 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:45:00 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:45:13 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","JG074D.001","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"1","A1","false","JG074D.001","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.1936607386681592","","","10.522443856967712","0.46909404332286486","10.522443856967712","","true","0.03999999910593033","true","3","8"
"2","A2","false","JG074D.002","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","0.5838601364728586","","","21.41906721936741","0.1427095665208268","21.41906721936741","","true","0.03999999910593033","true","3","14"
"2","A2","false","JG074D.002","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.1891553718936416","","","10.504573819623047","0.4741931884088573","10.504573819623047","","true","0.03999999910593033","true","3","8"
"3","A3","false","JG074D.003","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"3","A3","false","JG074D.003","HEX","UNKNOWN","HEX","NFQ-MGB","Inconclusive","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"4","A4","false","JG074D.004","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","0.5498149811990487","","","23.883890274527424","0.13654843888022494","23.883890274527424","","true","0.03999999910593033","true","3","15"
"4","A4","false","JG074D.004","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.196577878434175","","","10.197843910648675","0.44792038408248686","10.197843910648675","","true","0.03999999910593033","true","3","7"
"5","A5","false","JG074D.005","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","0.8865705783187442","","","13.030169167774186","0.28466881617373124","13.030169167774186","","true","0.03999999910593033","true","3","10"
"5","A5","false","JG074D.005","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.1813158508358108","","","10.408961339428593","0.43807419776323386","10.408961339428593","","true","0.03999999910593033","true","3","7"
"6","A6","false","JG074D.006","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"6","A6","false","JG074D.006","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.2021417290384386","","","10.133718327935831","0.44471041357808544","10.133718327935831","","true","0.03999999910593033","true","3","7"
"7","A7","false","JG074D.007","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","0.585272443805572","","","21.5392115560043","0.1491882971606852","21.5392115560043","","true","0.03999999910593033","true","3","14"
"7","A7","false","JG074D.007","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.2021392289835613","","","10.19958848528939","0.4561012385050318","10.19958848528939","","true","0.03999999910593033","true","3","7"
"8","A8","false","JG074D.008","FAM","UNKNOWN","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"8","A8","false","JG074D.008","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.2031354373807288","","","10.262385652883022","0.45308094206708055","10.262385652883022","","true","0.03999999910593033","true","3","7"
"9","A9","false","JG074D.009","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","0.5716367426476812","","","22.428228496102587","0.1488643812332038","22.428228496102587","","true","0.03999999910593033","true","3","15"
"9","A9","false","JG074D.009","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","1.2060408111435303","","","10.296495294102737","0.45502743108734006","10.296495294102737","","true","0.03999999910593033","true","3","7"
"10","A10","false","JG074D.010","FAM","UNKNOWN","FAM","NFQ-MGB","Inconclusive","0.8951626716194335","","","12.77520353560619","0.284710881546942","12.77520353560619","","true","0.03999999910593033","true","3","9"
