,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.5,S057.3.2,S057.4.2,log$_{1}$$_{0}$ S036.5,log$_{1}$$_{0}$ S057.3.2,log$_{1}$$_{0}$ S057.4.2,FAM-HEX
0,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,50,0.1264101223634836,-0.023440672,100000000,100,100,8,2,2,-0.420253915
2,JG071B,25,FAM,#NAME?,FALSE,B1,0,FAM,JG071B.000,UNKNOWN,,inf,44,50,0.12988482027174045,-0.014054426,100000000,100,100,8,2,2,-0.394143057
4,JG071B,2,FAM,#NAME?,FALSE,A2,0,FAM,JG071B.008,UNKNOWN,,21.563934,2,50,0.2486210704466908,0.3448072075843811,100000000,100,10000,8,2,4,-0.379550855
6,JG071B,26,FAM,#NAME?,FALSE,B2,0,FAM,JG071B.008,UNKNOWN,,29.045387,46,50,0.1579010439994717,0.20495812594890594,100000000,100,10000,8,2,4,-0.456656624
8,JG071B,3,FAM,#NAME?,FALSE,A3,0,FAM,JG071B.016,UNKNOWN,,20.169268,4,50,0.24769377212862304,0.3494285047054291,100000000,100,100000,8,2,5,-0.441446637
10,JG071B,27,FAM,#NAME?,FALSE,B3,0,FAM,JG071B.016,UNKNOWN,,26.867071,48,50,0.15235810367576433,0.20020203292369843,100000000,100,100000,8,2,5,-0.531683216
12,JG071B,4,FAM,#NAME?,FALSE,A4,0,FAM,JG071B.024,UNKNOWN,,23.047443,6,50,0.13550580523634687,0.1669033020734787,100000000,100,1000000,8,2,6,-0.599491409
14,JG071B,28,FAM,#NAME?,FALSE,B4,0,FAM,JG071B.024,UNKNOWN,,inf,50,50,0.051237097554711945,-0.011557321,100000000,100,1000000,8,2,6,-0.734886736
16,JG071B,5,FAM,#NAME?,FALSE,A5,0,FAM,JG071B.032,UNKNOWN,,inf,8,50,0.017185794763378524,-0.00523322,100000000,100,100000000,8,2,8,-0.840186686
18,JG071B,29,FAM,#NAME?,FALSE,B5,0,FAM,JG071B.032,UNKNOWN,,inf,52,50,-0.002680312,-0.005167099,100000000,100,100000000,8,2,8,-0.903799935
20,JG071B,6,FAM,#NAME?,FALSE,A6,0,FAM,JG071B.040,UNKNOWN,,39.449142,10,50,0.12372657583423197,0.13288450241088867,100000000,10000,100,8,4,2,-0.398785425
22,JG071B,30,FAM,#NAME?,FALSE,B6,0,FAM,JG071B.040,UNKNOWN,,45.83303,54,50,0.09200879,0.076540343,100000000,10000,100,8,4,2,-0.370632264
24,JG071B,7,FAM,#NAME?,FALSE,A7,0,FAM,JG071B.048,UNKNOWN,,27.707798,12,50,0.12159949125751927,0.15546894073486328,100000000,10000,10000,8,4,4,-0.483301025
26,JG071B,31,FAM,#NAME?,FALSE,B7,0,FAM,JG071B.048,UNKNOWN,,inf,56,50,0.08876458,-0.01017044,100000000,10000,10000,8,4,4,-0.501209733
28,JG071B,8,FAM,#NAME?,FALSE,A8,0,FAM,JG071B.056,UNKNOWN,,22.46433,14,50,0.20938078390251572,0.2858116626739502,100000000,10000,100000,8,4,5,-0.625329787
30,JG071B,32,FAM,#NAME?,FALSE,B8,0,FAM,JG071B.056,UNKNOWN,,27.224924,58,50,0.14386590651336828,0.1936808079481125,100000000,10000,100000,8,4,5,-0.612455199
32,JG071B,9,FAM,#NAME?,FALSE,A9,0,FAM,JG071B.064,UNKNOWN,,inf,16,50,0.067581681,-0.007081601,100000000,10000,1000000,8,4,6,-0.67635719
34,JG071B,33,FAM,#NAME?,FALSE,B9,0,FAM,JG071B.064,UNKNOWN,,inf,60,50,0.034888519,-0.004262357,100000000,10000,1000000,8,4,6,-0.698047471
36,JG071B,10,FAM,#NAME?,FALSE,A10,0,FAM,JG071B.072,UNKNOWN,,inf,18,50,0.017443692846227554,-0.003733338,100000000,10000,100000000,8,4,8,-0.894146526
38,JG071B,34,FAM,#NAME?,FALSE,B10,0,FAM,JG071B.072,UNKNOWN,,inf,62,50,-0.010503425,-0.002497258,100000000,10000,100000000,8,4,8,-0.927026719
40,JG071B,11,FAM,#NAME?,FALSE,A11,0,FAM,JG071B.080,UNKNOWN,,25.603233,20,50,0.24187555179080866,0.3397068679332733,100000000,100000,100,8,5,2,-0.218452526
42,JG071B,35,FAM,#NAME?,FALSE,B11,0,FAM,JG071B.080,UNKNOWN,,inf,64,50,0.087179737,-0.025759069,100000000,100000,100,8,5,2,-0.276042414
44,JG071B,12,FAM,#NAME?,FALSE,A12,0,FAM,JG071B.088,UNKNOWN,,26.908028,22,50,0.1338881212546447,0.17436735332012177,100000000,100000,10000,8,5,4,-0.48525786
46,JG071B,36,FAM,#NAME?,FALSE,B12,0,FAM,JG071B.088,UNKNOWN,,inf,66,50,0.047296936,-0.009967105,100000000,100000,10000,8,5,4,-0.487084319
48,JG071B,13,FAM,#NAME?,FALSE,A13,0,FAM,JG071B.096,UNKNOWN,,24.328323,24,50,0.16526334285668134,0.22420738637447357,100000000,100000,100000,8,5,5,-0.642128628
50,JG071B,37,FAM,#NAME?,FALSE,B13,0,FAM,JG071B.096,UNKNOWN,,25.2247,68,50,0.1625568253975508,0.21121442317962646,100000000,100000,100000,8,5,5,-0.637403291
52,JG071B,14,FAM,#NAME?,FALSE,A14,0,FAM,JG071B.104,UNKNOWN,,24.148531,26,50,0.1488043144022573,0.19611048698425293,100000000,100000,1000000,8,5,6,-0.697420221
54,JG071B,38,FAM,#NAME?,FALSE,B14,0,FAM,JG071B.104,UNKNOWN,,25.442759,70,50,0.13588621130654566,0.1669672131538391,100000000,100000,1000000,8,5,6,-0.719554611
56,JG071B,15,FAM,#NAME?,FALSE,A15,0,FAM,JG071B.112,UNKNOWN,,inf,28,50,0.06484261,-0.000609107,100000000,100000,100000000,8,5,8,-0.904521091
58,JG071B,39,FAM,#NAME?,FALSE,B15,0,FAM,JG071B.112,UNKNOWN,,30.140648,72,50,0.065134585,0.10417766869068146,100000000,100000,100000000,8,5,8,-0.934865415
60,JG071B,16,FAM,#NAME?,FALSE,A16,0,FAM,JG071B.120,UNKNOWN,,20.466211,30,50,0.3789346620032586,0.5388422608375549,100000000,1000000,100,8,6,2,-0.105842821
62,JG071B,40,FAM,#NAME?,FALSE,B16,0,FAM,JG071B.120,UNKNOWN,,20.940807,74,50,0.3758895565065796,0.5448151230812073,100000000,1000000,100,8,6,2,-0.083487459
64,JG071B,17,FAM,#NAME?,FALSE,A17,0,FAM,JG071B.128,UNKNOWN,,22.250334,32,50,0.21673049659681531,0.30168959498405457,100000000,1000000,10000,8,6,4,-0.40532983
66,JG071B,41,FAM,#NAME?,FALSE,B17,0,FAM,JG071B.128,UNKNOWN,,24.747463,76,50,0.18972339883297681,0.2560027241706848,100000000,1000000,10000,8,6,4,-0.439151681
68,JG071B,18,FAM,#NAME?,FALSE,A18,0,FAM,JG071B.136,UNKNOWN,,21.292336,34,50,0.17888191194752448,0.2439158707857132,100000000,1000000,100000,8,6,5,-0.424809395
70,JG071B,42,FAM,#NAME?,FALSE,B18,0,FAM,JG071B.136,UNKNOWN,,23.567362,78,50,0.1505074489331874,0.1973353624343872,100000000,1000000,100000,8,6,5,-0.459245852
72,JG071B,19,FAM,#NAME?,FALSE,A19,0,FAM,JG071B.144,UNKNOWN,,20.467577,36,50,0.22491567240528015,0.30895212292671204,100000000,1000000,1000000,8,6,6,-0.588976274
74,JG071B,43,FAM,#NAME?,FALSE,B19,0,FAM,JG071B.144,UNKNOWN,,21.798693,80,50,0.19946195481674492,0.27303990721702576,100000000,1000000,1000000,8,6,6,-0.615993474
76,JG071B,20,FAM,#NAME?,FALSE,A20,0,FAM,JG071B.152,UNKNOWN,,23.237862,38,50,0.10376064238184181,0.14361654222011566,100000000,1000000,100000000,8,6,8,-0.687488089
78,JG071B,44,FAM,#NAME?,FALSE,B20,0,FAM,JG071B.152,UNKNOWN,,25.179646,82,50,0.091949576,0.11817462742328644,100000000,1000000,100000000,8,6,8,-0.696223577
80,JG071B,22,FAM,#NAME?,FALSE,A22,0,FAM,JG071B.168,UNKNOWN,,11.105129,40,50,0.6347353688112147,0.870797336,100000000,100000000,10000,8,8,4,0.15231890055952496
82,JG071B,46,FAM,#NAME?,FALSE,B22,0,FAM,JG071B.168,UNKNOWN,,11.823104,84,50,0.6319715750322324,0.8613866567611694,100000000,100000000,10000,8,8,4,0.1412178221774853
84,JG071B,23,FAM,#NAME?,FALSE,A23,0,FAM,JG071B.176,UNKNOWN,,11.554731,42,50,0.586409106,0.8189533948898315,100000000,100000000,100000,8,8,5,-0.039268055
86,JG071B,47,FAM,#NAME?,FALSE,B23,0,FAM,JG071B.176,UNKNOWN,,12.279628,86,50,0.5697617510072636,0.7472864389419556,100000000,100000000,100000,8,8,5,-0.02538142
88,JG071B,49,FAM,#NAME?,FALSE,C1,0,FAM,JG071B.001,UNKNOWN,,25.707699,88,50,0.24655313125382172,0.35325905680656433,10000000,100,100,7,2,2,-0.234100116
90,JG071B,73,FAM,#NAME?,FALSE,D1,0,FAM,JG071B.001,UNKNOWN,,27.486593,132,50,0.16909066073066498,0.22412891685962677,10000000,100,100,7,2,2,-0.365276403
92,JG071B,50,FAM,#NAME?,FALSE,C2,0,FAM,JG071B.009,UNKNOWN,,25.682966,90,50,0.21565742584206007,0.2990638315677643,10000000,100,10000,7,2,4,-0.369368512
