,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.5,S057.3.2,S057.4.2,log$_{1}$$_{0}$ S036.5,log$_{1}$$_{0}$ S057.3.2,log$_{1}$$_{0}$ S057.4.2
0,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,1,-0.00403369,0.093460239,100000000,100,100,8,2,2
1,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,1,0.002848239,-0.001451369,100000000,100,100,8,2,2
2,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,2,-0.003472694,0.087847792,100000000,100,100,8,2,2
3,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,2,0.003531119,-0.002221985,100000000,100,100,8,2,2
4,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,3,-0.00228053,0.083204642,100000000,100,100,8,2,2
5,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,3,0.002717323,-0.001649173,100000000,100,100,8,2,2
6,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,4,-0.002193396,0.076864481,100000000,100,100,8,2,2
7,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,4,0.000811235,-9.59E-05,100000000,100,100,8,2,2
8,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,5,-0.001773988,0.071034603,100000000,100,100,8,2,2
9,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,5,0.000280386,0.000222929,100000000,100,100,8,2,2
10,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,6,-0.000163522,0.067033835,100000000,100,100,8,2,2
11,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,6,-0.00019646,0.000493293,100000000,100,100,8,2,2
12,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,7,0.001085464,0.062477946281433105,100000000,100,100,8,2,2
13,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,7,-0.000472252,0.000583188,100000000,100,100,8,2,2
14,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,8,0.001435572,0.05654164,100000000,100,100,8,2,2
15,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,8,-0.000325931,0.000294192,100000000,100,100,8,2,2
16,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,9,0.0018308,0.050674625,100000000,100,100,8,2,2
17,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,9,-0.000856049,0.000612374,100000000,100,100,8,2,2
18,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,10,0.002059599,0.044552024,100000000,100,100,8,2,2
19,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,10,-0.001958253,0.001444065,100000000,100,100,8,2,2
20,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,11,0.003444759,0.040205259,100000000,100,100,8,2,2
21,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,11,-0.00197507,0.001301502,100000000,100,100,8,2,2
22,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,12,0.003660712,0.034062929,100000000,100,100,8,2,2
23,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,12,-0.00214762,0.001298728,100000000,100,100,8,2,2
24,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,13,0.003471074,0.027297731,100000000,100,100,8,2,2
25,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,13,-0.001544707,0.00059989,100000000,100,100,8,2,2
