# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_5\data\JG071B Tripartite sweep GBP6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-02-14 12:19:33 PM EST
# Run End Date/Time: 2022-02-14 02:15:46 PM EST
# Run Duration: 116 minutes 12 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:46:39 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:46:51 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","FAM","0.29644912481307983","0.0934654837425116","JG071B.000","false"
"1","A1","2","FAM","0.2973107099533081","0.08785273541393399","JG071B.000","false"
"1","A1","3","FAM","0.2991415858268738","0.08320927781869378","JG071B.000","false"
"1","A1","4","FAM","0.2992754280567169","0.07686878657973101","JG071B.000","false"
"1","A1","5","FAM","0.29991957545280457","0.07103860050701277","JG071B.000","false"
"1","A1","6","FAM","0.302392840385437","0.06703753197083934","JG071B.000","false"
"1","A1","7","FAM","0.304311066865921","0.06248142498251747","JG071B.000","false"
"1","A1","8","FAM","0.304848849773407","0.05654487442119752","JG071B.000","false"
"1","A1","9","FAM","0.3054558336734772","0.05067752485246183","JG071B.000","false"
"1","A1","10","FAM","0.3058071732521057","0.04455453096228449","JG071B.000","false"
"1","A1","11","FAM","0.3079344928264618","0.04020751706783469","JG071B.000","false"
"1","A1","12","FAM","0.30826613306999207","0.03406482384255908","JG071B.000","false"
"1","A1","13","FAM","0.3079748749732971","0.02729923227705825","JG071B.000","false"
"1","A1","14","FAM","0.3087291717529297","0.021579195587884938","JG071B.000","false"
"1","A1","15","FAM","0.3089337944984436","0.015309484864592972","JG071B.000","false"
"1","A1","16","FAM","0.3090633749961853","0.00896473189352879","JG071B.000","false"
"1","A1","17","FAM","0.30979153513908386","0.003218558567621467","JG071B.000","false"
"1","A1","18","FAM","0.3097551763057709","-0.003292133734497403","JG071B.000","false"
"1","A1","19","FAM","0.311398983001709","-0.008122660507365174","JG071B.000","false"
"1","A1","20","FAM","0.31166163086891174","-0.014334346108968297","JG071B.000","false"
"1","A1","21","FAM","0.31223687529563904","-0.020233435151046884","JG071B.000","false"
"1","A1","22","FAM","0.314748615026474","-0.024196028889017805","JG071B.000","false"
"1","A1","23","FAM","0.3175056576728821","-0.02791331971141566","JG071B.000","false"
"1","A1","24","FAM","0.3203936219215393","-0.03149968893156432","JG071B.000","false"
"1","A1","25","FAM","0.3222936689853668","-0.036073975336542684","JG071B.000","false"
"1","A1","26","FAM","0.3254987895488739","-0.039343188241841485","JG071B.000","false"
"1","A1","27","FAM","0.32987987995147705","-0.04143643130804422","JG071B.000","false"
"1","A1","28","FAM","0.3350508511066437","-0.042739793621683474","JG071B.000","false"
"1","A1","29","FAM","0.34107524156570435","-0.04318973663142874","JG071B.000","false"
"1","A1","30","FAM","0.34678423404693604","-0.043955077619002934","JG071B.000","false"
"1","A1","31","FAM","0.3537715673446655","-0.043442077790079324","JG071B.000","false"
"1","A1","32","FAM","0.3617578446865082","-0.041930133917042554","JG071B.000","false"
"1","A1","33","FAM","0.3688547611236572","-0.04130755094869939","JG071B.000","false"
