Variation,Probe,lg10_Copies,Well,WellName,Sample,MasterMix,Target,PrimerPair,Fluorophore,Quencher,Intermediate
1,TET_Z_IBFQ,8,1,A1,JG076E_001,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,IBFQ,Z
2,TET_Z_IBFQ,8,2,A2,JG076E_002,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,IBFQ,Z
3,TET_Z_IBFQ,8,3,A3,JG076E_003,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,IBFQ,Z
4,TET_Z_IBFQ,8,4,A4,JG076E_004,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,IBFQ,Z
5,TET_Z_IBFQ,8,5,A5,JG076E_005,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,IBFQ,Z
6,TET_Z_IBFQ,8,6,A6,JG076E_006,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,IBFQ,Z
7,TET_Z_IBFQ,8,7,A7,JG076E_007,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,IBFQ,Z
9,TET_Z_IBFQ,8,8,A8,JG076E_008,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,IBFQ,Z
1,TET_BHQ1,8,9,A9,JG076E_009,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,BHQ1,None
2,TET_BHQ1,8,10,A10,JG076E_010,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,BHQ1,None
3,TET_BHQ1,8,11,A11,JG076E_011,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,BHQ1,None
4,TET_BHQ1,8,12,A12,JG076E_012,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,BHQ1,None
5,TET_BHQ1,8,13,A13,JG076E_013,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,BHQ1,None
6,TET_BHQ1,8,14,A14,JG076E_014,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,BHQ1,None
