# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076E_FP004-RP004x_Set_I.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 10:55:32 AM EDT
# Run End Date/Time: 2022-07-20 12:51:31 PM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:32:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:32:41 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"JG076E_001","S056.4.1_TET_Z_IBFQ","1","-","0","8.407192971717217","","",
"JG076E_002","S056.4.2_TET_Z_IBFQ","1","-","0","10.475284412099517","","",
"JG076E_003","S056.4.3_TET_Z_IBFQ","1","-","0","70.95232129640902","","",
"JG076E_004","S056.4.4_TET_Z_IBFQ","1","-","0","9.785776745609157","","",
"JG076E_005","S056.4.5_TET_Z_IBFQ","1","-","0","9.23865264750565","","",
"JG076E_006","S056.4.6_TET_Z_IBFQ","1","-","0","57.25908915233735","","",
"JG076E_007","S056.4.7_TET_Z_IBFQ","1","-","0","12.59548663972938","","",
"JG076E_008","S056.4.9_TET_Z_IBFQ","1","-","0","8.275675391008477","","",
"JG076E_009","S056.4.1_TET_BHQ1","1","-","0","7.8551699522062535","","",
"JG076E_010","S056.4.2_TET_BHQ1","1","-","0","10.379560490786071","","",
"JG076E_011","S056.4.3_TET_BHQ1","1","-","0","78.53085785721967","","",
"JG076E_012","S056.4.4_TET_BHQ1","1","-","0","10.000529933900197","","",
"JG076E_013","S056.4.5_TET_BHQ1","1","-","0","10.096260234362038","","",
"JG076E_014","S056.4.6_TET_BHQ1","1","-","0","9.895379869987845","","",
"JG076E_015","S056.4.7_TET_BHQ1","1","-","0","12.719335779002208","","",
"JG076E_016","S056.4.9_TET_BHQ1","1","-","0","8.317538693290047","","",
"JG076E_017","S056.4.1_SUN_Z_IBFQ","1","-","0","8.27898636187932","","",
"JG076E_018","S056.4.2_SUN_Z_IBFQ","1","-","0","10.497509369313747","","",
"JG076E_019","S056.4.3_SUN_Z_IBFQ","1","-","0","70.95151966198682","","",
"JG076E_020","S056.4.4_SUN_Z_IBFQ","1","-","0","9.78998779125452","","",
"JG076E_021","S056.4.5_SUN_Z_IBFQ","1","-","0","9.669269304513005","","",
"JG076E_022","S056.4.6_SUN_Z_IBFQ","1","-","0","9.479750830013911","","",
"JG076E_023","S056.4.7_SUN_Z_IBFQ","1","-","0","12.790512971621531","","",
"JG076E_024","S056.4.9_SUN_Z_IBFQ","1","-","0","8.308081624425542","","",
"JG076E_025","S056.4.1_TET_Z_IBFQ","1","-","0","11.557381037007286","","",
"JG076E_026","S056.4.2_TET_Z_IBFQ","1","-","0","13.626026081009584","","",
"JG076E_027","S056.4.3_TET_Z_IBFQ","1","-","0","13.631614486408289","","",
"JG076E_028","S056.4.4_TET_Z_IBFQ","1","-","0","12.76428824742753","","",
"JG076E_029","S056.4.5_TET_Z_IBFQ","1","-","0","12.394936821372422","","",
"JG076E_030","S056.4.6_TET_Z_IBFQ","1","-","0","64.64996557322607","","",
"JG076E_031","S056.4.7_TET_Z_IBFQ","1","-","0","16.00880048186289","","",
"JG076E_032","S056.4.9_TET_Z_IBFQ","1","-","0","11.712140146771333","","",
"JG076E_033","S056.4.1_TET_BHQ1","1","-","0","11.593810366055468","","",
"JG076E_034","S056.4.2_TET_BHQ1","1","-","0","13.046713955754491","","",
"JG076E_035","S056.4.3_TET_BHQ1","1","-","0","82.7448790912253","","",
"JG076E_036","S056.4.4_TET_BHQ1","1","-","0","13.003603809667283","","",
"JG076E_037","S056.4.5_TET_BHQ1","1","-","0","12.712089347323623","","",
"JG076E_038","S056.4.6_TET_BHQ1","1","-","0","12.361861111987565","","",
"JG076E_039","S056.4.7_TET_BHQ1","1","-","0","16.108427739995108","","",
"JG076E_040","S056.4.9_TET_BHQ1","1","-","0","11.845132667409416","","",
"JG076E_041","S056.4.1_SUN_Z_IBFQ","1","-","0","11.576464613812291","","",
"JG076E_042","S056.4.2_SUN_Z_IBFQ","1","-","0","13.414399976346473","","",
"JG076E_043","S056.4.3_SUN_Z_IBFQ","1","-","0","13.87862990707304","","",
"JG076E_044","S056.4.4_SUN_Z_IBFQ","1","-","0","12.975481640028505","","",
"JG076E_045","S056.4.5_SUN_Z_IBFQ","1","-","0","12.94425450896276","","",
"JG076E_046","S056.4.6_SUN_Z_IBFQ","1","-","0","12.481160081962432","","",
