# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076F_FP004-RP004x_Set_II.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 01:29:11 PM EDT
# Run End Date/Time: 2022-07-20 03:24:46 PM EDT
# Run Duration: 115 minutes 35 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:12:51 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:13:20 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","JG076F_001","","S056.4.1_FAM_Z_IBFQ","FAM","UNKNOWN","FAM","None","Inconclusive","8.213048429017027","8.213048429017027","0.38954513010526043","","","0.0","true","0.12676828431040083","true","3","4","","","","","","","","","","","false"
"2","A2","JG076F_002","","S056.4.2_FAM_Z_IBFQ","FAM","UNKNOWN","FAM","None","Amp","10.46980918147392","10.46980918147392","0.38188431283119423","","","0.0","true","0.07234478356175726","true","3","7","","","","","","","","","","","false"
"3","A3","JG076F_003","","S056.4.3_FAM_Z_IBFQ","FAM","UNKNOWN","FAM","None","Amp","75.50437608335848","75.50437608335848","0.11993676419379112","","","0.0","true","0.05316975042695796","true","3","60","","","","","","","","","","","false"
"4","A4","JG076F_004","","S056.4.4_FAM_Z_IBFQ","FAM","UNKNOWN","FAM","None","Amp","9.944185115288203","9.944185115288203","0.3503722949282278","","","0.0","true","0.10694874207355146","true","3","6","","","","","","","","","","","false"
"5","A5","JG076F_005","","S056.4.5_FAM_Z_IBFQ","FAM","UNKNOWN","FAM","None","Amp","9.39047012550087","9.39047012550087","0.20050518856937052","","","0.0","true","0.041324342917587395","true","3","6","","","","","","","","","","","false"
"6","A6","JG076F_006","","S056.4.6_FAM_Z_IBFQ","FAM","UNKNOWN","FAM","None","Amp","9.62684401718424","9.62684401718424","0.43378093511083715","","","0.0","true","0.06635196072990772","true","3","6","","","","","","","","","","","false"
"7","A7","JG076F_007","","S056.4.7_FAM_Z_IBFQ","FAM","UNKNOWN","FAM","None","Amp","12.673103797460584","12.673103797460584","0.6421307658939978","","","0.0","true","0.08077094586740298","true","3","8","","","","","","","","","","","false"
"8","A8","JG076F_008","","S056.4.9_FAM_Z_IBFQ","FAM","UNKNOWN","FAM","None","Amp","8.045482858073576","8.045482858073576","0.7867147308753065","","","0.0","true","0.07554946638734998","true","3","5","","","","","","","","","","","false"
"9","A9","JG076F_009","","S056.4.1_FAM_BHQ1","FAM","UNKNOWN","FAM","None","Amp","8.024186117220369","8.024186117220369","0.36932246055001144","","","0.0","true","0.12439245259013769","true","3","4","","","","","","","","","","","false"
"10","A10","JG076F_010","","S056.4.2_FAM_BHQ1","FAM","UNKNOWN","FAM","None","Amp","10.424168997766342","10.424168997766342","0.3471908830624708","","","0.0","true","0.08196595339027515","true","3","6","","","","","","","","","","","false"
