# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076E_FP004-RP004x_Set_I.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 10:55:32 AM EDT
# Run End Date/Time: 2022-07-20 12:51:31 PM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:32:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:32:41 PM EDT
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","S056.4.1_TET_Z_IBFQ","0.5809816718101501","-0.005460470914840698","JG076E_001","false"
"1","A1","2","S056.4.1_TET_Z_IBFQ","0.5812149047851562","-0.005227237939834595","JG076E_001","false"
"1","A1","3","S056.4.1_TET_Z_IBFQ","0.58416748046875","-0.0022746622562408447","JG076E_001","false"
"1","A1","4","S056.4.1_TET_Z_IBFQ","0.5887168049812317","0.0022746622562408447","JG076E_001","false"
"1","A1","5","S056.4.1_TET_Z_IBFQ","0.5973091721534729","0.010867029428482056","JG076E_001","false"
"1","A1","6","S056.4.1_TET_Z_IBFQ","0.613394021987915","0.026951879262924194","JG076E_001","false"
"1","A1","7","S056.4.1_TET_Z_IBFQ","0.640996515750885","0.054554373025894165","JG076E_001","false"
"1","A1","8","S056.4.1_TET_Z_IBFQ","0.6928665637969971","0.10642442107200623","JG076E_001","false"
"1","A1","9","S056.4.1_TET_Z_IBFQ","0.7862619757652283","0.19981983304023743","JG076E_001","false"
"1","A1","10","S056.4.1_TET_Z_IBFQ","0.9318408966064453","0.34539875388145447","JG076E_001","false"
"1","A1","11","S056.4.1_TET_Z_IBFQ","1.121666669845581","0.5352245271205902","JG076E_001","false"
"1","A1","12","S056.4.1_TET_Z_IBFQ","1.32412588596344","0.7376837432384491","JG076E_001","false"
"1","A1","13","S056.4.1_TET_Z_IBFQ","1.5108155012130737","0.9243733584880829","JG076E_001","false"
"1","A1","14","S056.4.1_TET_Z_IBFQ","1.65108060836792","1.064638465642929","JG076E_001","false"
"1","A1","15","S056.4.1_TET_Z_IBFQ","1.7422904968261719","1.155848354101181","JG076E_001","false"
"1","A1","16","S056.4.1_TET_Z_IBFQ","1.8035609722137451","1.2171188294887543","JG076E_001","false"
"1","A1","17","S056.4.1_TET_Z_IBFQ","1.8404107093811035","1.2539685666561127","JG076E_001","false"
"1","A1","18","S056.4.1_TET_Z_IBFQ","1.8661085367202759","1.279666393995285","JG076E_001","false"
"1","A1","19","S056.4.1_TET_Z_IBFQ","1.8836418390274048","1.297199696302414","JG076E_001","false"
"1","A1","20","S056.4.1_TET_Z_IBFQ","1.895329475402832","1.3088873326778412","JG076E_001","false"
"1","A1","21","S056.4.1_TET_Z_IBFQ","1.9053136110305786","1.3188714683055878","JG076E_001","false"
"1","A1","22","S056.4.1_TET_Z_IBFQ","1.9152871370315552","1.3288449943065643","JG076E_001","false"
"1","A1","23","S056.4.1_TET_Z_IBFQ","1.9238078594207764","1.3373657166957855","JG076E_001","false"
"1","A1","24","S056.4.1_TET_Z_IBFQ","1.932588815689087","1.346146672964096","JG076E_001","false"
"1","A1","25","S056.4.1_TET_Z_IBFQ","1.9435856342315674","1.3571434915065765","JG076E_001","false"
"1","A1","26","S056.4.1_TET_Z_IBFQ","1.9481775760650635","1.3617354333400726","JG076E_001","false"
"1","A1","27","S056.4.1_TET_Z_IBFQ","1.9535832405090332","1.3671410977840424","JG076E_001","false"
"1","A1","28","S056.4.1_TET_Z_IBFQ","1.9621505737304688","1.375708431005478","JG076E_001","false"
"1","A1","29","S056.4.1_TET_Z_IBFQ","1.970402479171753","1.383960336446762","JG076E_001","false"
"1","A1","30","S056.4.1_TET_Z_IBFQ","1.977363109588623","1.3909209668636322","JG076E_001","false"
"1","A1","31","S056.4.1_TET_Z_IBFQ","1.9827067852020264","1.3962646424770355","JG076E_001","false"
"1","A1","32","S056.4.1_TET_Z_IBFQ","1.986899971961975","1.4004578292369843","JG076E_001","false"
"1","A1","33","S056.4.1_TET_Z_IBFQ","1.9956088066101074","1.4091666638851166","JG076E_001","false"
"1","A1","34","S056.4.1_TET_Z_IBFQ","2.0029091835021973","1.4164670407772064","JG076E_001","false"
"1","A1","35","S056.4.1_TET_Z_IBFQ","2.010549306869507","1.424107164144516","JG076E_001","false"
"1","A1","36","S056.4.1_TET_Z_IBFQ","2.0148355960845947","1.4283934533596039","JG076E_001","false"
"1","A1","37","S056.4.1_TET_Z_IBFQ","2.0222761631011963","1.4358340203762054","JG076E_001","false"
"1","A1","38","S056.4.1_TET_Z_IBFQ","2.031182289123535","1.4447401463985443","JG076E_001","false"
"1","A1","39","S056.4.1_TET_Z_IBFQ","2.03851580619812","1.4520736634731293","JG076E_001","false"
