# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076E_FP004-RP004x_Set_I.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 10:55:32 AM EDT
# Run End Date/Time: 2022-07-20 12:51:31 PM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:32:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:32:41 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","JG076E_001","","S056.4.1_TET_Z_IBFQ","TET","UNKNOWN","TET","None","Inconclusive","8.407192971717217","8.407192971717217","0.26414649191235007","","","0.0","true","0.14194366625141502","true","3","4","","","","","","","","","","","false"
"2","A2","JG076E_002","","S056.4.2_TET_Z_IBFQ","TET","UNKNOWN","TET","None","Amp","10.475284412099517","10.475284412099517","0.3526721341538745","","","0.0","true","0.09367009197194755","true","3","6","","","","","","","","","","","false"
"3","A3","JG076E_003","","S056.4.3_TET_Z_IBFQ","TET","UNKNOWN","TET","None","Inconclusive","70.95232129640902","70.95232129640902","0.15734763831294094","","","0.0","true","0.0779531845253233","true","3","60","","","","","","","","","","","false"
"4","A4","JG076E_004","","S056.4.4_TET_Z_IBFQ","TET","UNKNOWN","TET","None","Inconclusive","9.785776745609157","9.785776745609157","0.3062286815023393","","","0.0","true","0.11746512035441736","true","3","6","","","","","","","","","","","false"
"5","A5","JG076E_005","","S056.4.5_TET_Z_IBFQ","TET","UNKNOWN","TET","None","Inconclusive","9.23865264750565","9.23865264750565","0.16615896501127425","","","0.0","true","0.048358725337941055","true","3","6","","","","","","","","","","","false"
"6","A6","JG076E_006","","S056.4.6_TET_Z_IBFQ","TET","UNKNOWN","TET","None","Inconclusive","57.25908915233735","57.25908915233735","0.13550011542327953","","","0.0","true","0.09648019774541308","true","3","47","","","","","","","","","","","false"
"7","A7","JG076E_007","","S056.4.7_TET_Z_IBFQ","TET","UNKNOWN","TET","None","Amp","12.59548663972938","12.59548663972938","0.4587493355242233","","","0.0","true","0.10514987811860455","true","3","8","","","","","","","","","","","false"
"8","A8","JG076E_008","","S056.4.9_TET_Z_IBFQ","TET","UNKNOWN","TET","None","Inconclusive","8.275675391008477","8.275675391008477","0.22907092150188282","","","0.0","true","0.11579990586355626","true","3","4","","","","","","","","","","","false"
"9","A9","JG076E_009","","S056.4.1_TET_BHQ1","TET","UNKNOWN","TET","None","Amp","7.8551699522062535","7.8551699522062535","0.5844733322723885","","","0.0","true","0.10899412667020891","true","3","4","","","","","","","","","","","false"
"10","A10","JG076E_010","","S056.4.2_TET_BHQ1","TET","UNKNOWN","TET","None","Amp","10.379560490786071","10.379560490786071","0.3323779902995528","","","0.0","true","0.06432381444517808","true","3","7","","","","","","","","","","","false"
