# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076F_FP004-RP004x_Set_II.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 01:29:11 PM EDT
# Run End Date/Time: 2022-07-20 03:24:46 PM EDT
# Run Duration: 115 minutes 35 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:12:51 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:13:20 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"JG076F_001","S056.4.1_FAM_Z_IBFQ","1","-","0","8.213048429017027","","",
"JG076F_002","S056.4.2_FAM_Z_IBFQ","1","-","0","10.46980918147392","","",
"JG076F_003","S056.4.3_FAM_Z_IBFQ","1","-","0","75.50437608335848","","",
"JG076F_004","S056.4.4_FAM_Z_IBFQ","1","-","0","9.944185115288203","","",
"JG076F_005","S056.4.5_FAM_Z_IBFQ","1","-","0","9.39047012550087","","",
"JG076F_006","S056.4.6_FAM_Z_IBFQ","1","-","0","9.62684401718424","","",
"JG076F_007","S056.4.7_FAM_Z_IBFQ","1","-","0","12.673103797460584","","",
"JG076F_008","S056.4.9_FAM_Z_IBFQ","1","-","0","8.045482858073576","","",
"JG076F_009","S056.4.1_FAM_BHQ1","1","-","0","8.024186117220369","","",
"JG076F_010","S056.4.2_FAM_BHQ1","1","-","0","10.424168997766342","","",
"JG076F_011","S056.4.3_FAM_BHQ1","1","-","0","76.8550207842867","","",
"JG076F_012","S056.4.4_FAM_BHQ1","1","-","0","9.926970662151746","","",
"JG076F_013","S056.4.5_FAM_BHQ1","1","-","0","8.505218319213686","","",
"JG076F_014","S056.4.6_FAM_BHQ1","1","-","0","66.89150212370146","","",
"JG076F_015","S056.4.7_FAM_BHQ1","1","-","0","12.59272287811163","","",
"JG076F_016","S056.4.9_FAM_BHQ1","1","-","0","8.15727613400506","","",
"JG076F_017","S056.4.1_FAM_TAM","1","-","0","8.094196416494562","","",
"JG076F_018","S056.4.2_FAM_TAM","1","-","0","10.630225407692883","","",
"JG076F_019","S056.4.3_FAM_TAM","1","-","0","80.95561931990238","","",
"JG076F_020","S056.4.4_FAM_TAM","1","-","0","9.959414296150765","","",
"JG076F_021","S056.4.5_FAM_TAM","1","-","0","9.761230796993951","","",
"JG076F_022","S056.4.6_FAM_TAM","1","-","0","9.842979209383667","","",
"JG076F_023","S056.4.7_FAM_TAM","1","-","0","12.982588741595398","","",
"JG076F_024","S056.4.9_FAM_TAM","1","-","0","8.287669364259642","","",
"JG076F_025","S056.4.1_FAM_Z_IBFQ","1","-","0","11.365841098332382","","",
