# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_5\data\JG071B Tripartite sweep GBP6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-02-14 12:19:33 PM EST
# Run End Date/Time: 2022-02-14 02:15:46 PM EST
# Run Duration: 116 minutes 12 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:46:39 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:46:51 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"JG071B.000","FAM","2","-","0","","","",
"JG071B.000","HEX","2","-","0","35.729131964519496","0.05339406068377174","0.037755302384581024",
"JG071B.001","FAM","2","-","0","26.596988397655444","1.2578109420557158","0.8894066465782361",
"JG071B.001","HEX","2","-","0","35.96229397303848","0.20611436908517058","0.145744868080111",
"JG071B.002","FAM","2","-","0","25.583908984544166","0.06614108650720904","0.04676881078429357",
"JG071B.002","HEX","2","-","0","35.34307251022866","1.2265396467614895","0.8672945016192019",
"JG071B.003","FAM","2","-","0","25.320361849783154","0.03653942139940321","0.025837272652150856",
"JG071B.003","HEX","2","-","0","34.884804877571085","0.24119825669985773","0.17055292292284302",
"JG071B.004","FAM","2","-","0","25.30138318105857","0.03255432440325055","0.023019383542485165",
"JG071B.004","HEX","2","-","0","34.965110828948234","0.4713551947082421","0.33329845452570345",
"JG071B.005","FAM","2","-","0","25.29281827767967","0.036328355556808994","0.025688026563575633",
"JG071B.005","HEX","2","-","0","35.05801248191843","0.6680572297152424","0.472387797352347",
"JG071B.006","FAM","2","-","0","25.271832564230362","0.21428065539117255","0.15151930450419585",
"JG071B.006","HEX","2","-","0","34.297349956396076","0.16568012802760274","0.11715354203617326",
"JG071B.007","FAM","1","-","0","25.511560626289523","","",
"JG071B.007","HEX","1","-","0","35.141563326743906","","",
"JG071B.008","FAM","2","-","0","25.304460170720173","5.290096982846085","3.7406634497049613",
"JG071B.008","HEX","2","-","0","31.436933737494297","3.3461500051729907","2.3660853595252225",
"JG071B.009","FAM","2","-","0","26.269495570575735","0.8296910724132801","0.5866801835933692",
"JG071B.009","HEX","2","-","0","33.96858240062782","0.6831506599976523","0.4830604642564054",
"JG071B.010","FAM","2","-","0","24.384208744173442","1.5307369173390573","1.082394454463039",
"JG071B.010","HEX","2","-","0","32.539887689666486","2.4689930055175866","1.7458416969036403",
