,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.0,S057.0.1,S057.1.2,log$_{1}$$_{0}$ S036.0,log$_{1}$$_{0}$ S057.0.1,log$_{1}$$_{0}$ S057.1.2
0,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,1,-0.008398978,-0.003529055,100000000,100,100,8,2,2
1,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,1,0.002020968,0.001306805,100000000,100,100,8,2,2
2,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,2,-0.008275271,-0.002956993,100000000,100,100,8,2,2
3,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,2,0.002763386,0.000184234,100000000,100,100,8,2,2
4,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,3,-0.005538512,-0.000147016,100000000,100,100,8,2,2
5,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,3,0.002724058,-0.000314246,100000000,100,100,8,2,2
6,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,4,-0.003314502,0.002223824,100000000,100,100,8,2,2
7,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,4,-0.000145514,0.001446737,100000000,100,100,8,2,2
8,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,5,-0.000216157,0.005343477,100000000,100,100,8,2,2
9,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,5,-0.000529947,0.001223764,100000000,100,100,8,2,2
10,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,6,0.001575245,0.007343814,100000000,100,100,8,2,2
11,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,6,0.000334543,3.73945454157365e-06,100000000,100,100,8,2,2
12,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,7,0.001434243,0.007689169,100000000,100,100,8,2,2
13,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,7,-9.47E-05,-0.000183456,100000000,100,100,8,2,2
14,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,8,0.001638229,0.008329985,100000000,100,100,8,2,2
15,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,8,-0.000969874,-1.47E-05,100000000,100,100,8,2,2
16,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,9,0.001877918,0.009001377,100000000,100,100,8,2,2
