,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
196,JG034,217,GC15,8.0,False,J1,100000000.0,FAM,,STANDARD,,9.9101305,210,8.0,8.0,40,0.9456947279927783,1.4542442560195923,0.9916761672543588
198,JG034,218,GC15,8.0,False,J2,100000000.0,FAM,,STANDARD,,9.962183,212,8.0,8.0,40,0.9490604031630759,1.4770334959030151,1.0
228,JG034,241,GC15,7.0,False,K1,10000000.0,FAM,,STANDARD,,13.234612,242,7.0,7.0,40,0.9101263478584308,1.438408613204956,0.9265910388266303
230,JG034,242,GC15,7.0,False,K2,10000000.0,FAM,,STANDARD,,13.169496,244,7.0,7.0,40,0.9224834056635975,1.457931399345398,0.9578109484595141
260,JG034,265,GC15,6.0,False,L1,1000000.0,FAM,,STANDARD,,16.766438,274,6.0,6.0,40,0.8749148359639576,1.3988535404205322,0.7602446798250642
262,JG034,266,GC15,6.0,False,L2,1000000.0,FAM,,STANDARD,,16.49358,276,6.0,6.0,40,0.8853126282376081,1.4207406044006348,0.8399109572518848
290,JG034,289,GC15,5.0,False,M1,100000.0,FAM,,STANDARD,,20.458183,306,5.0,5.0,40,0.6358167421820786,1.0220623016357422,0.1507754928092102
292,JG034,290,GC15,5.0,False,M2,100000.0,FAM,,STANDARD,,20.27147,308,5.0,5.0,40,0.711833711923362,1.1387531757354736,0.32453763751833176
322,JG034,313,GC15,4.0,False,N1,10000.0,FAM,,STANDARD,,23.838604,338,4.0,4.0,40,0.3723663326491054,0.5972175002098083,-0.3809905974596479
324,JG034,314,GC15,4.0,False,N2,10000.0,FAM,,STANDARD,,23.308434,340,4.0,4.0,40,0.4603074055906822,0.7360528111457825,-0.2309773704610225
354,JG034,337,GC15,3.0,False,O1,1000.0,FAM,,STANDARD,,inf,370,3.0,3.0,40,-0.058255450881902635,-0.02558060549199581,-1.0
356,JG034,338,GC15,3.0,False,O2,1000.0,FAM,,STANDARD,,inf,372,3.0,3.0,40,-0.019794890757809033,-0.01742900162935257,-0.9877034971550039
386,JG034,361,GC15,2.0,False,P1,100.0,FAM,,STANDARD,,inf,402,2.0,2.0,40,0.02343715006921862,-0.013711757957935333,-0.9075554332827874
388,JG034,362,GC15,2.0,False,P2,100.0,FAM,,STANDARD,,inf,404,2.0,2.0,40,0.010869523372379784,-0.016824396327137947,-0.9289568250017539
