,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Primer nM,Probe nM,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
38,JG063I,20,S056.1.1,5.0,False,A20,100000,HEX,100+200 primer+probe,STANDARD,,inf,38,100,200,5.0,8.0,40,-0.04541144178900225,-0.0015219544293358922,0.5458372103387572
86,JG063I,44,S056.1.1,5.0,False,B20,100000,HEX,100+200 primer+probe,STANDARD,,inf,86,100,200,5.0,8.0,40,-0.04740333358241966,0.0003621007199399173,0.5376677293774577
134,JG063I,68,S056.1.1,5.0,False,C20,100000,HEX,100+200 primer+probe,STANDARD,,20.291727,134,100,200,5.0,7.0,40,-0.06640003533453252,0.05511859804391861,0.523128563895783
182,JG063I,92,S056.1.1,5.0,False,D20,100000,HEX,100+200 primer+probe,STANDARD,,19.322239,182,100,200,5.0,7.0,40,-0.06761725919567373,0.0586867555975914,0.5203556628514537
230,JG063I,116,S056.1.1,5.0,False,E20,100000,HEX,100+200 primer+probe,STANDARD,,18.243677,230,100,200,5.0,6.0,40,-0.17983305763946664,0.16773957014083862,0.33502612920115826
278,JG063I,140,S056.1.1,5.0,False,F20,100000,HEX,100+200 primer+probe,STANDARD,,18.160227,278,100,200,5.0,6.0,40,-0.18274353790747838,0.17174378037452698,0.3374153585825124
326,JG063I,164,S056.1.1,5.0,False,G20,100000,HEX,100+200 primer+probe,STANDARD,,18.20888,326,100,200,5.0,5.0,40,-0.3986825218393519,0.41148868203163147,-0.09952720335315657
374,JG063I,188,S056.1.1,5.0,False,H20,100000,HEX,100+200 primer+probe,STANDARD,,18.265131,374,100,200,5.0,5.0,40,-0.3949524862015932,0.41089776158332825,-0.107325560562478
422,JG063I,212,S056.1.1,5.0,False,I20,100000,HEX,100+200 primer+probe,STANDARD,,18.276617,422,100,200,5.0,4.0,40,-0.5228654915403508,0.5427197217941284,-0.44456632179001543
470,JG063I,236,S056.1.1,5.0,False,J20,100000,HEX,100+200 primer+probe,STANDARD,,18.356379,470,100,200,5.0,4.0,40,-0.5231976784316261,0.537767231464386,-0.4436692755033491
518,JG063I,260,S056.1.1,5.0,False,K20,100000,HEX,100+200 primer+probe,STANDARD,,18.342464,518,100,200,5.0,3.0,40,-0.5412077935284739,0.5600643157958984,-0.5353600822576826
564,JG063I,284,S056.1.1,5.0,False,L20,100000,HEX,100+200 primer+probe,STANDARD,,18.276434,564,100,200,5.0,3.0,40,-0.5308654503276434,0.5552518367767334,-0.5327476361391348
612,JG063I,308,S056.1.1,5.0,False,M20,100000,HEX,100+200 primer+probe,STANDARD,,18.374739,612,100,200,5.0,2.0,40,-0.545754951551183,0.5633816123008728,-0.5578632495358732
658,JG063I,332,S056.1.1,5.0,False,N20,100000,HEX,100+200 primer+probe,STANDARD,,18.271168,658,100,200,5.0,2.0,40,-0.5406356223809264,0.5642297267913818,-0.5588963635616708
