# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_4\data\JG063B Competitor concentration sweep 2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2021-09-24 11:41:26 AM EDT
# Run End Date/Time: 2021-09-24 01:36:56 PM EDT
# Run Duration: 115 minutes 29 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:47:53 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:48:10 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","S056.4.1_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"1","A1","false","S056.4.1_vs_S056.4.10","S056.4.1","STANDARD","HEX","NFQ-MGB","Amp","1.0767443320237289","","","25.303961920065568","0.9226024482409164","24.654643993480676","0.21210711534504195","true","0.03999999910593033","true","3","22"
"2","A2","false","S056.4.1_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"2","A2","false","S056.4.1_vs_S056.4.10","S056.4.1","STANDARD","HEX","NFQ-MGB","Amp","1.0867414992323283","","","18.686013802146974","0.9752831027277201","18.59275737956325","0.04357702779605243","true","0.03999999910593033","true","3","15"
"3","A3","false","S056.4.1_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"3","A3","false","S056.4.1_vs_S056.4.10","S056.4.1","STANDARD","HEX","NFQ-MGB","Amp","0.0","","","15.906581979954051","0.9559009226099197","15.92385703464029","0.02122012865497929","true","0.03999999910593033","true","3","13"
"4","A4","false","S056.4.1_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"4","A4","false","S056.4.1_vs_S056.4.10","S056.4.1","STANDARD","HEX","NFQ-MGB","Amp","1.0975701775326399","","","13.024172334144037","0.9025423140014486","13.003388047499739","0.036228529396730116","true","0.03999999910593033","true","3","10"
"5","A5","false","S056.4.1_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"5","A5","false","S056.4.1_vs_S056.4.10","S056.4.1","STANDARD","HEX","NFQ-MGB","Amp","1.1015850261451121","","","8.918261769908124","0.3965453727140284","8.903340819894447","0.044698966154942246","true","0.03999999910593033","true","3","6"
"7","A7","false","S056.4.1_vs_S056.4.12","S056.4.12","STANDARD","FAM","NFQ-MGB","Inconclusive","0.829032556062061","","","28.13146342654735","0.8551149344407987","27.792352267105787","0.47957560083435774","true","0.03999999910593033","true","3","25"
"7","A7","false","S056.4.1_vs_S056.4.12","S056.4.1","STANDARD","HEX","NFQ-MGB","Amp","1.0743690181452017","","","24.67128954088949","0.9456662449542907","24.669803630705353","0.6954303361709705","true","0.03999999910593033","true","3","22"
"8","A8","false","S056.4.1_vs_S056.4.12","S056.4.12","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"8","A8","false","S056.4.1_vs_S056.4.12","S056.4.1","STANDARD","HEX","NFQ-MGB","Amp","1.1011472081974543","","","18.57052444383322","0.9634976368502274","18.52216362400714","0.13058516363817096","true","0.03999999910593033","true","3","15"
"9","A9","false","S056.4.1_vs_S056.4.12","S056.4.12","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"9","A9","false","S056.4.1_vs_S056.4.12","S056.4.1","STANDARD","HEX","NFQ-MGB","Amp","1.104843557708244","","","15.892107095579654","0.9401295549657326","15.878834247722882","0.18046509532502053","true","0.03999999910593033","true","3","13"
"10","A10","false","S056.4.1_vs_S056.4.12","S056.4.12","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"10","A10","false","S056.4.1_vs_S056.4.12","S056.4.1","STANDARD","HEX","NFQ-MGB","Amp","1.107753931954034","","","12.982215588303212","0.8944545055869112","12.939527021332152","0.09025391181999945","true","0.03999999910593033","true","3","10"
"11","A11","false","S056.4.1_vs_S056.4.12","S056.4.12","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"11","A11","false","S056.4.1_vs_S056.4.12","S056.4.1","STANDARD","HEX","NFQ-MGB","Amp","1.1030741242723545","","","8.867468310176452","0.37426772155264687","8.85950515152332","0.1287945051087881","true","0.03999999910593033","true","3","6"
"13","A13","false","S056.4.3_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"13","A13","false","S056.4.3_vs_S056.4.10","S056.4.3","STANDARD","HEX","NFQ-MGB","Inconclusive","1.1001584702922924","","","24.348779537537368","0.9801004264811123","25.954213374480453","0.4382749343577399","true","0.03999999910593033","true","3","21"
"14","A14","false","S056.4.3_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"14","A14","false","S056.4.3_vs_S056.4.10","S056.4.3","STANDARD","HEX","NFQ-MGB","Inconclusive","0.8977252301539392","","","20.827512057917325","0.4808731640455592","20.804811849393896","0.0842625702824428","true","0.03999999910593033","true","3","17"
"15","A15","false","S056.4.3_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"15","A15","false","S056.4.3_vs_S056.4.10","S056.4.3","STANDARD","HEX","NFQ-MGB","Inconclusive","0.8884687583280765","","","18.432064191335975","0.517775534385641","18.401082957484366","0.09438762060042964","true","0.03999999910593033","true","3","15"
"16","A16","false","S056.4.3_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"16","A16","false","S056.4.3_vs_S056.4.10","S056.4.3","STANDARD","HEX","NFQ-MGB","Inconclusive","0.8997723599833578","","","15.983300699719283","0.5087761740569934","15.959185405619586","0.10479843045700163","true","0.03999999910593033","true","3","12"
"17","A17","false","S056.4.3_vs_S056.4.10","S056.4.10","STANDARD","FAM","NFQ-MGB","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","89"
"17","A17","false","S056.4.3_vs_S056.4.10","S056.4.3","STANDARD","HEX","NFQ-MGB","Inconclusive","0.9004688590228399","","","11.02757240986905","0.3061067897873791","45.35922903267443","37.8960214540864","true","0.03999999910593033","true","3","7"
"19","A19","false","S056.4.3_vs_S056.4.12","S056.4.12","STANDARD","FAM","NFQ-MGB","Amp","1.06241042442644","","","27.46532996033894","0.9573449523456207","35.855460459525034","19.510734208745795","true","0.03999999910593033","true","3","24"
"19","A19","false","S056.4.3_vs_S056.4.12","S056.4.3","STANDARD","HEX","NFQ-MGB","Inconclusive","0.8780601387424988","","","26.196177357555285","0.7285057522746381","25.91475873882809","0.30696073261124013","true","0.03999999910593033","true","3","23"
"20","A20","false","S056.4.3_vs_S056.4.12","S056.4.12","STANDARD","FAM","NFQ-MGB","Inconclusive","0.8885037723234483","","","28.542683827441014","0.6266332384870426","35.855460459525034","19.510734208745795","true","0.03999999910593033","true","3","25"
"20","A20","false","S056.4.3_vs_S056.4.12","S056.4.3","STANDARD","HEX","NFQ-MGB","Inconclusive","0.8737285068203718","","","20.808188201607084","0.551524837401138","20.672345934195747","0.7037099869419264","true","0.03999999910593033","true","3","17"
"21","A21","false","S056.4.3_vs_S056.4.12","S056.4.12","STANDARD","FAM","NFQ-MGB","Inconclusive","0.7564908551995034","","","29.313368595186148","0.5655952355488484","35.855460459525034","19.510734208745795","true","0.03999999910593033","true","3","26"
"21","A21","false","S056.4.3_vs_S056.4.12","S056.4.3","STANDARD","HEX","NFQ-MGB","Inconclusive","0.8862332493737699","","","18.434468292107837","0.5647550496310567","25.459771291683687","20.149798890933543","true","0.03999999910593033","true","3","15"
