# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_4\data\JG063I Primer Probe Sweep 5 logs.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-02-10 11:07:51 AM EST
# Run End Date/Time: 2022-02-10 01:03:51 PM EST
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:47:16 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:47:35 PM EDT
"Well","Well Position","Cycle Number","FAM","HEX","ROX"
"1","A1","1","21515.258","1140.0172","183081.52"
"1","A1","2","21597.7","1154.6792","183181.53"
"1","A1","3","21674.98","1362.1821","183596.06"
"1","A1","4","21957.266","1547.5837","183933.1"
"1","A1","5","22071.518","1509.0038","184171.53"
"1","A1","6","22318.828","1391.7396","184383.52"
"1","A1","7","22488.748","1399.3577","184644.98"
"1","A1","8","22622.908","1674.2831","185128.48"
"1","A1","9","22679.348","1752.0059","185252.77"
"1","A1","10","22611.064","1746.7512","185036.47"
"1","A1","11","22578.602","1776.7223","184942.52"
"1","A1","12","22862.76","1790.7754","185224.73"
"1","A1","13","23095.139","1683.0028","185400.47"
"1","A1","14","23447.521","1626.2589","185646.61"
"1","A1","15","23672.592","1742.7247","185837.0"
"1","A1","16","23754.785","1815.2937","185609.22"
"1","A1","17","23857.115","1631.5753","185517.25"
"1","A1","18","24379.514","1578.7567","185859.28"
"1","A1","19","24722.066","1771.727","185867.89"
"1","A1","20","25031.225","1875.3126","186020.94"
"1","A1","21","25366.994","1949.1451","186016.27"
"1","A1","22","25686.24","1954.1583","186057.86"
"1","A1","23","25998.967","2151.1025","186254.72"
"1","A1","24","26156.541","2108.1782","186302.55"
"1","A1","25","26774.168","2000.2285","186201.34"
"1","A1","26","27059.07","1944.9602","186232.39"
"1","A1","27","27213.238","2086.7915","186324.33"
"1","A1","28","27404.455","2162.6458","186247.95"
"1","A1","29","27678.781","2101.2725","186205.08"
"1","A1","30","27878.865","2061.1343","186455.47"
"1","A1","31","28204.021","2226.879","186621.77"
"1","A1","32","28388.436","2147.0273","186529.67"
"1","A1","33","28419.676","2063.7493","186461.27"
"1","A1","34","28567.594","2132.0686","186513.16"
"1","A1","35","28921.643","2092.8455","186512.78"
"1","A1","36","29213.934","2066.904","186542.97"
"1","A1","37","29118.559","2138.6487","186469.95"
"1","A1","38","29325.998","2096.6438","186565.53"
"1","A1","39","29387.887","2118.4556","186354.6"
"1","A1","40","29493.98","2095.8928","186124.97"
"1","A1","41","29662.229","2237.2937","186070.75"
"1","A1","42","29998.18","2245.7837","186340.64"
"1","A1","43","30028.266","2313.5703","186291.12"
"1","A1","44","30082.518","2316.1384","186349.23"
"1","A1","45","30296.396","2249.4211","186379.22"
"1","A1","46","30362.854","2330.8167","186359.55"
"1","A1","47","30444.434","2357.1206","186577.12"
"1","A1","48","30653.945","2061.6262","186646.14"
"1","A1","49","30973.982","1989.7228","186452.23"
"1","A1","50","30920.318","2299.0022","186255.05"
"1","A1","51","31132.35","2446.033","186208.53"
"1","A1","52","31236.564","2404.4487","186266.3"
"1","A1","53","31320.027","2239.2715","186489.17"
"1","A1","54","31513.057","2182.9375","186414.89"
"1","A1","55","31609.582","2389.327","186408.52"
"1","A1","56","31601.766","2346.8618","186333.38"
"1","A1","57","31804.154","2292.7007","186509.98"
"1","A1","58","31993.188","2307.3315","186406.06"
"1","A1","59","32183.004","2197.458","186255.6"
"1","A1","60","32307.613","2098.625","186273.25"
"1","A1","61","32515.936","2186.6978","186298.34"
"1","A1","62","32424.87","2448.0203","186239.31"
"1","A1","63","32360.547","2349.95","186504.8"
"1","A1","64","32583.072","2215.974","186535.17"
"1","A1","65","32742.566","2183.5693","186548.25"
"1","A1","66","32926.17","2298.0205","186406.28"
"1","A1","67","33097.414","2375.1313","186322.7"
"1","A1","68","33294.984","2313.4685","186220.89"
"1","A1","69","33377.22","2349.3613","186441.48"
"1","A1","70","33199.887","2394.7087","186654.89"
"1","A1","71","33392.066","2349.8188","186570.83"
"1","A1","72","33474.45","2267.7927","186599.55"
"1","A1","73","33691.92","2008.085","186438.8"
"1","A1","74","33852.01","1939.2622","186282.47"
"1","A1","75","33725.426","2192.4197","186312.67"
"1","A1","76","33981.508","2354.7866","186184.72"
"1","A1","77","34115.65","2507.3853","186174.62"
"1","A1","78","34141.363","2435.1104","186274.17"
"1","A1","79","34244.316","2306.7732","186171.5"
"1","A1","80","34552.934","2100.2505","186187.89"
"1","A1","81","34724.195","2042.3926","186116.48"
"1","A1","82","34558.5","2261.3013","185790.48"
"1","A1","83","34785.605","2258.8477","185698.48"
"1","A1","84","34946.953","2233.8723","186096.53"
"1","A1","85","34920.15","2251.933","186021.56"
"1","A1","86","35430.492","2266.0308","185932.6"
"1","A1","87","35347.645","2259.0454","186242.16"
"1","A1","88","35365.75","2207.081","186173.06"
"1","A1","89","35601.004","2387.5952","186022.5"
