# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_4\data\JG063I Primer Probe Sweep 5 logs.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-02-10 11:07:51 AM EST
# Run End Date/Time: 2022-02-10 01:03:51 PM EST
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:47:16 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:47:35 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","10+10 primer+probe","100000.0","S056.1.1","HEX","STANDARD","HEX","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","89","","","","","","","","","","","false"
"1","A1","10+10 primer+probe","1.0E8","S056.1.12","FAM","STANDARD","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","89","","","","","45.0559","0.4732421499273475","-4.4509","67.75425800022386","6.266203592962794","0.37840031242593314","false"
"2","A2","10+25 primer+probe","100000.0","S056.1.1","HEX","STANDARD","HEX","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","89","","","","","","","","","","","false"
"2","A2","10+25 primer+probe","1.0E8","S056.1.12","FAM","STANDARD","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","89","","","","","45.0559","0.4732421499273475","-4.4509","67.75425800022386","6.266203592962794","0.37840031242593314","false"
"3","A3","10+50 primer+probe","100000.0","S056.1.1","HEX","STANDARD","HEX","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","89","","","","","","","","","","","false"
"3","A3","10+50 primer+probe","1.0E8","S056.1.12","FAM","STANDARD","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","89","","","","","45.0559","0.4732421499273475","-4.4509","67.75425800022386","6.266203592962794","0.37840031242593314","false"
"4","A4","10+100 primer+probe","100000.0","S056.1.1","HEX","STANDARD","HEX","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","89","","","","","","","","","","","false"
"4","A4","10+100 primer+probe","1.0E8","S056.1.12","FAM","STANDARD","FAM","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","89","","","","","45.0559","0.4732421499273475","-4.4509","67.75425800022386","6.266203592962794","0.37840031242593314","false"
"5","A5","10+200 primer+probe","100000.0","S056.1.1","HEX","STANDARD","HEX","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","89","","","","","","","","","","","false"
"5","A5","10+200 primer+probe","1.0E8","S056.1.12","FAM","STANDARD","FAM","NFQ-MGB","Inconclusive","20.740145694465866","20.740145694465866","0.20592554835655336","","","","true","0.03999999910593033","true","3","14","","","","","45.0559","0.4732421499273475","-4.4509","67.75425800022386","6.266203592962794","0.37840031242593314","false"
"6","A6","25+10 primer+probe","100000.0","S056.1.1","HEX","STANDARD","HEX","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","89","","","","","","","","","","","false"
