,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence
0,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,1,-0.005582477,0.001464045
1,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,1,0.003241535,0.004508638
2,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,2,-0.005693519,-0.000389069
3,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,2,0.002777174,0.003962648
4,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,3,-0.004479018,0.00084936
5,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,3,0.002774314,0.002507776
6,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,4,-0.004339659,-0.000419748
7,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,4,0.003571246,-0.000522208
8,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,5,-0.003878776,-0.00093897
9,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,5,0.003706835,-0.002249741
10,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,6,-0.002904262,-0.000260258
11,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,6,0.002881226,-0.002084291
12,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,7,-0.001779183,0.000769615
13,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,7,0.000843777,0.000467759
14,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,8,0.000505631,0.004504317
15,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,8,-0.00061527,0.001880705
16,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,9,0.004598133,0.012455063872039318
17,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,9,-0.003194423,0.005499589
18,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,10,0.012277135160121636,0.028770547
19,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,10,-0.009967704,0.017378395423293114
20,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,11,0.02372893,0.053885259
21,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,11,-0.020705398,0.037064723670482635
22,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,12,0.041478981988851686,0.093689293
23,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,12,-0.038490033,0.070629314
24,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,13,0.066098986,0.1495160162448883
