,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
0,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,50,0.5845644433398427,1.2997419834136963,0.1498054880891143
2,JG074C,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074C.002,UNKNOWN,,10.68849,2,100000000,100,10000,8,2,4,50,0.6384792126347977,1.402214765548706,0.22724205327249153
4,JG074C,3,FAM,#NAME?,FALSE,A3,0,FAM,JG074C.003,UNKNOWN,,10.527065,4,100000000,100,100000,8,2,5,50,0.6169602030323234,1.340921164,0.1883940825179416
6,JG074C,4,FAM,#NAME?,FALSE,A4,0,FAM,JG074C.004,UNKNOWN,,10.795128,6,100000000,100,1000000,8,2,6,50,0.584787688,1.2620606422424316,0.11820414857465544
8,JG074C,5,FAM,#NAME?,FALSE,A5,0,FAM,JG074C.005,UNKNOWN,,11.8296,8,100000000,100,100000000,8,2,8,50,0.25318884312529727,0.48847833275794983,-0.718520523
10,JG074C,6,FAM,#NAME?,FALSE,A6,0,FAM,JG074C.006,UNKNOWN,,10.922884,10,100000000,10000,100,8,4,2,50,0.5198655049820483,1.0933237075805664,0.076158232
12,JG074C,7,FAM,#NAME?,FALSE,A7,0,FAM,JG074C.007,UNKNOWN,,10.60158,12,100000000,10000,10000,8,4,4,50,0.6118775123077724,1.3089516162872314,0.18151281436991967
14,JG074C,8,FAM,#NAME?,FALSE,A8,0,FAM,JG074C.008,UNKNOWN,,10.892655,14,100000000,10000,100000,8,4,5,50,0.5886390403723047,1.2621681690216064,0.15206455909870725
16,JG074C,9,FAM,#NAME?,FALSE,A9,0,FAM,JG074C.009,UNKNOWN,,10.935749,16,100000000,10000,1000000,8,4,6,50,0.5929378974609459,1.2297002077102661,0.11001387333902585
18,JG074C,10,FAM,#NAME?,FALSE,A10,0,FAM,JG074C.010,UNKNOWN,,11.887205,18,100000000,10000,100000000,8,4,8,50,0.2502131574248029,0.4719361662864685,-0.735714222
20,JG074C,11,FAM,#NAME?,FALSE,A11,0,FAM,JG074C.011,UNKNOWN,,10.605679,20,100000000,100000,100,8,5,2,50,0.5498689662685096,1.1696051359176636,0.10314616116211672
22,JG074C,12,FAM,#NAME?,FALSE,A12,0,FAM,JG074C.012,UNKNOWN,,10.870542,22,100000000,100000,10000,8,5,4,50,0.6102242520698238,1.2726072072982788,0.17920910244886512
24,JG074C,13,FAM,#NAME?,FALSE,A13,0,FAM,JG074C.013,UNKNOWN,,10.79961,24,100000000,100000,100000,8,5,5,50,0.589481941,1.2284350395202637,0.14820835659939724
26,JG074C,14,FAM,#NAME?,FALSE,A14,0,FAM,JG074C.014,UNKNOWN,,10.661239,26,100000000,100000,1000000,8,5,6,50,0.585923895,1.275382161140442,0.10554568873698744
28,JG074C,15,FAM,#NAME?,FALSE,A15,0,FAM,JG074C.015,UNKNOWN,,11.871068,28,100000000,100000,100000000,8,5,8,50,0.28143832824496007,0.5060362815856934,-0.717250128
30,JG074C,16,FAM,#NAME?,FALSE,A16,0,FAM,JG074C.016,UNKNOWN,,11.081139,30,100000000,1000000,100,8,6,2,50,0.5863920473150033,1.2384510040283203,0.14967695130552888
32,JG074C,17,FAM,#NAME?,FALSE,A17,0,FAM,JG074C.017,UNKNOWN,,10.910834,32,100000000,1000000,10000,8,6,4,50,0.6481989266977155,1.3874256610870361,0.2321787136921446
34,JG074C,18,FAM,#NAME?,FALSE,A18,0,FAM,JG074C.018,UNKNOWN,,10.629962,34,100000000,1000000,100000,8,6,5,50,0.631944679,1.3534269332885742,0.20700464338434982
36,JG074C,19,FAM,#NAME?,FALSE,A19,0,FAM,JG074C.019,UNKNOWN,,10.746877,36,100000000,1000000,1000000,8,6,6,50,0.6422893510894507,1.3915972709655762,0.17640370665282745
38,JG074C,20,FAM,#NAME?,FALSE,A20,0,FAM,JG074C.020,UNKNOWN,,12.419203,38,100000000,1000000,100000000,8,6,8,50,0.3165592624313213,0.582239568,-0.666586229
40,JG074C,22,FAM,#NAME?,FALSE,A22,0,FAM,JG074C.022,UNKNOWN,,8.674422,42,100000000,100000000,10000,8,8,4,50,0.7981023285337466,1.7292176485061646,0.4909086693558596
42,JG074C,23,FAM,#NAME?,FALSE,A23,0,FAM,JG074C.023,UNKNOWN,,7.8019066,44,100000000,100000000,100000,8,8,5,50,0.8421313522273466,2.001122475,0.5218003872419859
44,JG074C,24,FAM,#NAME?,FALSE,A24,0,FAM,JG074C.024,UNKNOWN,,7.8254275,46,100000000,100000000,1000000,8,8,6,50,0.8398743059457777,1.9957729578018188,0.47683620344952765
46,JG074C,25,FAM,#NAME?,FALSE,B1,0,FAM,JG074C.025,UNKNOWN,,11.844189,48,31622776,100,100,7.499999991736717,2,2,50,0.5972658264807741,1.2918704748153687,0.17480932043147562
48,JG074C,26,FAM,#NAME?,FALSE,B2,0,FAM,JG074C.026,UNKNOWN,,11.58438,50,31622776,100,10000,7.499999991736717,2,4,50,0.6522200502884832,1.464013934135437,0.23938369788531277
50,JG074C,27,FAM,#NAME?,FALSE,B3,0,FAM,JG074C.027,UNKNOWN,,11.906024,52,31622776,100,100000,7.499999991736717,2,5,50,0.6236078855996108,1.3473581075668335,0.21116556732501407
52,JG074C,28,FAM,#NAME?,FALSE,B4,0,FAM,JG074C.028,UNKNOWN,,11.840436,54,31622776,100,1000000,7.499999991736717,2,6,50,0.6184545938954216,1.357832908630371,0.093325709
54,JG074C,29,FAM,#NAME?,FALSE,B5,0,FAM,JG074C.029,UNKNOWN,,15.0434475,56,31622776,100,100000000,7.499999991736717,2,8,50,0.17296003563831266,0.3234834372997284,-0.822936627
56,JG074C,30,FAM,#NAME?,FALSE,B6,0,FAM,JG074C.030,UNKNOWN,,11.648116,58,31622776,10000,100,7.499999991736717,4,2,50,0.5911645112558097,1.2985154390335083,0.1344343261882457
58,JG074C,31,FAM,#NAME?,FALSE,B7,0,FAM,JG074C.031,UNKNOWN,,11.932056,60,31622776,10000,10000,7.499999991736717,4,4,50,0.6268223138132962,1.3169806003570557,0.21453975500387418
60,JG074C,32,FAM,#NAME?,FALSE,B8,0,FAM,JG074C.032,UNKNOWN,,11.950543,62,31622776,10000,100000,7.499999991736717,4,5,50,0.6205814306373847,1.3574488162994385,0.20144734566532058
62,JG074C,33,FAM,#NAME?,FALSE,B9,0,FAM,JG074C.033,UNKNOWN,,11.62828,64,31622776,10000,1000000,7.499999991736717,4,6,50,0.6109195984843814,1.3388415575027466,0.11269392673709522
