,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0
0,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,1,-0.000571215,0.071549691,100000000,100,100,8,2,2
1,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,1,0.005924684,0.006096325,100000000,100,100,8,2,2
2,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,2,-0.000391543,0.068650529,100000000,100,100,8,2,2
3,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,2,0.005433232,0.004634426,100000000,100,100,8,2,2
4,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,3,-0.000521212,0.064991191,100000000,100,100,8,2,2
5,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,3,0.005032076,0.002997289,100000000,100,100,8,2,2
6,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,4,-0.000847034,0.060849842,100000000,100,100,8,2,2
7,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,4,0.005939672,-0.001179751,100000000,100,100,8,2,2
8,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,5,-0.000906908,0.05736202,100000000,100,100,8,2,2
9,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,5,0.005428794,-0.00260395,100000000,100,100,8,2,2
10,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,6,-0.000792557,0.054302342,100000000,100,100,8,2,2
11,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,6,0.003315704,-0.000918724,100000000,100,100,8,2,2
12,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,7,0.000227077,0.053467289,100000000,100,100,8,2,2
13,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,7,0.001916089,-0.000618144,100000000,100,100,8,2,2
14,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,8,0.001159452,0.052417803555727005,100000000,100,100,8,2,2
15,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,8,-0.000844291,0.00232328,100000000,100,100,8,2,2
16,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,9,0.000949425,0.048561003,100000000,100,100,8,2,2
17,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,9,-0.00569835,0.009327922,100000000,100,100,8,2,2
18,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,10,0.000731758,0.044685427099466324,100000000,100,100,8,2,2
19,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,10,-0.015089695,0.025138108,100000000,100,100,8,2,2
20,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,11,0.000119226,0.039839514,100000000,100,100,8,2,2
21,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,11,-0.033171089,0.05781313,100000000,100,100,8,2,2
22,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,12,-0.001184571,0.033294901,100000000,100,100,8,2,2
23,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,12,-0.061408886,0.11019875109195709,100000000,100,100,8,2,2
