,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0,FAM-HEX
0,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,50,0.02557585,-0.027890518,100000000,100,100,8,2,2,-0.934858666
2,JG074D,2,FAM,#NAME?,FALSE,A2,0,FAM,JG074D.002,UNKNOWN,,21.419512,2,50,0.094504302,0.20378798246383667,100000000,100,10000,8,2,4,-0.830130161
4,JG074D,3,FAM,#NAME?,FALSE,A3,0,FAM,JG074D.003,UNKNOWN,,23.526396,4,50,0.08438199,0.18033231794834137,100000000,100,100000,8,2,5,-0.858718468
6,JG074D,4,FAM,#NAME?,FALSE,A4,0,FAM,JG074D.004,UNKNOWN,,23.884336,6,50,0.080583062,0.18177664279937744,100000000,100,1000000,8,2,6,-0.874275531
8,JG074D,5,FAM,#NAME?,FALSE,A5,0,FAM,JG074D.005,UNKNOWN,,13.030276,8,50,0.3074857926790285,0.6386139988899231,100000000,100,100000000,8,2,8,-0.670650456
10,JG074D,6,FAM,#NAME?,FALSE,A6,0,FAM,JG074D.006,UNKNOWN,,inf,10,50,0.033810635837733534,-0.022416368,100000000,10000,100,8,4,2,-0.937431758
12,JG074D,7,FAM,#NAME?,FALSE,A7,0,FAM,JG074D.007,UNKNOWN,,21.539629,12,50,0.096309955,0.2023540884256363,100000000,10000,10000,8,4,4,-0.867508862
14,JG074D,8,FAM,#NAME?,FALSE,A8,0,FAM,JG074D.008,UNKNOWN,,inf,14,50,0.071102222,-0.0467037,100000000,10000,100000,8,4,5,-0.900848821
16,JG074D,9,FAM,#NAME?,FALSE,A9,0,FAM,JG074D.009,UNKNOWN,,22.428612,16,50,0.091384959,0.20670434832572937,100000000,10000,1000000,8,4,6,-0.899604222
18,JG074D,10,FAM,#NAME?,FALSE,A10,0,FAM,JG074D.010,UNKNOWN,,12.775315,18,50,0.3175884106297475,0.6806561350822449,100000000,10000,100000000,8,4,8,-0.677369932
20,JG074D,11,FAM,#NAME?,FALSE,A11,0,FAM,JG074D.011,UNKNOWN,,24.93082,20,50,0.076461519,0.15024341642856598,100000000,100000,100,8,5,2,-0.896137826
22,JG074D,12,FAM,#NAME?,FALSE,A12,0,FAM,JG074D.012,UNKNOWN,,18.913477,22,50,0.12043717916517638,0.2281465232372284,100000000,100000,10000,8,5,4,-0.839012675
24,JG074D,13,FAM,#NAME?,FALSE,A13,0,FAM,JG074D.013,UNKNOWN,,19.312672,24,50,0.11602481168089532,0.21361756324768066,100000000,100000,100000,8,5,5,-0.854290359
26,JG074D,14,FAM,#NAME?,FALSE,A14,0,FAM,JG074D.014,UNKNOWN,,18.795898,26,50,0.12497526809033824,0.2378038913011551,100000000,100000,1000000,8,5,6,-0.844708861
28,JG074D,15,FAM,#NAME?,FALSE,A15,0,FAM,JG074D.015,UNKNOWN,,12.832609,28,50,0.33953631318484934,0.7210808396339417,100000000,100000,100000000,8,5,8,-0.660463687
30,JG074D,16,FAM,#NAME?,FALSE,A16,0,FAM,JG074D.016,UNKNOWN,,14.623772,30,50,0.1883649806094779,0.35915666818618774,100000000,1000000,100,8,6,2,-0.737004494
32,JG074D,17,FAM,#NAME?,FALSE,A17,0,FAM,JG074D.017,UNKNOWN,,14.91143,32,50,0.17766448544191207,0.35861918330192566,100000000,1000000,10000,8,6,4,-0.755255737
