# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075A EGFR Blocker Stoichiometry.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-28 09:18:02 AM EDT
# Run End Date/Time: 2022-04-28 11:14:02 AM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:34:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:34:39 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","JG075A_001","S075_WT","STANDARD","EVAGREEN","None","Amp","1.2658888818160905","","","56.82155523094502","0.3623648700435512","56.82155523094502","","true","0.061949304555889984","true","3","48"
"2","A2","false","JG075A_002","S075_WT","STANDARD","EVAGREEN","None","Amp","1.28709852216988","","","55.330618260536475","0.3769408782888849","55.330618260536475","","true","0.061949304555889984","true","3","47"
"3","A3","false","JG075A_003","S075_WT","STANDARD","EVAGREEN","None","Amp","1.3157489648631382","","","56.24623879868038","0.3478152417842669","56.24623879868038","","true","0.061949304555889984","true","3","46"
"4","A4","false","JG075A_004","S075_WT","STANDARD","EVAGREEN","None","Amp","1.3256244234642165","","","54.97579335378484","0.3535081885793072","54.97579335378484","","true","0.061949304555889984","true","3","46"
"5","A5","false","JG075A_005","S075_WT","STANDARD","EVAGREEN","None","Amp","1.3267494108670381","","","54.48511280789129","0.32079533116906517","54.48511280789129","","true","0.061949304555889984","true","3","45"
"6","A6","false","JG075A_006","S075_WT","STANDARD","EVAGREEN","None","Amp","1.32546886816441","","","52.770202340056784","0.3162837734080879","52.770202340056784","","true","0.061949304555889984","true","3","44"
"7","A7","false","JG075A_007","S075_WT","STANDARD","EVAGREEN","None","Amp","1.3301051609202297","","","51.99153974097705","0.2805150781874337","51.99153974097705","","true","0.061949304555889984","true","3","43"
"8","A8","false","JG075A_008","S075_WT","STANDARD","EVAGREEN","None","Inconclusive","1.2633033195196746","","","61.33061185063812","0.36632491709193143","61.33061185063812","","true","0.061949304555889984","true","3","50"
"9","A9","false","JG075A_009","S075_WT","STANDARD","EVAGREEN","None","Amp","1.2887900779785777","","","60.40766280452088","0.36331405829586133","60.40766280452088","","true","0.061949304555889984","true","3","51"
"10","A10","false","JG075A_010","S075_WT","STANDARD","EVAGREEN","None","Inconclusive","1.3081372317674869","","","59.585645889397874","0.36388989081611023","59.585645889397874","","true","0.061949304555889984","true","3","50"
"11","A11","false","JG075A_011","S075_WT","STANDARD","EVAGREEN","None","Amp","1.323301624230698","","","55.01416590312229","0.3542247440047451","55.01416590312229","","true","0.061949304555889984","true","3","46"
"12","A12","false","JG075A_012","S075_WT","STANDARD","EVAGREEN","None","Amp","1.3242932599289285","","","55.51099970133526","0.35813890630381556","55.51099970133526","","true","0.061949304555889984","true","3","46"
"13","A13","false","JG075A_013","S075_WT","STANDARD","EVAGREEN","None","Amp","1.328946713548445","","","52.38136571463959","0.35928506845992975","52.38136571463959","","true","0.061949304555889984","true","3","44"
"14","A14","false","JG075A_014","S075_WT","STANDARD","EVAGREEN","None","Amp","1.339275522788974","","","52.68489321111493","0.3237263826578834","52.68489321111493","","true","0.061949304555889984","true","3","44"
"15","A15","false","JG075A_015","S075_WT","STANDARD","EVAGREEN","None","Amp","1.3248167349443833","","","7.461934181972399","0.22058412849520548","7.461934181972399","","true","0.061949304555889984","true","3","5"
"25","B1","false","JG075A_025","S075_WT","STANDARD","EVAGREEN","None","Inconclusive","1.2804576308889948","","","62.326784392757034","0.401656433743423","62.326784392757034","","true","0.061949304555889984","true","3","53"
"26","B2","false","JG075A_026","S075_WT","STANDARD","EVAGREEN","None","Amp","1.314916280420798","","","59.72767260831416","0.4248108106701454","59.72767260831416","","true","0.061949304555889984","true","3","50"
"27","B3","false","JG075A_027","S075_WT","STANDARD","EVAGREEN","None","Inconclusive","1.2896041346375582","","","61.61399675024827","0.3754184521188033","61.61399675024827","","true","0.061949304555889984","true","3","51"
"28","B4","false","JG075A_028","S075_WT","STANDARD","EVAGREEN","None","Amp","1.3374739327525502","","","60.14614756259317","0.3929119622565799","60.14614756259317","","true","0.061949304555889984","true","3","51"
"29","B5","false","JG075A_029","S075_WT","STANDARD","EVAGREEN","None","Inconclusive","1.313961707695728","","","58.94817906653115","0.37397779068745135","58.94817906653115","","true","0.061949304555889984","true","3","50"
"30","B6","false","JG075A_030","S075_WT","STANDARD","EVAGREEN","None","Inconclusive","1.3430017071971938","","","57.86245839457991","0.36967146944803403","57.86245839457991","","true","0.061949304555889984","true","3","49"
"31","B7","false","JG075A_031","S075_WT","STANDARD","EVAGREEN","None","Inconclusive","1.3258063124190476","","","57.08620748056434","0.34954767559005195","57.08620748056434","","true","0.061949304555889984","true","3","48"
