# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075B L-MMMMx blocker tripartite competition separate.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-29 04:11:25 PM EDT
# Run End Date/Time: 2022-04-29 06:06:47 PM EDT
# Run Duration: 115 minutes 22 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:34:53 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:35:10 PM EDT
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"JG075B_001","S075_WTFAM","1","1.0E8","0","23.471724412504372","","",
"JG075B_001","S075_WTHEX","1","1.0E8","0","25.86196155680397","","",
"JG075B_002","S075_WTFAM","1","1.0E8","0","23.530930802583917","","",
"JG075B_002","S075_WTHEX","1","1.0E8","0","25.97246122016059","","",
"JG075B_003","S075_WTFAM","1","1.0E8","0","23.638328805098567","","",
"JG075B_003","S075_WTHEX","1","1.0E8","0","26.137362359281116","","",
"JG075B_004","S075_WTFAM","1","1.0E8","0","23.91823339740627","","",
"JG075B_004","S075_WTHEX","1","1.0E8","0","25.9950904044383","","",
"JG075B_005","S075_WTFAM","1","1.0E8","0","24.24072906054334","","",
"JG075B_005","S075_WTHEX","1","1.0E8","0","26.27634450497421","","",
"JG075B_006","S075_WTFAM","1","1.0E8","0","","","",
"JG075B_006","S075_WTHEX","1","1.0E8","0","26.18135011852847","","",
"JG075B_007","S075_WTFAM","1","1.0E8","0","","","",
"JG075B_007","S075_WTHEX","1","1.0E8","0","26.264790995636496","","",
"JG075B_008","S075_WTFAM","1","1.0E8","0","","","",
"JG075B_008","S075_WTHEX","1","1.0E8","0","26.612811152350453","","",
"JG075B_009","S075_WTFAM","1","1.0E8","0","26.35426572789394","","",
"JG075B_009","S075_WTHEX","1","1.0E8","0","9.345094849073394","","",
"JG075B_010","S075_WTFAM","1","1.0E8","0","26.669976789797147","","",
"JG075B_010","S075_WTHEX","1","1.0E8","0","9.383153547610936","","",
"JG075B_011","S075_WTFAM","1","1.0E8","0","26.780886654372228","","",
"JG075B_011","S075_WTHEX","1","1.0E8","0","9.261140667217758","","",
"JG075B_012","S075_WTFAM","1","1.0E8","0","27.277819348660493","","",
"JG075B_012","S075_WTHEX","1","1.0E8","0","9.281163098157215","","",
"JG075B_013","S075_WTFAM","1","1.0E8","0","","","",
"JG075B_013","S075_WTHEX","1","1.0E8","0","9.168291982585819","","",
"JG075B_014","S075_WTFAM","1","1.0E8","0","","","",
"JG075B_014","S075_WTHEX","1","1.0E8","0","9.303997602644056","","",
"JG075B_015","S075_WTFAM","1","1.0E8","0","","","",
"JG075B_015","S075_WTHEX","1","1.0E8","0","9.36304047730364","","",
"JG075B_016","S075_WTFAM","1","1.0E8","0","","","",
"JG075B_016","S075_WTHEX","1","1.0E8","0","9.769745261065308","","",
"JG075B_025","S075_WTFAM","1","1.0E7","0","23.41447703105988","","",
"JG075B_025","S075_WTHEX","1","1.0E7","0","25.76224752729049","","",
"JG075B_026","S075_WTFAM","1","1.0E7","0","23.449526223778143","","",
"JG075B_026","S075_WTHEX","1","1.0E7","0","25.718576458584934","","",
"JG075B_027","S075_WTFAM","1","1.0E7","0","23.47929945921728","","",
"JG075B_027","S075_WTHEX","1","1.0E7","0","25.78238389038364","","",
"JG075B_028","S075_WTFAM","1","1.0E7","0","23.403506534908352","","",
"JG075B_028","S075_WTHEX","1","1.0E7","0","25.73259577180555","","",
"JG075B_029","S075_WTFAM","1","1.0E7","0","23.549952278180626","","",
"JG075B_029","S075_WTHEX","1","1.0E7","0","25.652611622988886","","",
"JG075B_030","S075_WTFAM","1","1.0E7","0","23.430470712033376","","",
"JG075B_030","S075_WTHEX","1","1.0E7","0","25.731437984306474","","",
"JG075B_031","S075_WTFAM","1","1.0E7","0","23.918912823266442","","",
"JG075B_031","S075_WTHEX","1","1.0E7","0","25.969268229116494","","",
"JG075B_032","S075_WTFAM","1","1.0E7","0","","","",
"JG075B_032","S075_WTHEX","1","1.0E7","0","26.3892819225437","","",
"JG075B_033","S075_WTFAM","1","1.0E7","0","25.880575312866167","","",
"JG075B_033","S075_WTHEX","1","1.0E7","0","9.297272739984676","","",
"JG075B_034","S075_WTFAM","1","1.0E7","0","25.78767865884336","","",
"JG075B_034","S075_WTHEX","1","1.0E7","0","9.456881772325728","","",
"JG075B_035","S075_WTFAM","1","1.0E7","0","26.069629569156987","","",
"JG075B_035","S075_WTHEX","1","1.0E7","0","9.312510655117016","","",
"JG075B_036","S075_WTFAM","1","1.0E7","0","26.069748988700464","","",
"JG075B_036","S075_WTHEX","1","1.0E7","0","9.230493281260053","","",
"JG075B_037","S075_WTFAM","1","1.0E7","0","26.07668028615331","","",
"JG075B_037","S075_WTHEX","1","1.0E7","0","9.277371429690882","","",
"JG075B_038","S075_WTFAM","1","1.0E7","0","","","",
"JG075B_038","S075_WTHEX","1","1.0E7","0","9.304352713654255","","",
"JG075B_039","S075_WTFAM","1","1.0E7","0","","","",
"JG075B_039","S075_WTHEX","1","1.0E7","0","9.236096034242808","","",
"JG075B_040","S075_WTFAM","1","1.0E7","0","","","",
"JG075B_040","S075_WTHEX","1","1.0E7","0","9.396677181876916","","",
"JG075B_049","S075_WTFAM","1","1000000.0","0","23.454419537293454","","",
"JG075B_049","S075_WTHEX","1","1000000.0","0","25.687098358041787","","",
"JG075B_050","S075_WTFAM","1","1000000.0","0","23.430250330065682","","",
"JG075B_050","S075_WTHEX","1","1000000.0","0","25.68113273853146","","",
"JG075B_051","S075_WTFAM","1","1000000.0","0","23.495605741617176","","",
"JG075B_051","S075_WTHEX","1","1000000.0","0","25.680861344919194","","",
"JG075B_052","S075_WTFAM","1","1000000.0","0","23.46451336667821","","",
"JG075B_052","S075_WTHEX","1","1000000.0","0","25.614227791118502","","",
"JG075B_053","S075_WTFAM","1","1000000.0","0","23.322747632402773","","",
"JG075B_053","S075_WTHEX","1","1000000.0","0","25.72191694059925","","",
"JG075B_054","S075_WTFAM","1","1000000.0","0","23.340564716274493","","",
"JG075B_054","S075_WTHEX","1","1000000.0","0","25.591527461712346","","",
"JG075B_055","S075_WTFAM","1","1000000.0","0","23.44904698715994","","",
"JG075B_055","S075_WTHEX","1","1000000.0","0","25.666319165430075","","",
"JG075B_056","S075_WTFAM","1","1000000.0","0","24.02935968735719","","",
"JG075B_056","S075_WTHEX","1","1000000.0","0","25.99763629296713","","",
"JG075B_057","S075_WTFAM","1","1000000.0","0","25.66866171598066","","",
"JG075B_057","S075_WTHEX","1","1000000.0","0","9.341787411937483","","",
"JG075B_058","S075_WTFAM","1","1000000.0","0","25.668709915812283","","",
"JG075B_058","S075_WTHEX","1","1000000.0","0","9.313509091194257","","",
"JG075B_059","S075_WTFAM","1","1000000.0","0","25.57469271034672","","",
"JG075B_059","S075_WTHEX","1","1000000.0","0","9.255831434352821","","",
"JG075B_060","S075_WTFAM","1","1000000.0","0","25.60039453337782","","",
"JG075B_060","S075_WTHEX","1","1000000.0","0","9.32495845288101","","",
"JG075B_061","S075_WTFAM","1","1000000.0","0","25.894372118363837","","",
"JG075B_061","S075_WTHEX","1","1000000.0","0","9.31826558042161","","",
"JG075B_062","S075_WTFAM","1","1000000.0","0","25.715807927788223","","",
"JG075B_062","S075_WTHEX","1","1000000.0","0","9.230962664850672","","",
"JG075B_063","S075_WTFAM","1","1000000.0","0","26.42314261604736","","",
"JG075B_063","S075_WTHEX","1","1000000.0","0","9.322363927277","","",
"JG075B_064","S075_WTFAM","1","1000000.0","0","","","",
"JG075B_064","S075_WTHEX","1","1000000.0","0","9.290995537928245","","",
"JG075B_073","S075_WTFAM","1","100000.0","0","23.433275536918885","","",
"JG075B_073","S075_WTHEX","1","100000.0","0","25.661543220124805","","",
"JG075B_074","S075_WTFAM","1","100000.0","0","23.4172269755228","","",
"JG075B_074","S075_WTHEX","1","100000.0","0","25.617778410742233","","",
"JG075B_075","S075_WTFAM","1","100000.0","0","23.589310678572424","","",
"JG075B_075","S075_WTHEX","1","100000.0","0","25.64443719065185","","",
"JG075B_076","S075_WTFAM","1","100000.0","0","23.428122575185007","","",
"JG075B_076","S075_WTHEX","1","100000.0","0","25.686721049260115","","",
"JG075B_077","S075_WTFAM","1","100000.0","0","23.428057548970116","","",
"JG075B_077","S075_WTHEX","1","100000.0","0","25.83843879372252","","",
"JG075B_078","S075_WTFAM","1","100000.0","0","23.512517400055508","","",
"JG075B_078","S075_WTHEX","1","100000.0","0","25.56736430563493","","",
"JG075B_079","S075_WTFAM","1","100000.0","0","23.425584910521188","","",
"JG075B_079","S075_WTHEX","1","100000.0","0","25.574467931991585","","",
"JG075B_080","S075_WTFAM","1","100000.0","0","23.616369749865665","","",
"JG075B_080","S075_WTHEX","1","100000.0","0","25.8498628354603","","",
"JG075B_081","S075_WTFAM","1","100000.0","0","25.70949228507557","","",
"JG075B_081","S075_WTHEX","1","100000.0","0","9.172018326309182","","",
"JG075B_082","S075_WTFAM","1","100000.0","0","25.6008282394448","","",
"JG075B_082","S075_WTHEX","1","100000.0","0","9.243456138728197","","",
"JG075B_083","S075_WTFAM","1","100000.0","0","25.64507707427324","","",
"JG075B_083","S075_WTHEX","1","100000.0","0","9.303653784759788","","",
"JG075B_084","S075_WTFAM","1","100000.0","0","25.634773609501508","","",
"JG075B_084","S075_WTHEX","1","100000.0","0","9.255279721888353","","",
"JG075B_085","S075_WTFAM","1","100000.0","0","25.549003030002915","","",
"JG075B_085","S075_WTHEX","1","100000.0","0","9.207924258560734","","",
"JG075B_086","S075_WTFAM","1","100000.0","0","25.740983139851043","","",
"JG075B_086","S075_WTHEX","1","100000.0","0","9.286429597553086","","",
"JG075B_087","S075_WTFAM","1","100000.0","0","25.876868839387157","","",
"JG075B_087","S075_WTHEX","1","100000.0","0","9.120397685475563","","",
"JG075B_088","S075_WTFAM","1","100000.0","0","","","",
"JG075B_088","S075_WTHEX","1","100000.0","0","9.26724124081635","","",
"JG075B_097","S075_WTFAM","1","10000.0","0","23.447382480323277","","",
"JG075B_097","S075_WTHEX","1","10000.0","0","25.589488719678336","","",
"JG075B_098","S075_WTFAM","1","10000.0","0","23.441825746726067","","",
"JG075B_098","S075_WTHEX","1","10000.0","0","25.64323196955879","","",
"JG075B_099","S075_WTFAM","1","10000.0","0","23.510448919596094","","",
"JG075B_099","S075_WTHEX","1","10000.0","0","25.628468263861727","","",
"JG075B_100","S075_WTFAM","1","10000.0","0","23.44525239871612","","",
"JG075B_100","S075_WTHEX","1","10000.0","0","25.659584123376078","","",
"JG075B_101","S075_WTFAM","1","10000.0","0","23.44409991352496","","",
"JG075B_101","S075_WTHEX","1","10000.0","0","25.59030151764835","","",
"JG075B_102","S075_WTFAM","1","10000.0","0","23.350150345606117","","",
"JG075B_102","S075_WTHEX","1","10000.0","0","25.66977010666735","","",
"JG075B_103","S075_WTFAM","1","10000.0","0","23.420133481703125","","",
"JG075B_103","S075_WTHEX","1","10000.0","0","25.744087307922477","","",
"JG075B_104","S075_WTFAM","1","10000.0","0","23.4411086646492","","",
"JG075B_104","S075_WTHEX","1","10000.0","0","25.692271504896688","","",
"JG075B_105","S075_WTFAM","1","10000.0","0","25.775180423800556","","",
"JG075B_105","S075_WTHEX","1","10000.0","0","9.313119025309906","","",
"JG075B_106","S075_WTFAM","1","10000.0","0","25.74830968170184","","",
"JG075B_106","S075_WTHEX","1","10000.0","0","9.249229411706136","","",
"JG075B_107","S075_WTFAM","1","10000.0","0","25.551332945805175","","",
"JG075B_107","S075_WTHEX","1","10000.0","0","9.33216399969764","","",
"JG075B_108","S075_WTFAM","1","10000.0","0","25.766715092537712","","",
"JG075B_108","S075_WTHEX","1","10000.0","0","9.370664987614164","","",
"JG075B_109","S075_WTFAM","1","10000.0","0","25.82252165760707","","",
"JG075B_109","S075_WTHEX","1","10000.0","0","9.160465239164765","","",
"JG075B_110","S075_WTFAM","1","10000.0","0","25.65610754326403","","",
"JG075B_110","S075_WTHEX","1","10000.0","0","9.132668837345982","","",
"JG075B_111","S075_WTFAM","1","10000.0","0","25.99213721114092","","",
"JG075B_111","S075_WTHEX","1","10000.0","0","9.193273921076798","","",
"JG075B_112","S075_WTFAM","1","10000.0","0","","","",
"JG075B_112","S075_WTHEX","1","10000.0","0","9.240174699018532","","",
"JG075B_121","S075_WTFAM","1","1000.0","0","23.45971089424652","","",
"JG075B_121","S075_WTHEX","1","1000.0","0","25.56022866132539","","",
"JG075B_122","S075_WTFAM","1","1000.0","0","23.39582211494423","","",
"JG075B_122","S075_WTHEX","1","1000.0","0","25.55859962747059","","",
"JG075B_123","S075_WTFAM","1","1000.0","0","23.46870857964649","","",
"JG075B_123","S075_WTHEX","1","1000.0","0","25.576097965454352","","",
"JG075B_124","S075_WTFAM","1","1000.0","0","23.46751948050175","","",
"JG075B_124","S075_WTHEX","1","1000.0","0","25.612330347830486","","",
"JG075B_125","S075_WTFAM","1","1000.0","0","23.486751826470226","","",
"JG075B_125","S075_WTHEX","1","1000.0","0","25.65218114217611","","",
"JG075B_126","S075_WTFAM","1","1000.0","0","23.444584528979902","","",
"JG075B_126","S075_WTHEX","1","1000.0","0","25.65417471619714","","",
"JG075B_127","S075_WTFAM","1","1000.0","0","23.388427239780725","","",
"JG075B_127","S075_WTHEX","1","1000.0","0","25.560176617988567","","",
"JG075B_128","S075_WTFAM","1","1000.0","0","23.464583253662326","","",
"JG075B_128","S075_WTHEX","1","1000.0","0","25.675349264822735","","",
"JG075B_129","S075_WTFAM","1","1000.0","0","25.611807644839036","","",
"JG075B_129","S075_WTHEX","1","1000.0","0","9.225080162586892","","",
"JG075B_130","S075_WTFAM","1","1000.0","0","25.843151262900214","","",
"JG075B_130","S075_WTHEX","1","1000.0","0","9.31344446108272","","",
"JG075B_131","S075_WTFAM","1","1000.0","0","25.796415449718026","","",
"JG075B_131","S075_WTHEX","1","1000.0","0","9.372712639437134","","",
"JG075B_132","S075_WTFAM","1","1000.0","0","25.91228296330978","","",
"JG075B_132","S075_WTHEX","1","1000.0","0","9.397572796543331","","",
"JG075B_133","S075_WTFAM","1","1000.0","0","25.711959103391223","","",
"JG075B_133","S075_WTHEX","1","1000.0","0","9.386289427178381","","",
"JG075B_134","S075_WTFAM","1","1000.0","0","25.70936763327875","","",
"JG075B_134","S075_WTHEX","1","1000.0","0","9.156989844639869","","",
"JG075B_135","S075_WTFAM","1","1000.0","0","25.897581677976135","","",
"JG075B_135","S075_WTHEX","1","1000.0","0","9.264099853135637","","",
"JG075B_136","S075_WTFAM","1","1000.0","0","25.9806593492921","","",
"JG075B_136","S075_WTHEX","1","1000.0","0","9.225527982386506","","",
"JG075B_145","S075_WTFAM","1","100.0","0","23.444839271318244","","",
"JG075B_145","S075_WTHEX","1","100.0","0","25.553023360455583","","",
"JG075B_146","S075_WTFAM","1","100.0","0","23.474125928783863","","",
"JG075B_146","S075_WTHEX","1","100.0","0","25.560299987259533","","",
"JG075B_147","S075_WTFAM","1","100.0","0","23.475566396022465","","",
"JG075B_147","S075_WTHEX","1","100.0","0","25.517086812479505","","",
"JG075B_148","S075_WTFAM","1","100.0","0","23.51083467240545","","",
"JG075B_148","S075_WTHEX","1","100.0","0","25.59062179200381","","",
"JG075B_149","S075_WTFAM","1","100.0","0","23.467878410799834","","",
"JG075B_149","S075_WTHEX","1","100.0","0","25.568640516352758","","",
"JG075B_150","S075_WTFAM","1","100.0","0","23.449258033049844","","",
"JG075B_150","S075_WTHEX","1","100.0","0","25.637891039741007","","",
"JG075B_151","S075_WTFAM","1","100.0","0","23.403129044771276","","",
"JG075B_151","S075_WTHEX","1","100.0","0","25.532634289012456","","",
