* Instrument Type = QuantStudio 6
* Passive Reference = ROX
[Sample Setup]
Well	Target Name	Sample Name	Reporter	Quantity	Quencher	Task
1	S075_WTFAM	JG075B_001	FAM	100000000	None	STANDARD
1	S075_WTHEX	JG075B_001	HEX	100000000	None	STANDARD
2	S075_WTFAM	JG075B_002	FAM	100000000	None	STANDARD
2	S075_WTHEX	JG075B_002	HEX	100000000	None	STANDARD
3	S075_WTFAM	JG075B_003	FAM	100000000	None	STANDARD
3	S075_WTHEX	JG075B_003	HEX	100000000	None	STANDARD
4	S075_WTFAM	JG075B_004	FAM	100000000	None	STANDARD
4	S075_WTHEX	JG075B_004	HEX	100000000	None	STANDARD
5	S075_WTFAM	JG075B_005	FAM	100000000	None	STANDARD
5	S075_WTHEX	JG075B_005	HEX	100000000	None	STANDARD
6	S075_WTFAM	JG075B_006	FAM	100000000	None	STANDARD
6	S075_WTHEX	JG075B_006	HEX	100000000	None	STANDARD
7	S075_WTFAM	JG075B_007	FAM	100000000	None	STANDARD
7	S075_WTHEX	JG075B_007	HEX	100000000	None	STANDARD
8	S075_WTFAM	JG075B_008	FAM	100000000	None	STANDARD
8	S075_WTHEX	JG075B_008	HEX	100000000	None	STANDARD
9	S075_WTFAM	JG075B_009	FAM	100000000	None	STANDARD
9	S075_WTHEX	JG075B_009	HEX	100000000	None	STANDARD
10	S075_WTFAM	JG075B_010	FAM	100000000	None	STANDARD
10	S075_WTHEX	JG075B_010	HEX	100000000	None	STANDARD
11	S075_WTFAM	JG075B_011	FAM	100000000	None	STANDARD
11	S075_WTHEX	JG075B_011	HEX	100000000	None	STANDARD
12	S075_WTFAM	JG075B_012	FAM	100000000	None	STANDARD
12	S075_WTHEX	JG075B_012	HEX	100000000	None	STANDARD
13	S075_WTFAM	JG075B_013	FAM	100000000	None	STANDARD
13	S075_WTHEX	JG075B_013	HEX	100000000	None	STANDARD
14	S075_WTFAM	JG075B_014	FAM	100000000	None	STANDARD
14	S075_WTHEX	JG075B_014	HEX	100000000	None	STANDARD
15	S075_WTFAM	JG075B_015	FAM	100000000	None	STANDARD
15	S075_WTHEX	JG075B_015	HEX	100000000	None	STANDARD
16	S075_WTFAM	JG075B_016	FAM	100000000	None	STANDARD
16	S075_WTHEX	JG075B_016	HEX	100000000	None	STANDARD
25	S075_WTFAM	JG075B_025	FAM	10000000	None	STANDARD
25	S075_WTHEX	JG075B_025	HEX	10000000	None	STANDARD
26	S075_WTFAM	JG075B_026	FAM	10000000	None	STANDARD
26	S075_WTHEX	JG075B_026	HEX	10000000	None	STANDARD
27	S075_WTFAM	JG075B_027	FAM	10000000	None	STANDARD
27	S075_WTHEX	JG075B_027	HEX	10000000	None	STANDARD
28	S075_WTFAM	JG075B_028	FAM	10000000	None	STANDARD
28	S075_WTHEX	JG075B_028	HEX	10000000	None	STANDARD
29	S075_WTFAM	JG075B_029	FAM	10000000	None	STANDARD
29	S075_WTHEX	JG075B_029	HEX	10000000	None	STANDARD
