# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075F L-MMMMx blocker tripartite competition matrix.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-05-04 11:29:00 AM EDT
# Run End Date/Time: 2022-05-04 12:48:19 PM EDT
# Run Duration: 79 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:39:38 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:39:44 PM EDT
"Well","Well Position","Cycle Number","FAM","HEX","ROX"
"1","A1","1","43065.78","27617.621","167713.98"
"1","A1","2","42751.24","27494.467","166978.6"
"1","A1","3","42439.277","27330.771","165535.81"
"1","A1","4","42104.473","27199.068","164478.67"
"1","A1","5","41956.777","27130.023","163692.44"
"1","A1","6","41887.355","27147.006","163325.7"
"1","A1","7","41808.395","26855.955","162893.31"
"1","A1","8","41730.17","26739.303","162075.4"
"1","A1","9","41683.11","26761.316","161686.98"
"1","A1","10","41749.27","26715.9","161271.11"
"1","A1","11","41838.02","26704.152","160739.9"
"1","A1","12","41673.6","26822.502","160228.23"
"1","A1","13","41544.023","26618.713","159790.5"
"1","A1","14","41404.63","26509.227","159350.0"
"1","A1","15","41437.52","26440.582","159226.9"
"1","A1","16","41694.113","26403.604","159181.31"
"1","A1","17","41730.703","26394.629","159240.23"
"1","A1","18","41807.43","26419.703","159491.86"
"1","A1","19","41870.773","26494.16","159407.56"
"1","A1","20","41857.773","26472.21","159397.11"
"1","A1","21","41904.996","26411.441","159578.33"
"1","A1","22","41969.438","26347.236","159415.0"
"1","A1","23","41994.895","26378.02","159316.05"
"1","A1","24","42234.594","26592.053","159333.86"
"1","A1","25","42405.426","26784.469","159558.52"
"1","A1","26","43092.133","27034.527","159636.47"
"1","A1","27","43956.59","27302.41","159600.55"
"1","A1","28","45934.98","27607.26","159654.4"
"1","A1","29","49151.184","28795.04","159751.97"
"1","A1","30","54101.97","30546.924","159641.84"
"1","A1","31","61328.316","33007.81","159614.03"
"1","A1","32","70229.21","36594.23","159839.08"
"1","A1","33","79890.81","41242.18","159942.97"
"1","A1","34","89745.0","46177.805","159962.36"
"1","A1","35","98590.875","51310.71","160038.88"
"1","A1","36","106000.13","56426.125","160096.11"
"1","A1","37","111813.93","60245.887","160494.62"
"1","A1","38","116163.945","63786.473","160505.66"
"1","A1","39","119449.62","66854.23","160461.62"
"1","A1","40","121742.19","69660.12","160565.95"
