# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s2\data\JG071A ARG1 Tripartite.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-02-08 12:26:48 PM EST
# Run End Date/Time: 2022-02-08 02:23:03 PM EST
# Run Duration: 116 minutes 14 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:33:08 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:33:26 PM EDT
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","18.241994084769047","14.861120371837458","0.9160285662932875","3.3713788410082675","","","true","0.03999999910593033","true","3","15","","","","","","","","","","","false"
"2","A2",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","16.620844009415613","14.861120371837458","0.9223012446411943","3.3713788410082675","","","true","0.03999999910593033","true","3","13","","","","","","","","","","","false"
"3","A3",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","16.16096836400007","14.861120371837458","0.9043004627177564","3.3713788410082675","","","true","0.03999999910593033","true","3","13","","","","","","","","","","","false"
"4","A4",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","15.995043375488379","14.861120371837458","0.9030398070160532","3.3713788410082675","","","true","0.03999999910593033","true","3","13","","","","","","","","","","","false"
"5","A5",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","21.292147110497098","14.861120371837458","0.3957362251077569","3.3713788410082675","","","true","0.03999999910593033","true","3","19","","","","","","","","","","","false"
"6","A6",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","18.109831355979445","14.861120371837458","0.9165983669841501","3.3713788410082675","","","true","0.03999999910593033","true","3","15","","","","","","","","","","","false"
"7","A7",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","16.46847783411443","14.861120371837458","0.9042541922008739","3.3713788410082675","","","true","0.03999999910593033","true","3","13","","","","","","","","","","","false"
"8","A8",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","16.073875475654837","14.861120371837458","0.6818488307979067","3.3713788410082675","","","true","0.03999999910593033","true","3","13","","","","","","","","","","","false"
"9","A9",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","15.974574750815973","14.861120371837458","0.8832754955755474","3.3713788410082675","","","true","0.03999999910593033","true","3","13","","","","","","","","","","","false"
"10","A10",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","21.175476671041572","14.861120371837458","0.375833980085792","3.3713788410082675","","","true","0.03999999910593033","true","3","18","","","","","","","","","","","false"
"11","A11",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","17.904174397917778","14.861120371837458","0.9412583396737074","3.3713788410082675","","","true","0.03999999910593033","true","3","15","","","","","","","","","","","false"
"12","A12",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","16.505948966363782","14.861120371837458","0.8998539966202437","3.3713788410082675","","","true","0.03999999910593033","true","3","13","","","","","","","","","","","false"
"13","A13",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","16.005918734742533","14.861120371837458","0.9072268119450997","3.3713788410082675","","","true","0.03999999910593033","true","3","13","","","","","","","","","","","false"
"14","A14",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","16.129322425064387","14.861120371837458","0.9073260321062772","3.3713788410082675","","","true","0.03999999910593033","true","3","13","","","","","","","","","","","false"
"15","A15",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","13.123013841225413","14.861120371837458","0.16249986850546302","3.3713788410082675","","","true","0.03999999910593033","true","3","10","","","","","","","","","","","false"
"16","A16",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","14.517893759056644","14.861120371837458","0.8903956491675615","3.3713788410082675","","","true","0.03999999910593033","true","3","11","","","","","","","","","","","false"
"17","A17",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","14.260856681200359","14.861120371837458","0.8732510578882035","3.3713788410082675","","","true","0.03999999910593033","true","3","11","","","","","","","","","","","false"
"18","A18",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","14.881176879864775","14.861120371837458","0.8839348051331035","3.3713788410082675","","","true","0.03999999910593033","true","3","12","","","","","","","","","","","false"
"19","A19",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","14.576048399232167","14.861120371837458","0.6654253953797599","3.3713788410082675","","","true","0.03999999910593033","true","3","11","","","","","","","","","","","false"
"20","A20",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","12.361022929204186","14.861120371837458","0.2767898975205283","3.3713788410082675","","","true","0.03999999910593033","true","3","9","","","","","","","","","","","false"
"21","A21",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","8.412858637028084","14.861120371837458","0.30002262226784865","3.3713788410082675","","","true","0.03999999910593033","true","3","5","","","","","","","","","","","false"
"22","A22",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","9.204869271309263","14.861120371837458","0.2389567454692535","3.3713788410082675","","","true","0.03999999910593033","true","3","6","","","","","","","","","","","false"
"23","A23",,"","S056.1.1","HEX","UNKNOWN","HEX","NFQ-MGB","Amp","9.11679752534124","14.861120371837458","0.26808280381099414","3.3713788410082675","","","true","0.03999999910593033","true","3","6","","","","","","","","","","","false"
