# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076E_FP004-RP004x_Set_I.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 10:55:32 AM EDT
# Run End Date/Time: 2022-07-20 12:51:31 PM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:32:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:32:41 PM EDT
"Well","Well Position","Cycle Number","TET","ROX","HEX","SUN"
"1","A1","1","107114.74","184368.55",,
"1","A1","2","107174.96","184398.16",,
"1","A1","3","107652.85","184284.23",,
"1","A1","4","108332.164","184014.05",,
"1","A1","5","109822.086","183861.38",,
"1","A1","6","112656.83","183661.44",,
"1","A1","7","117536.68","183365.55",,
"1","A1","8","126331.414","182331.52",,
"1","A1","9","142057.14","180674.06",,
"1","A1","10","166763.72","178961.58",,
"1","A1","11","199906.62","178222.84",,
"1","A1","12","235343.12","177734.7",,
"1","A1","13","267636.1","177146.78",,
"1","A1","14","292114.03","176922.94",,
"1","A1","15","308456.84","177041.0",,
"1","A1","16","319189.28","176977.27",,
"1","A1","17","325906.9","177083.8",,
"1","A1","18","330359.56","177031.27",,
"1","A1","19","333379.94","176986.9",,
"1","A1","20","335619.56","177077.16",,
"1","A1","21","337617.38","177197.8",,
"1","A1","22","339437.2","177225.22",,
"1","A1","23","341028.94","177267.67",,
"1","A1","24","342568.28","177258.75",,
"1","A1","25","344409.0","177202.89",,
"1","A1","26","345835.22","177517.3",,
"1","A1","27","346690.12","177463.7",,
"1","A1","28","348182.88","177449.62",,
"1","A1","29","349334.5","177290.94",,
"1","A1","30","350303.3","177156.8",,
"1","A1","31","351709.53","177388.58",,
"1","A1","32","352830.06","177578.17",,
"1","A1","33","354231.12","177505.3",,
"1","A1","34","355294.5","177389.22",,
"1","A1","35","356386.78","177258.42",,
"1","A1","36","357380.72","177374.62",,
"1","A1","37","358627.03","177338.3",,
"1","A1","38","360035.5","177254.16",,
"1","A1","39","361117.06","177147.05",,
"1","A1","40","362545.75","177301.62",,
"1","A1","41","363442.34","177288.2",,
"1","A1","42","364439.28","177569.05",,
"1","A1","43","366036.88","177466.56",,
"1","A1","44","367187.28","177398.78",,
"1","A1","45","367762.94","177626.28",,
"1","A1","46","368803.53","177462.2",,
"1","A1","47","370205.16","177245.78",,
"1","A1","48","371519.84","177239.47",,
"1","A1","49","372801.06","177420.36",,
"1","A1","50","374205.75","177319.52",,
"1","A1","51","375229.9","177299.75",,
"1","A1","52","376870.28","177294.5",,
"1","A1","53","379182.25","177288.2",,
"1","A1","54","381265.88","177192.89",,
"1","A1","55","383643.5","177195.73",,
"1","A1","56","386724.0","177185.55",,
"1","A1","57","390155.72","177234.55",,
"1","A1","58","395213.38","177207.8",,
"1","A1","59","401706.88","177241.38",,
"1","A1","60","409810.06","177170.77",,
"1","A1","61","419109.3","176938.27",,
"1","A1","62","431357.88","176822.11",,
"1","A1","63","444700.94","176988.31",,
"1","A1","64","460294.22","176549.23",,
"1","A1","65","477591.44","176256.16",,
"1","A1","66","495176.5","176051.67",,
"1","A1","67","513058.16","175943.69",,
"1","A1","68","530898.75","176124.27",,
"1","A1","69","548712.56","176086.8",,
"1","A1","70","566139.8","175690.6",,
"1","A1","71","582699.6","174999.39",,
"1","A1","72","599342.75","174826.95",,
"1","A1","73","615496.94","175062.83",,
"1","A1","74","631518.3","175048.02",,
"1","A1","75","647014.94","175081.45",,
"1","A1","76","661877.4","175035.33",,
"1","A1","77","676331.44","174901.08",,
"1","A1","78","690378.4","174748.0",,
"1","A1","79","703707.6","174565.02",,
"1","A1","80","717193.5","174247.12",,
"1","A1","81","729273.56","174170.73",,
"1","A1","82","742036.0","174369.27",,
"1","A1","83","753531.06","174309.53",,
"1","A1","84","764040.6","173984.38",,
"1","A1","85","776605.75","173846.08",,
"1","A1","86","787577.94","173757.16",,
"1","A1","87","797819.7","173685.44",,
"1","A1","88","806056.0","173585.44",,
"1","A1","89","814795.1","173582.5",,
"1","A1","90","823175.0","173674.44",,
"2","A2","1","94152.59","166991.16",,
"2","A2","2","93539.95","165829.05",,
"2","A2","3","92241.58","163824.69",,
"2","A2","4","91519.61","162258.06",,
"2","A2","5","90781.49","160336.14",,
"2","A2","6","90652.53","159161.34",,
"2","A2","7","91124.67","157989.64",,
"2","A2","8","92893.766","157293.75",,
"2","A2","9","95768.49","156816.28",,
"2","A2","10","101062.48","156402.61",,
