alias,science_submission,nature_submission,nature_revision,nature_final
sculpted_antelope,1,1,1,1
miniature_bass,1Ai,1Ai,1Ai,1Ai
triangular_cobra,1Aii,1Aii,1Aii,1Aii
flexible_dragonfly,1Aiii,1Aiii,1Aiii,1Aiii
transparent_eagle,1Aiv,1Aiv,1Aiv,1Aiv
silent_fox,1Av,1Av,1Av,1Av
spherical_goat,1Bi,1Bi,1Bi,1Bi
goldenrod_herring,1Bii,1Bii,1Bii,1Bii
chartreuse_iguana,1Biii,1Biii,1Biii,1Biii
lavender_jackal,1Ci,1Ci,1Ci,1Ci
maroon_kangaroo,1Cii,1Cii,1Cii,1Cii
teal_locust,1Ciii,1Ciii,1Ciii,1Ciii
opaque_magpie,1Civ,1Civ,1Civ,1Civ
glossy_newt,1Di,1Di,1Di,1Di
bronze_ocelot,1Dii,1Dii,1Dii,1Dii
silver_porcupine,1Diii,1Diii,1Diii,1Diii
wooden_quail,1Div,1Div,1Div,1Div
glass_rattlesnake,2,2,2,2
stone_salmon,2A,2A,2A,2A
paper_termite,2B,2B,2B,2B
cotton_urial,2C,2C,2C,2C
silk_viper,2D,2D,2D,2D
wool_wren,3,3,3,3
plastic_yak,3Ai,3Ai,3Ai,3Ai
ceramic_zebu,3Aii,3Aii,3Aii,3Aii
metal_anchovy,3Bi,3Bi,3Bi,3Bi
digital_bear,3Bii,3Bii,3Bii,3Bii
electric_chinchilla,3Ci,3Ci,3Ci,3Ci
solar_dog,3Cii,3Cii,3Cii,3Cii
lunar_earwig,3Di,3Di,3Di,3Di
cosmic_falcon,3Dii,3Dii,3Dii,3Dii
galactic_gorilla,7,4,4,4
atomic_hornet,7A,4A,4A,4A
quantum_ibex,7B,4B,4B,4B
happy_jaguar,8,5,5,5
sad_kiwi,8A,5A,5A,5A
angry_lemur,8B,5B,5B,5B
excited_manatee,8C,5C,5C,5C
calm_narwhal,8D,5D,,
nervous_octopus,8E,5E,5D,5D
bold_pheasant,8F,5F,,
soft_firefly,8G,5G,,
tubular_porpoise,,,5E,5E
sharp_quail,,,5F,5F
shy_quokka,ED1,ED1,ED1,S10
proud_robin,ED1B,ED1B,ED1B,S10B
humble_scorpion,ED1C,ED1C,ED1D,S10D
noisy_tapir,ED1E,ED1E,ED1F,S10F
sweet_carp,ED1Bi,ED1Bi,ED1Bi,S10Bi
quiet_urchin,ED1Bii,ED1Bii,ED1Bii,S10Bii
sour_dolphin,ED1Biii,ED1Biii,ED1C,S10C
fast_vole,ED1Ci,ED1Ci,ED1Di,S10Di
slow_wombat,ED1Cii,ED1Cii,ED1Dii,S10Dii
strong_xerus,ED1Di,ED1Di,ED1E,S10E
weak_yaksha,ED1Ei,ED1Ei,ED1Fii,S10Fii
big_zebra,ED1Eii,ED1Eii,ED1Fi,S10Fi
vibrant_ibis,,,ED1Fiii,S10Fiii
small_aardvark,S1,S1,S1,S2
tall_baboon,S1ABC,S1ABC,S1A,S2A
short_caracal,S1DEF,S1DEF,S1B,S2B
wide_dingo,S1A,S1A,S1Ai,S2Ai
narrow_emu,S1B,S1B,S1Aii,S2Aii
deep_flamingo,S1C,S1C,S1Aiii,S2Aiii
shallow_gecko,S1D,S1D,S1Bi,S2Bi
rough_hirola,S1E,S1E,S1Bii,S2Bii
smooth_impala,S1F,S1F,S1Biii,S2Biii
sharp_jellyfish,4,S2,S2,S3
dull_koala,4A,S2A,S2A,S3A
bright_lizard,4B,S2B,S2B,S3B
dim_mongoose,4C,S2C,S2C,S3C
quick_nematode,5,S3,S3,S5
sturdy_orca,5A,S3A,S3A,S5A
covert_parrot,5B,S3B,S3B,S5B
rapid_quetzal,S2,S4,S4,S7
distant_rhea,S2A,S4A,S4A,S7A
crimson_stingray,S2B,S4B,S4B,S7B
urban_tuatara,6,S5,S5,S8
rural_unicorn,6A,S5A,S5A,S8A
coastal_viperfish,6B,S5B,S5B,S8B
frozen_weasel,6C,S5C,S5C,S8C
